Aggregator,AURC,AURC_std,EAURC,EAURC_std
Threshold 0.5,0.07908149273758674,0.012536160781379676,0.026899361749134425,0.006511035509428146
Threshold 0.3,0.08174343455375804,0.013044829761533558,0.029561303565305744,0.007814153023961427
Threshold 0.7,0.08729807113213428,0.015194028630355343,0.035115940143681974,0.009031254361340578
Quantile fg. ratio,0.09067820195704947,0.014496326572759207,0.03849607096859716,0.008789657317321104
Quantile 0.9,0.13194534150624718,0.02749467262590571,0.07976321051779488,0.02323370148653182
GMM_pixel,0.1390032958539467,0.01475276572400004,0.08682116486549438,0.010484004537736787
Quantile 0.75,0.1404117287263938,0.03035327170810793,0.08822959773794148,0.026139398051264116
Mean,0.14371664749959284,0.03011088413938683,0.09153451651114057,0.02578488034156579
Patch 50,0.14468931200448673,0.03251331685496998,0.09250718101603442,0.027648175862047413
GMM,0.14621060306373593,0.015683906275029438,0.09402847207528359,0.011849933582078184
Quantile 0.6,0.14622416136084548,0.03272038034301164,0.09404203037239313,0.02875986272228841
Patch 20,0.14710685619373923,0.035631720495509264,0.0949247252052869,0.03137794409147526
Imbalance-w. class avg.,0.1514425376806421,0.03237433259578736,0.09926040669218977,0.027446056572516756
Equally-w. class avg.,0.1514425376806421,0.03237433259578736,0.09926040669218977,0.027446056572516756
Patch 10,0.16556862926896368,0.041665419786686954,0.11338649828051138,0.037325051939127565
GMM_spatial,0.18533195687334178,0.03706621358354315,0.1331498258848895,0.033393577267003906
