Aggregator,EAURC,EAURC_std
Quantile fg. ratio,0.03873868782351548,0.0
Patch 10,0.054427177319513166,0.0
GMM,0.059697518296589265,0.0
GMM_pixel,0.06033916055213461,0.0
Patch 20,0.062374725560082084,0.0
GMM_spatial,0.06973936422024093,0.0
Patch 50,0.07318871927327336,0.0
Threshold 0.7,0.07782038549431024,0.0
Threshold 0.5,0.08387413905846385,0.0
Threshold 0.3,0.0883241038802843,0.0
Equally-w. class avg.,0.0920205446636113,0.0
Imbalance-w. class avg.,0.0920205446636113,0.0
Mean,0.1162006030430962,0.0
Quantile 0.6,0.12720236641452415,0.0
Quantile 0.75,0.13021033106604432,0.0
Quantile 0.9,0.13121379785421175,0.0
