Aggregator,AURC,AURC_std,EAURC,EAURC_std
Threshold 0.7,0.4348996908889315,0.007586478436032351,0.013204897543818195,0.0023122566538920876
Quantile fg. ratio,0.4390744107424234,0.007468413008404519,0.01737961739731008,0.0030870713670337873
Threshold 0.5,0.44372933489791944,0.00739030082972836,0.022034541552806104,0.0029406901520776497
Patch 10,0.4468646488570462,0.00866708740806849,0.025169855511932866,0.004081337683836011
Patch 20,0.44752813440813244,0.008848153325113878,0.025833341063019086,0.004515872755833038
Equally-w. class avg.,0.4492882618258866,0.008371744346440354,0.027593468480773254,0.003945697678449732
Threshold 0.3,0.4495756793492442,0.006231458405516604,0.02788088600413093,0.003803453618813046
Patch 50,0.449662824178737,0.00895993947632518,0.02796803083362367,0.0048666530120097225
Quantile 0.9,0.4499999270631775,0.00811798391019694,0.02830513371806416,0.0040164251381412655
Quantile 0.75,0.4555166676642104,0.00957755126889693,0.03382187431909705,0.0061606465213205125
GMM,0.45710493792577295,0.006769901737133745,0.03541014458065963,0.004781430877569666
Quantile 0.6,0.45754089852342694,0.009338398927125846,0.03584610517831365,0.005942259663364418
GMM_pixel,0.4577461162807855,0.007274252850295486,0.03605132293567223,0.005595106781600549
GMM_spatial,0.459918833183459,0.010686647912288056,0.03822403983834571,0.007912568396179119
Mean,0.4610256667512028,0.009623566909304047,0.039330873406089505,0.0064449785933504405
Imbalance-w. class avg.,0.4641174293241929,0.008356934129893249,0.042422635979079644,0.005142275415941665
