Aggregator,AURC,AURC_std,EAURC,EAURC_std
Quantile fg. ratio,0.48461179968568124,0.01859753975793592,0.042781222534144986,0.008420645175864312
Threshold 0.3,0.4858431626033215,0.01799914545317481,0.04401258545178525,0.01011709485324371
Equally-w. class avg.,0.48746057579755336,0.020505194046667972,0.045629998646017085,0.007743073286183497
Threshold 0.5,0.49034082871840173,0.02038319733386711,0.048510251566865475,0.008140448365002759
GMM_spatial,0.4924193989771046,0.017977602693561218,0.05058882182556827,0.00868341769597286
Quantile 0.9,0.4948021947058361,0.018640505611145868,0.0529716175542998,0.00986710659431901
GMM,0.495129053412543,0.019483534151482827,0.05329847626100674,0.009782245212880859
GMM_pixel,0.505176849971439,0.02089573730106471,0.06334627281990268,0.01121874223841337
Patch 20,0.5066934644396468,0.017999175644575895,0.06486288728811056,0.010047804611483175
Patch 50,0.5073701603897849,0.021938769134653754,0.06553958323824866,0.013328040810872093
Quantile 0.75,0.5106247083458191,0.019063622446471824,0.0687941311942829,0.010863669002490998
Quantile 0.6,0.5177306230597087,0.01947867121968251,0.07590004590817236,0.012006048884047014
Patch 10,0.5424637964985343,0.021598319393855897,0.1006332193469981,0.015753575092557447
Imbalance-w. class avg.,0.5462193687800465,0.021313354264579743,0.10438879162851018,0.01597034554156717
Mean,0.5468480934986053,0.021282950137182004,0.10501751634706909,0.016092177774378477
Threshold 0.7,0.5808469525904991,0.02335850000673923,0.13901637543896284,0.02016440172736897
