Aggregator,EAURC,EAURC_std
Equally-w. class avg.,0.03659932766677326,0.0
Quantile fg. ratio,0.03878687874869581,0.0
Threshold 0.5,0.042157008357174224,0.0
Quantile 0.9,0.051322169375863896,0.0
GMM,0.05475465196048145,0.0
Threshold 0.3,0.055216495084821814,0.0
Quantile 0.75,0.06316750826105533,0.0
Patch 20,0.06427200044305176,0.0
Patch 10,0.0654784941956176,0.0
Quantile 0.6,0.06577411042695126,0.0
Patch 50,0.07873828707436889,0.0
Imbalance-w. class avg.,0.09280505624584026,0.0
Mean,0.09438508483208312,0.0
Threshold 0.7,0.12808378478913773,0.0
