Aggregator,EAURC,EAURC_std
Equally-w. class avg.,0.04446748411773251,0.0
GMM,0.05445611828916253,0.0
Imbalance-w. class avg.,0.060870687735396015,0.0
Quantile fg. ratio,0.06217336428782954,0.0
Mean,0.06564388361235615,0.0
Quantile 0.6,0.07612616466668959,0.0
Quantile 0.75,0.07860910871464631,0.0
Quantile 0.9,0.08465002081482988,0.0
Threshold 0.3,0.08687629587837278,0.0
Patch 50,0.0875212630151139,0.0
Patch 10,0.08762037993514474,0.0
Patch 20,0.08869182011760336,0.0
Threshold 0.7,0.10217184383384352,0.0
Threshold 0.5,0.10322303714901239,0.0
