Aggregator,AURC,AURC_std,EAURC,EAURC_std
GMM_spatial,0.621358795630487,0.01761158940877765,0.20604107327699633,0.013217731504332765
GMM,0.6270661637456453,0.017921317934638695,0.21174844139215468,0.013326311667868187
GMM_pixel,0.632444600121347,0.017674706786688085,0.21712687776785616,0.013287910814627093
Threshold 0.7,0.6641553845970652,0.016175103326729445,0.24883766224357443,0.012387491428804019
Quantile fg. ratio,0.6909438919720909,0.01639472578551208,0.2756261696186002,0.01249468114943521
Threshold 0.3,0.6997412196304954,0.01551386739762223,0.28442349727700467,0.012073885000050005
Threshold 0.5,0.703327727337817,0.01568744622022073,0.28801000498432633,0.01173351165938985
Patch 10,0.7215034669841024,0.015787365976021435,0.30618574463061166,0.011446296891058805
Patch 20,0.7436969231660475,0.015085102567665187,0.3283792008125568,0.01072452897796794
Equally-w. class avg.,0.752179615020173,0.015384194679740122,0.3368618926666823,0.010228695654648949
Patch 50,0.756778512120833,0.014399261492679262,0.34146078976734234,0.009864613570278393
Quantile 0.9,0.7648704166503572,0.013958451648696307,0.3495526942968664,0.009778123443581603
Mean,0.7748468223185215,0.013918440195636895,0.3595290999650308,0.008897948954290136
Imbalance-w. class avg.,0.77547711877995,0.013892380549092753,0.3601593964264592,0.008884793744731804
Quantile 0.6,0.7762408478027036,0.013944135323611528,0.360923125449213,0.008993721142235633
Quantile 0.75,0.7830135522542759,0.013421990746417383,0.36769582990078514,0.009070917396929222
