Aggregator,EAURC,EAURC_std
GMM,0.20892094524036195,0.0
Threshold 0.7,0.25516250253817085,0.0
Quantile fg. ratio,0.2697889333839742,0.0
Threshold 0.3,0.2817139155938847,0.0
Threshold 0.5,0.2848411731257417,0.0
Patch 10,0.30583030927459315,0.0
Patch 20,0.32881754383473544,0.0
Equally-w. class avg.,0.33493884520228717,0.0
Patch 50,0.33842356577422644,0.0
Quantile 0.9,0.3504110619188784,0.0
Mean,0.3603558697352036,0.0
Imbalance-w. class avg.,0.3609602978911957,0.0
Quantile 0.6,0.36278979757942087,0.0
Quantile 0.75,0.3681932363372435,0.0
