uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,GMM-All,GMM-Int,GMM-Spa
2023-05-25_0183,0.3512923379889757,0.011186363005818442,0.013571070705430881,0.6121427289613061,0.70761534617938,0.816772824549617,0.025416471745352838,0.03895469398970726,0.0953539283618963,0.7760803286492779,0.7654103071204523,0.4314911542202288,0.1755378586593174,2.018829622970409e-05,2.9162837880940644e-05,0.022052159571983
2023-05-25_0402,0.38850500511293745,0.016715051703443704,0.019145645652467746,0.5974013521390233,0.7152440416028663,0.8290339696923965,0.036539921125562286,0.05735538077798408,0.14412131282662005,0.8050918760023312,0.7931070729029949,0.568318062057493,0.34610550415402747,2.0946562101651224e-05,2.022283161590303e-05,0.0110784350896449
2023-05-25_0406,0.3103099449529953,0.007728937137708652,0.010759091552626337,0.5775119876714828,0.671040430078888,0.8074968084926213,0.021076245636399347,0.034230919847262,0.09663389391433941,0.7102576039480729,0.8341944414862769,0.5246171115576943,0.23329362541623758,1.854153896084e-05,2.438312080214248e-05,0.0563990740145704
2023-05-25_0473,0.3754141796727264,0.016579785647474067,0.017781686933451203,0.6193881602343001,0.724693976720384,0.857046611103862,0.03398952040284912,0.053159679684222,0.13303447781737698,0.8440650950689029,0.830655387979492,0.5235396142379403,0.23078184956832357,1.3440863097104497e-05,2.078571594991828e-05,0.0178101964732121
2023-05-25_0681,0.3367182017918554,0.020657196105972053,0.024827390055154712,0.6400820011457466,0.7307716029631026,0.84164344960008,0.04697675111673884,0.07456111465990016,0.20191127344378623,0.8174606342375536,0.839224799674055,0.505662577909897,0.2183123183734308,3.0978450679857e-05,3.2749971921774434e-05,0.0025931455865069
2023-05-25_0685,0.32579942513285326,0.011313933897671982,0.015410369453267073,0.5758613632158833,0.6694875139450356,0.8004031071350276,0.030207901721829158,0.04920260179528117,0.13873792156823775,0.7205371139109087,0.7217331372979716,0.4044304142932617,0.20705162758531884,1.833900168897434e-05,1.4499181021990203e-05,0.018510304302765
2023-05-25_0966,0.4040588782799811,0.009050951869562632,0.012810374051354365,0.5956162409057307,0.6834073321219808,0.8130314594664619,0.025130047167094275,0.04078641618151146,0.11393605473528037,0.7452341938377911,0.7419764804041843,0.41326074433348603,0.19108654336018674,3.209593402227446e-05,4.825647141188077e-05,0.0014234995937789
2023-05-25_0969,0.24300680397022825,0.016740333090224237,0.017246717137416538,0.5370319388836456,0.638459196477739,0.8283783426860436,0.03302314342092656,0.052056182813337334,0.13277318556187417,0.6417792291749796,0.6732746801366847,0.394527789443608,0.24798397430490282,0.0001194001172817,0.000124405232051,0.0024507174273232
2023-05-25_1055,0.29230601643953064,0.02732981709219969,0.027579380268976487,0.5521070187684541,0.6598953055727054,0.8190995992201794,0.05138303100617413,0.0781473009815277,0.1815354881739405,0.6897364328479295,0.7466139716878311,0.44451184117366027,0.19932178158266267,2.1924918882505515e-05,2.4749140493864755e-05,0.0455601856733999
2023-05-30_0039,0.3194387298193444,0.009409313077632112,0.00960385428027292,0.5720156309297362,0.6711804480790861,0.792535807618716,0.01844467475156052,0.029454313002263897,0.08018101772784139,0.764372571811561,0.7036404097599223,0.519526998855262,0.2665522479637421,4.356831240758415e-05,3.728934319885729e-05,0.0116023771778377
