Aggregator,AUROC,AUROC_std,Noise_Level
Patch 20,0.9551459293394777,0.004965926003565513,1_00
Mean,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.75,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.9,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.6,0.9548643113159243,0.005221918452795504,1_00
Patch 50,0.9548387096774195,0.0052157016193535195,1_00
Patch 10,0.9114695340501792,0.01166637199409746,1_00
Equally-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Imbalance-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Threshold 0.4,0.547452636968766,0.08219037818302391,1_00
Threshold 0.3,0.5401305683563749,0.047307247355524246,1_00
Threshold 0.5,0.5,0.0,1_00
Patch 20,0.9551459293394777,0.004965926003565513,1_00
Mean,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.75,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.9,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.6,0.9548643113159243,0.005221918452795504,1_00
Patch 50,0.9548387096774195,0.0052157016193535195,1_00
Patch 10,0.9114695340501792,0.01166637199409746,1_00
Equally-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Imbalance-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Threshold 0.4,0.547452636968766,0.08219037818302391,1_00
Threshold 0.3,0.5401305683563749,0.047307247355524246,1_00
Threshold 0.5,0.5,0.0,1_00
Patch 20,0.9551459293394777,0.004965926003565513,1_00
Mean,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.75,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.9,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.6,0.9548643113159243,0.005221918452795504,1_00
Patch 50,0.9548387096774195,0.0052157016193535195,1_00
Patch 10,0.9114695340501792,0.01166637199409746,1_00
Equally-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Imbalance-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Threshold 0.3,0.5495391705069125,0.04877640266368079,1_00
Threshold 0.4,0.5265232974910394,0.0991835495661387,1_00
Threshold 0.5,0.4670122887864824,0.04105017165593422,1_00
Patch 20,0.9551459293394777,0.004965926003565513,1_00
Mean,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.75,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.9,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.6,0.9548643113159243,0.005221918452795504,1_00
Patch 50,0.9548387096774195,0.0052157016193535195,1_00
Patch 10,0.9114695340501792,0.01166637199409746,1_00
Equally-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Imbalance-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Threshold 0.3,0.5495391705069125,0.04877640266368079,1_00
Threshold 0.4,0.5265232974910394,0.0991835495661387,1_00
Threshold 0.5,0.4670122887864824,0.04105017165593422,1_00
Patch 20,0.9551459293394777,0.004965926003565513,1_00
Mean,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.75,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.9,0.9548643113159243,0.005221918452795504,1_00
Quantile 0.6,0.9548643113159243,0.005221918452795504,1_00
Patch 50,0.9548387096774195,0.0052157016193535195,1_00
Patch 10,0.9114695340501792,0.01166637199409746,1_00
Equally-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
Imbalance-w. class avg.,0.7306963645673323,0.08681452952780523,1_00
