Aggregator,AUROC,AUROC_std,Noise_Level
Mean,0.938453661034306,0.011330935435051427,1_00
Quantile 0.9,0.938453661034306,0.011330935435051427,1_00
Patch 50,0.938453661034306,0.011330935435051427,1_00
Quantile 0.6,0.938453661034306,0.011330935435051427,1_00
Quantile 0.75,0.938453661034306,0.011330935435051427,1_00
Patch 20,0.9380781703362349,0.011206020412300684,1_00
Patch 10,0.8865676736644478,0.020027457069467094,1_00
Equally-w. class avg.,0.7300563236047107,0.13196323280310682,1_00
Imbalance-w. class avg.,0.7300563236047107,0.13196323280310682,1_00
Threshold 0.6,0.6516299709848097,0.1695202594944947,1_00
Threshold 0.7,0.6467656596688854,0.16281698146674775,1_00
Threshold 0.8,0.6461341525857655,0.1124611646185911,1_00
Threshold 0.9,0.6336234852363885,0.07550474110361106,1_00
Threshold 0.5,0.6276327018262503,0.21113752384775683,1_00
Threshold 0.4,0.6180406212664277,0.19996531235758308,1_00
Threshold 0.2,0.6076463560334527,0.19436181829880333,1_00
Threshold 0.3,0.6023894862604541,0.21442843981591142,1_00
