Aggregator,AURC,AURC_std
Equally-w. class avg.,0.4734115410621255,0.07495778532658097
Imbalance-w. class avg.,0.4734115410621255,0.07495778532658097
Mean,0.48110907983749496,0.06084779424712441
Threshold 0.3,0.4972139541145486,0.03122656137173806
Threshold 0.5,0.5076730929325376,0.0448005294202023
Threshold 0.7,0.5165158162151857,0.04976926965262027
Quantile 0.6,0.48110907983749496,0.06084779424712441
Quantile 0.75,0.48110907983749496,0.06084779424712441
Quantile 0.9,0.4798839924039363,0.06275933102635886
Quantile fg. ratio,0.4262730009040527,0.08099567879483201
Patch 10,0.46880115245269377,0.06414929855492342
Patch 20,0.47774926229389336,0.061639053497587255
Patch 50,0.48110907983749496,0.06084779424712441
