Aggregator,AUROC,AUROC_std,Noise_Level
Equally-w. class avg.,0.796556886227545,0.0895088159910907,1_00
Imbalance-w. class avg.,0.796556886227545,0.0895088159910907,1_00
Patch 10,0.5765718562874251,0.07142440539809462,1_00
Patch 20,0.517440119760479,0.06295061480449048,1_00
Mean,0.5133233532934132,0.06136063014478595,1_00
Quantile 0.6,0.5133233532934132,0.06136063014478595,1_00
Quantile 0.75,0.5133233532934132,0.06136063014478595,1_00
Patch 50,0.5133233532934132,0.06136063014478595,1_00
Quantile 0.9,0.5133233532934132,0.06147483843277359,1_00
Threshold 0.2,0.5093937125748503,0.07850518175411589,1_00
Threshold 0.9,0.4883982035928144,0.08287990158260497,1_00
Threshold 0.8,0.48278443113772457,0.06386998459972565,1_00
Threshold 0.3,0.46407185628742514,0.065159840374194,1_00
Threshold 0.6,0.4515344311377245,0.07791958410154291,1_00
Threshold 0.4,0.44288922155688626,0.047654840841639706,1_00
Threshold 0.5,0.43353293413173655,0.04087292421494628,1_00
Threshold 0.7,0.41366017964071855,0.07769398882621158,1_00
