Aggregator,AUROC,AUROC_std,Noise_Level
Quantile fg. ratio,0.8104416167664671,0.06841975549452448,1_00
Imbalance-w. class avg.,0.7430014970059882,0.07635841287933717,1_00
Equally-w. class avg.,0.7430014970059882,0.07635841287933717,1_00
Patch 10,0.5725673652694611,0.07733650692779971,1_00
Patch 20,0.517627245508982,0.0631820218049489,1_00
Quantile 0.75,0.513809880239521,0.06209294774749762,1_00
Patch 50,0.513809880239521,0.06209294774749762,1_00
Mean,0.513809880239521,0.06209294774749762,1_00
Quantile 0.6,0.513809880239521,0.06209294774749762,1_00
Quantile 0.9,0.5136601796407186,0.06191648029418174,1_00
Threshold 0.3,0.47634730538922154,0.0347040731289897,1_00
Threshold 0.4,0.45853293413173657,0.026692502529289574,1_00
Threshold 0.5,0.451309880239521,0.03971404460105202,1_00
