Aggregator,AUROC,AUROC_std,Noise_Level
Equally-w. class avg.,0.7942365269461078,0.0903036833968521,1_00
Imbalance-w. class avg.,0.7942365269461078,0.0903036833968521,1_00
Patch 10,0.5745508982035928,0.07322915072498336,1_00
Quantile fg. ratio,0.5185628742514969,0.0890815422701157,1_00
Patch 20,0.5103293413173653,0.05854059095056593,1_00
Quantile 0.75,0.5057634730538922,0.05718028904123193,1_00
Quantile 0.6,0.505688622754491,0.05716132662286465,1_00
Mean,0.505688622754491,0.05716132662286465,1_00
Quantile 0.9,0.505688622754491,0.057084039934019955,1_00
Patch 50,0.505688622754491,0.05716132662286465,1_00
Threshold 0.5,0.43038922155688625,0.06671022173736399,1_00
Threshold 0.4,0.4059880239520958,0.06621675638432052,1_00
Threshold 0.3,0.3961826347305389,0.04144537522586857,1_00
