Aggregator,AUROC,AUROC_std,Noise_Level
Quantile fg. ratio,0.648,0.011548160026601676,0_25
Imbalance-w. class avg.,0.631,0.03403821381917682,0_25
Equally-w. class avg.,0.6187,0.05045185824129768,0_25
Threshold 0.5,0.592,0.03851960539777116,0_25
Patch 20,0.5719000000000001,0.0366642878016197,0_25
Patch 50,0.5644,0.02369810118975782,0_25
Quantile 0.6,0.5644,0.01025670512396649,0_25
Quantile 0.75,0.5630999999999999,0.012153600289626084,0_25
Mean,0.5613999999999999,0.007942291860665918,0_25
Quantile 0.9,0.5589,0.016342276463210407,0_25
Patch 10,0.5524,0.04183204513288828,0_25
Threshold 0.4,0.5401,0.04077879350839111,0_25
Threshold 0.3,0.4908,0.050559272146659756,0_25
Quantile fg. ratio,0.8624,0.020842264752180876,0_50
Imbalance-w. class avg.,0.8519,0.03251015226048626,0_50
Equally-w. class avg.,0.8271,0.05448109763945655,0_50
Threshold 0.5,0.7578,0.03990939738958729,0_50
Patch 20,0.7285,0.060839707428619355,0_50
Patch 50,0.6888000000000001,0.043785842460777255,0_50
Quantile 0.75,0.6868,0.020195048898182966,0_50
Quantile 0.9,0.6859,0.025884937705159754,0_50
Quantile 0.6,0.6842,0.017028211884986582,0_50
Mean,0.6740999999999999,0.0146379643393472,0_50
Patch 10,0.6739,0.05489945354919301,0_50
Threshold 0.4,0.6584,0.14029511752017604,0_50
Threshold 0.3,0.5980999999999999,0.13981570011983635,0_50
Imbalance-w. class avg.,0.9961,0.0014247806848774996,0_75
Quantile fg. ratio,0.9941,0.0024228082879171105,0_75
Equally-w. class avg.,0.9937999999999999,0.0021260291625469227,0_75
Threshold 0.5,0.9331,0.02847929072150497,0_75
Quantile 0.9,0.9155,0.017251956410795816,0_75
Patch 20,0.9151,0.02871706809547238,0_75
Quantile 0.75,0.8997,0.017659841448891916,0_75
Quantile 0.6,0.8862000000000001,0.019217700174578654,0_75
Patch 50,0.8847,0.031530778613919425,0_75
Patch 10,0.8608,0.0505133645682011,0_75
Mean,0.8515,0.018348569426524776,0_75
Threshold 0.3,0.8413,0.2234816099816716,0_75
Threshold 0.4,0.8281,0.24424927840220945,0_75
Equally-w. class avg.,1.0,0.0,1_00
Imbalance-w. class avg.,1.0,0.0,1_00
Quantile fg. ratio,1.0,0.0,1_00
Patch 20,0.9941,0.006878226515607029,1_00
Quantile 0.9,0.9935,0.010576861538282476,1_00
Patch 10,0.9868,0.01120357085932871,1_00
Quantile 0.75,0.9857,0.010045396955820128,1_00
Patch 50,0.9824,0.010699532700076196,1_00
Quantile 0.6,0.9748000000000001,0.010315037566582145,1_00
Mean,0.9478000000000001,0.014143549766589708,1_00
Threshold 0.5,0.9107,0.15031629984802047,1_00
Threshold 0.3,0.859,0.24421916386721168,1_00
Threshold 0.4,0.8155,0.3195633739964579,1_00
