,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.3679293303810329,0.37473144985145995,0.4200583263987082,,,0.9783086172344687,0.9406813627254507,0.8725611222444888,0.7360160320641281,0.9999999999999999,0.4696112224448897,0.49994388777555104,0.534749498997996,0.5741082164328656,0.596569138276553,0.5936032064128256,0.9999999999999999,-0.1488897795591182
above_threshold_mean_0.3,0.3679293303810329,1.0,0.6619176598528527,0.5305180044808039,,,0.3778852821083743,0.39964088032737954,0.4448675145026293,0.5695173126992145,0.3679293303810329,0.6992653277223608,0.6866961390681972,0.6378783081346149,0.5676736179348919,0.5345031443054726,0.5958901638932186,0.3679293303810329,-0.12525100301103811
above_threshold_mean_0.5,0.37473144985145995,0.6619176598528527,1.0,0.5851292833525651,,,0.38420524708482157,0.40446012873366116,0.4412739813559744,0.5300726736523214,0.37473144985145995,0.7579279876908214,0.6893196196516045,0.6158371685383243,0.542483832208463,0.5166285968288287,0.5406116678488889,0.37473144985145995,-0.16285409026104858
above_threshold_mean_0.7,0.4200583263987082,0.5305180044808039,0.5851292833525651,1.0,,,0.427933261939928,0.4437062945974886,0.4691377040806041,0.5165957715040135,0.4200583263987082,0.6117898452522872,0.56831556874973,0.5316739569079371,0.489774667513624,0.47502074416139767,0.5132141815363133,0.4200583263987082,-0.08233939955598851
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9783086172344687,0.3778852821083743,0.38420524708482157,0.427933261939928,,,1.0,0.9603847695390779,0.8895711422845691,0.7492104208416833,0.9783086172344687,0.47927855711422834,0.5102845691382765,0.5454749498997995,0.5846092184368737,0.6071342685370741,0.6012184368737474,0.9783086172344687,-0.15310621242484967
above_quantile_mean_0.5,0.9406813627254507,0.39964088032737954,0.40446012873366116,0.4437062945974886,,,0.9603847695390779,1.0,0.9254028056112222,0.7783727454909818,0.9406813627254507,0.5006813627254508,0.5327454909819638,0.5667494989979959,0.6066533066132264,0.628825651302605,0.6180360721442885,0.9406813627254507,-0.16258116232464928
above_quantile_mean_0.7,0.8725611222444888,0.4448675145026293,0.4412739813559744,0.4691377040806041,,,0.8895711422845691,0.9254028056112222,1.0,0.8429979959919839,0.8725611222444888,0.5405210420841682,0.5737394789579157,0.6085130260521041,0.6467494989979959,0.6669659318637273,0.6486733466933867,0.8725611222444888,-0.17769939879759516
above_quantile_mean_0.9,0.7360160320641281,0.5695173126992145,0.5300726736523214,0.5165957715040135,,,0.7492104208416833,0.7783727454909818,0.8429979959919839,1.0,0.7360160320641281,0.6335871743486973,0.6669659318637273,0.6920561122244487,0.7074308617234468,0.7134108216432864,0.7123687374749498,0.7360160320641281,-0.19240080160320638
above_quantile_mean_fg_ratio,0.9999999999999999,0.3679293303810329,0.37473144985145995,0.4200583263987082,,,0.9783086172344687,0.9406813627254507,0.8725611222444888,0.7360160320641281,1.0,0.4696112224448897,0.49994388777555104,0.534749498997996,0.5741082164328656,0.596569138276553,0.5936032064128256,0.9999999999999999,-0.1488897795591182
patch_aggregation_10,0.4696112224448897,0.6992653277223608,0.7579279876908214,0.6117898452522872,,,0.47927855711422834,0.5006813627254508,0.5405210420841682,0.6335871743486973,0.4696112224448897,1.0,0.869627254509018,0.7684168336673346,0.6856112224448897,0.6600400801603206,0.6210981963927854,0.4696112224448897,-0.25423647294589174
patch_aggregation_20,0.49994388777555104,0.6866961390681972,0.6893196196516045,0.56831556874973,,,0.5102845691382765,0.5327454909819638,0.5737394789579157,0.6669659318637273,0.49994388777555104,0.869627254509018,1.0,0.8470060120240479,0.7424609218436873,0.7122725450901802,0.6403366733466933,0.49994388777555104,-0.28431262525050094
patch_aggregation_40,0.534749498997996,0.6378783081346149,0.6158371685383243,0.5316739569079371,,,0.5454749498997995,0.5667494989979959,0.6085130260521041,0.6920561122244487,0.534749498997996,0.7684168336673346,0.8470060120240479,1.0,0.8259398797595189,0.7850420841683367,0.6434949899799598,0.534749498997996,-0.31985571142284563
patch_aggregation_80,0.5741082164328656,0.5676736179348919,0.542483832208463,0.489774667513624,,,0.5846092184368737,0.6066533066132264,0.6467494989979959,0.7074308617234468,0.5741082164328656,0.6856112224448897,0.7424609218436873,0.8259398797595189,1.0,0.9248577154308615,0.6219318637274549,0.5741082164328656,-0.3439198396793587
patch_aggregation_100,0.596569138276553,0.5345031443054726,0.5166285968288287,0.47502074416139767,,,0.6071342685370741,0.628825651302605,0.6669659318637273,0.7134108216432864,0.596569138276553,0.6600400801603206,0.7122725450901802,0.7850420841683367,0.9248577154308615,1.0,0.6105010020040079,0.596569138276553,-0.34791182364729456
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.5936032064128256,0.5958901638932186,0.5406116678488889,0.5132141815363133,,,0.6012184368737474,0.6180360721442885,0.6486733466933867,0.7123687374749498,0.5936032064128256,0.6210981963927854,0.6403366733466933,0.6434949899799598,0.6219318637274549,0.6105010020040079,1.0,0.5936032064128256,-0.15990380761523043
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.9999999999999999,0.3679293303810329,0.37473144985145995,0.4200583263987082,,,0.9783086172344687,0.9406813627254507,0.8725611222444888,0.7360160320641281,0.9999999999999999,0.4696112224448897,0.49994388777555104,0.534749498997996,0.5741082164328656,0.596569138276553,0.5936032064128256,1.0,-0.1488897795591182
gmm_normalized_score,-0.1488897795591182,-0.12525100301103811,-0.16285409026104858,-0.08233939955598851,,,-0.15310621242484967,-0.16258116232464928,-0.17769939879759516,-0.19240080160320638,-0.1488897795591182,-0.25423647294589174,-0.28431262525050094,-0.31985571142284563,-0.3439198396793587,-0.34791182364729456,-0.15990380761523043,-0.1488897795591182,1.0
