0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,,,,,,0.9967943189005808,0.9864728882755448,0.9533666839169687,0.8362083836467139,0.8355183715715025,0.5113851992409868,0.5483727215226267,0.5884509228911506,0.6625553447185326,0.6842044735782876,0.41580415157265255,0.7521994134897361
above_threshold_mean_0.3,,1.0,,,,,,,,,,,,,,,,
above_threshold_mean_0.5,,,1.0,,,,,,,,,,,,,,,
above_threshold_mean_0.7,,,,1.0,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,,
above_quantile_mean_0.3,0.9967943189005808,,,,,,1.0,0.9892185613248233,0.9554510953941694,0.8373152780173654,0.8367690184578231,0.5115720775113565,0.5485020987867287,0.5890403082053937,0.6632309815421771,0.6850813639238686,0.4159622793398885,0.7534788108791904
above_quantile_mean_0.5,0.9864728882755448,,,,,,0.9892185613248233,1.0,0.9646225058938531,0.8429503766315911,0.8395865677649359,0.513268357196251,0.550687137024898,0.5919153585187741,0.6671122994652406,0.6895376919096083,0.417946064056121,0.7583376459088034
above_quantile_mean_0.7,0.9533666839169687,,,,,,0.9554510953941694,0.9646225058938531,1.0,0.8701914783508713,0.8415272267264678,0.5250129377264102,0.563782991202346,0.6081737680409407,0.6811281697429705,0.7029785521246622,0.42710309930423784,0.7716347536081882
above_quantile_mean_0.9,0.8362083836467139,,,,,,0.8373152780173654,0.8429503766315911,0.8701914783508713,1.0,0.7924788683801967,0.5922603645563798,0.6339629693519637,0.6634034845609799,0.6984072221263873,0.7046748318095567,0.4697688459548042,0.7638721177620609
above_quantile_mean_fg_ratio,0.8355183715715025,,,,,,0.8367690184578231,0.8395865677649359,0.8415272267264678,0.7924788683801967,1.0,0.5087976539589443,0.5280173653038929,0.5542953251681905,0.6257259502041287,0.6481513426484964,0.4322206888620551,0.7886550514634006
patch_aggregation_10,0.5113851992409868,,,,,,0.5115720775113565,0.513268357196251,0.5250129377264102,0.5922603645563798,0.5087976539589443,1.0,0.7667327928238745,0.583822091886608,0.5087689034558105,0.49907998389971825,0.4724426427462481,0.5201253521936634
patch_aggregation_20,0.5483727215226267,,,,,,0.5485020987867287,0.550687137024898,0.563782991202346,0.6339629693519637,0.5280173653038929,0.7667327928238745,1.0,0.7006210108676902,0.5848858605025589,0.5628629751020643,0.44606405612098216,0.5432551319648093
patch_aggregation_40,0.5884509228911506,,,,,,0.5890403082053937,0.5919153585187741,0.6081737680409407,0.6634034845609799,0.5542953251681905,0.583822091886608,0.7006210108676902,1.0,0.7403110804439078,0.7021591627853487,0.4122822149387615,0.5837358403772066
patch_aggregation_80,0.6625553447185326,,,,,,0.6632309815421771,0.6671122994652406,0.6811281697429705,0.6984072221263873,0.6257259502041287,0.5087689034558105,0.5848858605025589,0.7403110804439078,1.0,0.8989419814846761,0.401888908055891,0.629923523661664
patch_aggregation_100,0.6842044735782876,,,,,,0.6850813639238686,0.6895376919096083,0.7029785521246622,0.7046748318095567,0.6481513426484964,0.49907998389971825,0.5628629751020643,0.7021591627853487,0.8989419814846761,1.0,0.40111264447127826,0.6499338738427923
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.41580415157265255,,,,,,0.4159622793398885,0.417946064056121,0.42710309930423784,0.4697688459548042,0.4322206888620551,0.4724426427462481,0.44606405612098216,0.4122822149387615,0.401888908055891,0.40111264447127826,1.0,0.4592461618078317
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.7521994134897361,,,,,,0.7534788108791904,0.7583376459088034,0.7716347536081882,0.7638721177620609,0.7886550514634006,0.5201253521936634,0.5432551319648093,0.5837358403772066,0.629923523661664,0.6499338738427923,0.4592461618078317,1.0
