,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.4416326530612245,0.47102040816326524,0.43510204081632653,0.34857142857142853,0.27183673469387754,0.9738775510204083,0.9461224489795919,0.9036734693877552,0.8318367346938775,0.4579591836734694,0.4269387755102041,0.3681632653061225,0.48244897959183675,0.6277551020408163,0.6408163265306122,0.4579591836734694,0.47265306122448986,0.06612244897959184
above_threshold_mean_0.3,0.4416326530612245,1.0,0.7028571428571428,0.6440816326530613,0.603265306122449,0.4775510204081633,0.4546938775510204,0.47265306122448986,0.49877551020408156,0.593469387755102,0.6375510204081632,0.32571428571428573,0.44653061224489793,0.4889795918367347,0.3110204081632653,0.36653061224489797,0.6440816326530613,0.6914285714285714,0.31755102040816324
above_threshold_mean_0.5,0.47102040816326524,0.7028571428571428,1.0,0.84,0.5510204081632653,0.4187755102040816,0.47102040816326524,0.4791836734693878,0.4857142857142857,0.6130612244897958,0.7453061224489795,0.38448979591836735,0.44653061224489793,0.44326530612244897,0.3502040816326531,0.36979591836734693,0.6212244897959184,0.7110204081632653,0.3273469387755102
above_threshold_mean_0.7,0.43510204081632653,0.6440816326530613,0.84,1.0,0.603265306122449,0.45142857142857146,0.43183673469387757,0.44,0.4530612244897959,0.5738775510204082,0.7289795918367348,0.4073469387755102,0.47265306122448986,0.4497959183673469,0.2979591836734694,0.33061224489795915,0.6897959183673469,0.7273469387755102,0.3142857142857143
above_threshold_mean_0.9,0.34857142857142853,0.603265306122449,0.5510204081632653,0.603265306122449,1.0,0.8057142857142857,0.3616326530612245,0.38285714285714284,0.40244897959183673,0.46122448979591835,0.5902040816326531,0.3469387755102041,0.37632653061224486,0.41551020408163264,0.2016326530612245,0.2506122448979592,0.5738775510204082,0.5951020408163266,0.29959183673469386
above_threshold_mean_0.95,0.27183673469387754,0.4775510204081633,0.4187755102040816,0.45142857142857146,0.8057142857142857,1.0,0.27836734693877546,0.29306122448979594,0.3126530612244898,0.3420408163265306,0.506938775510204,0.21142857142857144,0.2506122448979592,0.28,0.13142857142857142,0.19673469387755102,0.4220408163265306,0.47265306122448986,0.3273469387755102
above_quantile_mean_0.3,0.9738775510204083,0.4546938775510204,0.47102040816326524,0.43183673469387757,0.3616326530612245,0.27836734693877546,1.0,0.9722448979591838,0.926530612244898,0.8383673469387755,0.4579591836734694,0.4269387755102041,0.37795918367346937,0.4955102040816326,0.6310204081632653,0.6408163265306122,0.4742857142857143,0.48244897959183675,0.06938775510204082
above_quantile_mean_0.5,0.9461224489795919,0.47265306122448986,0.4791836734693878,0.44,0.38285714285714284,0.29306122448979594,0.9722448979591838,1.0,0.9542857142857143,0.8530612244897959,0.4595918367346939,0.43510204081632653,0.38285714285714284,0.516734693877551,0.6261224489795918,0.6424489795918367,0.49224489795918364,0.49387755102040815,0.07428571428571429
above_quantile_mean_0.7,0.9036734693877552,0.49877551020408156,0.4857142857142857,0.4530612244897959,0.40244897959183673,0.3126530612244898,0.926530612244898,0.9542857142857143,1.0,0.8726530612244898,0.4759183673469388,0.42857142857142855,0.4057142857142857,0.533061224489796,0.6,0.6228571428571429,0.5151020408163265,0.5232653061224489,0.10693877551020409
above_quantile_mean_0.9,0.8318367346938775,0.593469387755102,0.6130612244897958,0.5738775510204082,0.46122448979591835,0.3420408163265306,0.8383673469387755,0.8530612244897959,0.8726530612244898,1.0,0.5640816326530612,0.4677551020408163,0.47102040816326524,0.5657142857142857,0.5836734693877551,0.6195918367346939,0.6097959183673469,0.6146938775510205,0.15918367346938775
above_quantile_mean_fg_ratio,0.4579591836734694,0.6375510204081632,0.7453061224489795,0.7289795918367348,0.5902040816326531,0.506938775510204,0.4579591836734694,0.4595918367346939,0.4759183673469388,0.5640816326530612,1.0,0.35836734693877553,0.46285714285714286,0.41714285714285715,0.2979591836734694,0.3110204081632653,0.6538775510204081,0.7926530612244899,0.38612244897959186
patch_aggregation_10,0.4269387755102041,0.32571428571428573,0.38448979591836735,0.4073469387755102,0.3469387755102041,0.21142857142857144,0.4269387755102041,0.43510204081632653,0.42857142857142855,0.4677551020408163,0.35836734693877553,1.0,0.5722448979591837,0.4906122448979592,0.28,0.33877551020408164,0.44,0.4089795918367347,-0.04326530612244898
patch_aggregation_20,0.3681632653061225,0.44653061224489793,0.44653061224489793,0.47265306122448986,0.37632653061224486,0.2506122448979592,0.37795918367346937,0.38285714285714284,0.4057142857142857,0.47102040816326524,0.46285714285714286,0.5722448979591837,1.0,0.5559183673469388,0.2473469387755102,0.28,0.5869387755102041,0.5591836734693878,0.08408163265306123
patch_aggregation_40,0.48244897959183675,0.4889795918367347,0.44326530612244897,0.4497959183673469,0.41551020408163264,0.28,0.4955102040816326,0.516734693877551,0.533061224489796,0.5657142857142857,0.41714285714285715,0.4906122448979592,0.5559183673469388,1.0,0.43020408163265306,0.4595918367346939,0.5640816326530612,0.529795918367347,0.04816326530612245
patch_aggregation_80,0.6277551020408163,0.3110204081632653,0.3502040816326531,0.2979591836734694,0.2016326530612245,0.13142857142857142,0.6310204081632653,0.6261224489795918,0.6,0.5836734693877551,0.2979591836734694,0.28,0.2473469387755102,0.43020408163265306,1.0,0.7844897959183673,0.28816326530612246,0.29306122448979594,-0.022040816326530613
patch_aggregation_100,0.6408163265306122,0.36653061224489797,0.36979591836734693,0.33061224489795915,0.2506122448979592,0.19673469387755102,0.6408163265306122,0.6424489795918367,0.6228571428571429,0.6195918367346939,0.3110204081632653,0.33877551020408164,0.28,0.4595918367346939,0.7844897959183673,1.0,0.34040816326530615,0.34530612244897957,-0.008979591836734694
