,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}",gmm_normalized_score
mean,1.0,0.39947094188376747,0.3482484969939879,0.30133867735470937,0.3588207771369071,0.2570603879137421,0.8702364729458917,0.7413547094188375,0.7060681362725449,0.581691382765531,0.6562885771543086,0.41038877755511016,0.4443607214428857,0.5208657314629257,0.565691382765531,0.5776673346693386,0.0428376753507014,0.37250501002004,-0.17434869739478956
above_threshold_mean_0.3,0.39947094188376747,1.0,0.7399759519038076,0.602132264529058,0.5918482806709883,0.4067078064617954,0.4824849699398797,0.5069338677354709,0.5441122244488977,0.7442244488977955,0.5882164328657313,0.7031663326653306,0.7475911823647294,0.6700601202404809,0.5740280561122244,0.5638476953907815,-0.017987975951903802,-0.13545490981963926,-0.20923446893787573
above_threshold_mean_0.5,0.3482484969939879,0.7399759519038076,1.0,0.7301803607214428,0.6455031940962321,0.446072496916157,0.41212024048096185,0.41617635270541076,0.44370340681362724,0.6264048096192384,0.518877755511022,0.7478476953907814,0.7362565130260519,0.5653547094188376,0.46095390781563117,0.45212024048096183,-0.07533466933867734,-0.13454108216432864,-0.2423086172344689
above_threshold_mean_0.7,0.30133867735470937,0.602132264529058,0.7301803607214428,1.0,0.697230386081048,0.4748260794884397,0.35171142284569135,0.3566653306613226,0.3882324649298597,0.5416272545090179,0.44554709418837674,0.7293787575150299,0.6503246492985971,0.47191983967935863,0.3871743486973947,0.37715430861723437,-0.08344689378757514,-0.11309018036072144,-0.23656913827655307
above_threshold_mean_0.9,0.3588207771369071,0.5918482806709883,0.6455031940962321,0.697230386081048,1.0,0.6249280605889412,0.405369580154299,0.4062389447254724,0.4365911077973081,0.5640097151636321,0.47283983056927625,0.7606373020872802,0.6577687942417,0.5092019487200931,0.4389535115233226,0.43001417582408336,-0.08659627098079155,-0.08481974337882855,-0.25347647018646363
above_threshold_mean_0.95,0.2570603879137421,0.4067078064617954,0.446072496916157,0.4748260794884397,0.6249280605889412,1.0,0.28841775157582245,0.28125035416734695,0.29790895361282715,0.38554158598989113,0.328202406722087,0.5320532681717364,0.45774751535105657,0.3472128084422232,0.30740015564983186,0.3040124404684821,-0.08613475830927708,-0.04063858335313365,-0.16704795561589522
above_quantile_mean_0.3,0.8702364729458917,0.4824849699398797,0.41212024048096185,0.35171142284569135,0.405369580154299,0.28841775157582245,1.0,0.8493466933867735,0.8100841683366732,0.6729138276553105,0.704,0.4720480961923847,0.5139719438877755,0.6032705410821643,0.6485450901803607,0.6626052104208416,0.026709418837675344,0.27288176352705407,-0.18585971943887772
above_quantile_mean_0.5,0.7413547094188375,0.5069338677354709,0.41617635270541076,0.3566653306613226,0.4062389447254724,0.28125035416734695,0.8493466933867735,1.0,0.9321042084168336,0.7408416833667333,0.6293707414829659,0.4871342685370741,0.5447695390781563,0.6703006012024048,0.7348456913827655,0.7509899799599197,0.03512625250501002,0.1965531062124248,-0.17622444889779557
above_quantile_mean_0.7,0.7060681362725449,0.5441122244488977,0.44370340681362724,0.3882324649298597,0.4365911077973081,0.29790895361282715,0.8100841683366732,0.9321042084168336,1.0,0.7909739478957915,0.6382044088176352,0.5206573146292585,0.5826853707414829,0.7108456913827654,0.7654188376753506,0.7724569138276551,0.03110220440881763,0.14555511022044085,-0.17643286573146288
above_quantile_mean_0.9,0.581691382765531,0.7442244488977955,0.6264048096192384,0.5416272545090179,0.5640097151636321,0.38554158598989113,0.6729138276553105,0.7408416833667333,0.7909739478957915,1.0,0.6617074148296592,0.673571142284569,0.7403446893787573,0.778949899799599,0.7297635270541081,0.7232384769539077,-0.005226452905811622,0.017811623246492984,-0.22218837675350697
above_quantile_mean_fg_ratio,0.6562885771543086,0.5882164328657313,0.518877755511022,0.44554709418837674,0.47283983056927625,0.328202406722087,0.704,0.6293707414829659,0.6382044088176352,0.6617074148296592,1.0,0.525258517034068,0.5487134268537074,0.5629178356713426,0.5343486973947895,0.5332745490981964,0.01925450901803607,0.13995991983967934,-0.18840881763527054
patch_aggregation_10,0.41038877755511016,0.7031663326653306,0.7478476953907814,0.7293787575150299,0.7606373020872802,0.5320532681717364,0.4720480961923847,0.4871342685370741,0.5206573146292585,0.673571142284569,0.525258517034068,1.0,0.811639278557114,0.6201843687374748,0.5241843687374749,0.5121763527054107,-0.03519038076152304,-0.06784769539078156,-0.2528897795591182
patch_aggregation_20,0.4443607214428857,0.7475911823647294,0.7362565130260519,0.6503246492985971,0.6577687942417,0.45774751535105657,0.5139719438877755,0.5447695390781563,0.5826853707414829,0.7403446893787573,0.5487134268537074,0.811639278557114,1.0,0.7354388777555109,0.6203607214428857,0.6059158316633265,-0.04303006012024048,-0.06648496993987975,-0.23863727454909817
patch_aggregation_40,0.5208657314629257,0.6700601202404809,0.5653547094188376,0.47191983967935863,0.5092019487200931,0.3472128084422232,0.6032705410821643,0.6703006012024048,0.7108456913827654,0.778949899799599,0.5629178356713426,0.6201843687374748,0.7354388777555109,1.0,0.8233266533066131,0.7943567134268535,-0.013082164328657312,-0.017683366733466932,-0.18723847695390777
patch_aggregation_80,0.565691382765531,0.5740280561122244,0.46095390781563117,0.3871743486973947,0.4389535115233226,0.30740015564983186,0.6485450901803607,0.7348456913827655,0.7654188376753506,0.7297635270541081,0.5343486973947895,0.5241843687374749,0.6203607214428857,0.8233266533066131,1.0,0.9324248496993987,-0.005739478957915831,0.05003607214428857,-0.15485370741482965
