,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.43980012401065033,0.3403040819644605,0.2810424975923682,0.16405822873051806,0.11914195316613872,0.9961848488164278,0.987992851150746,0.9436262173104278,0.802232191705876,0.2414195572090309,0.4688932738597548,0.5100703942809206,0.5630740051792684,0.6834299886931465,0.720567531093847,0.19985516669889264,0.1663337575525149,-0.15206147873372955
above_threshold_mean_0.3,0.43980012401065033,1.0,0.8155940029812646,0.7202979189912612,0.3990514852448074,0.2973842689169871,0.4402888718678193,0.44608819345661455,0.4909362804099646,0.6230805704489915,0.6109640004376847,0.5718516681355036,0.6433672538935697,0.6157785315680053,0.5664149979939453,0.5496443812233286,0.5259628762265185,0.4317030670508748,-0.01579514179729568
above_threshold_mean_0.5,0.3403040819644605,0.8155940029812646,1.0,0.8833160689854792,0.48227443089129657,0.3664229162661641,0.34077824119807404,0.3454687702321283,0.387661647266296,0.5343008613293733,0.6947490512267658,0.5221132259914543,0.5845398558200912,0.5467092437351684,0.476577445705001,0.4566554631357908,0.5927732785798874,0.4835840575838027,0.03567202478294976
above_threshold_mean_0.7,0.2810424975923682,0.7202979189912612,0.8833160689854792,1.0,0.5519347391469366,0.42436481411230054,0.28141453157877266,0.28552149499731583,0.3255844489842413,0.4746752453398101,0.7180803046409289,0.4831024829719798,0.530297973699298,0.48590191798836774,0.41073646316657597,0.3911353784318948,0.6118055480562387,0.5061184025559249,0.06831953359009457
above_threshold_mean_0.9,0.16405822873051806,0.3990514852448074,0.48227443089129657,0.5519347391469366,1.0,0.7587593504834885,0.1638685238629622,0.1654664225550673,0.18883660296973706,0.29410091544005873,0.4530881871339875,0.38367949405614493,0.32977272688161996,0.2798511613501899,0.23206012740823334,0.21934990128199083,0.4081143371256767,0.3607770589333586,0.0889602469998277
above_threshold_mean_0.95,0.11914195316613872,0.2973842689169871,0.3664229162661641,0.42436481411230054,0.7587593504834885,1.0,0.11883550684162542,0.1195140665601906,0.1363467253852431,0.2191966781197342,0.36051221176672876,0.31755981020834073,0.2412535171436326,0.19792784393029858,0.16741454561804475,0.1579001168760125,0.335612252395105,0.3072653531507381,0.09675199720413216
above_quantile_mean_0.3,0.9961848488164278,0.4402888718678193,0.34077824119807404,0.28141453157877266,0.1638685238629622,0.11883550684162542,1.0,0.9900426742532006,0.9443046285151548,0.8021227705438232,0.24152897837108364,0.4694403816655279,0.5103694787905314,0.5631834263413211,0.68369989422621,0.7208374366269104,0.2003075670835412,0.16678615793716348,-0.15287250874183983
above_quantile_mean_0.5,0.987992851150746,0.44608819345661455,0.3454687702321283,0.28552149499731583,0.1654664225550673,0.1195140665601906,0.9900426742532006,1.0,0.9516066673961412,0.8071634387423862,0.24433745486377065,0.4732263676814776,0.515089178247073,0.5679177152861363,0.6881423934055513,0.7253237042710727,0.20263524003036193,0.16838415284422847,-0.15353728743701223
above_quantile_mean_0.7,0.9436262173104278,0.4909362804099646,0.387661647266296,0.3255844489842413,0.18883660296973706,0.1363467253852431,0.9443046285151548,0.9516066673961412,1.0,0.8486705328810592,0.28069445964182804,0.5004358625552584,0.5478134004449794,0.5974614290403765,0.7107706897180582,0.7438669438669439,0.23479215124239647,0.19568140831148992,-0.14688950048528845
above_quantile_mean_0.9,0.802232191705876,0.6230805704489915,0.5343008613293733,0.4746752453398101,0.29410091544005873,0.2191966781197342,0.8021227705438232,0.8071634387423862,0.8486705328810592,1.0,0.4055002370791845,0.5771257873831561,0.6420979684137579,0.6762665499507605,0.7473246525878104,0.7659773133457344,0.3372900254868823,0.276522438336026,-0.11459455147381437
