0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,,,,,,0.999379398600439,0.993823164952785,0.9694199546212762,0.9108771959750619,1.0,0.7275637171946345,0.7468910760976764,0.7576905323298672,0.7983414079510674,0.8190166142304542,0.842183854908326,1.0
above_threshold_mean_0.3,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.5,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.999379398600439,,,,,,1.0,0.9968047258427303,0.9758194513924542,0.9192115777382373,0.9993793986004392,0.7354085997687395,0.7539839560590144,0.7640427402136881,0.8054709910577905,0.826336625628346,0.8460873553216343,0.999379398600439
above_quantile_mean_0.5,0.993823164952785,,,,,,0.9968047258427303,1.0,0.9896362870159144,0.940119397953415,0.993823164952785,0.7570616796748844,0.7744921874786252,0.7839678341512938,0.8279966650510385,0.8481416770190314,0.8496257242778685,0.9938231649527852
above_quantile_mean_0.7,0.9694199546212762,,,,,,0.9758194513924542,0.9896362870159144,1.0,0.9712240289767227,0.9694199546212762,0.7971599123886282,0.8127153660424227,0.8214732494920343,0.8668212679707802,0.8831463912402643,0.8489014062549294,0.9694199546212761
above_quantile_mean_0.9,0.9108771959750619,,,,,,0.9192115777382373,0.940119397953415,0.9712240289767227,1.0,0.9108771959750619,0.8755469533742813,0.8786750599878685,0.8772653294425119,0.9028517291717314,0.9122659550045926,0.865267459924584,0.9108771959750619
above_quantile_mean_fg_ratio,1.0,,,,,,0.9993793986004392,0.993823164952785,0.9694199546212762,0.9108771959750619,1.0,0.7275637171946345,0.7468910760976764,0.7576905323298672,0.7983414079510674,0.8190166142304542,0.842183854908326,1.0
patch_aggregation_10,0.7275637171946345,,,,,,0.7354085997687395,0.7570616796748844,0.7971599123886282,0.8755469533742813,0.7275637171946345,1.0,0.9655070654765622,0.9295130220303429,0.8949155520350752,0.876932853287759,0.8426359132315595,0.7275637171946345
patch_aggregation_20,0.7468910760976764,,,,,,0.7539839560590144,0.7744921874786252,0.8127153660424227,0.8786750599878685,0.7468910760976764,0.9655070654765622,1.0,0.9843414095099092,0.9360934182107237,0.9169322025271007,0.7778571276631243,0.746891076097676
patch_aggregation_40,0.7576905323298672,,,,,,0.7640427402136881,0.7839678341512938,0.8214732494920343,0.8772653294425119,0.7576905323298672,0.9295130220303429,0.9843414095099092,1.0,0.9702041908314991,0.9540614051550862,0.7472673880747848,0.757690532329867
patch_aggregation_80,0.7983414079510674,,,,,,0.8054709910577905,0.8279966650510385,0.8668212679707802,0.9028517291717314,0.7983414079510674,0.8949155520350752,0.9360934182107237,0.9702041908314991,1.0,0.9952340310265919,0.7665716125945338,0.7983414079510672
patch_aggregation_100,0.8190166142304542,,,,,,0.826336625628346,0.8481416770190314,0.8831463912402643,0.9122659550045926,0.8190166142304542,0.876932853287759,0.9169322025271007,0.9540614051550862,0.9952340310265919,1.0,0.76720476507327,0.8190166142304542
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.842183854908326,,,,,,0.8460873553216343,0.8496257242778685,0.8489014062549294,0.865267459924584,0.842183854908326,0.8426359132315595,0.7778571276631243,0.7472673880747848,0.7665716125945338,0.76720476507327,1.0,0.8421838549083263
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",1.0,,,,,,0.999379398600439,0.9938231649527852,0.9694199546212761,0.9108771959750619,1.0,0.7275637171946345,0.746891076097676,0.757690532329867,0.7983414079510672,0.8190166142304542,0.8421838549083263,1.0
