,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.5209512179837763,0.7746797620565797,0.7702243761501371,0.7659852734934114,0.775513535031859,0.9985585038382461,0.9925092482988682,0.9751151192426619,0.9624816477982274,0.829177282762568,0.7686396302619676,0.7290446804506838,0.8003430310844201,0.8692933210914819,0.8489193780819081,0.7785619652934863,0.8080465291264968,0.03082447216018339
above_threshold_mean_0.3,0.5209512179837763,1.0,0.7342433401621574,0.576189347959922,0.5723892032303656,0.5521987416670938,0.5439433319759229,0.5680485300013969,0.5887953563263304,0.6173649728634242,0.6169513237660039,0.6174204907473486,0.390067319200798,0.39051093181150903,0.6814138315216602,0.6523411982710258,0.5412481689994688,0.6080139955743018,-0.04068472716486875
above_threshold_mean_0.5,0.7746797620565797,0.7342433401621574,1.0,0.9120672839683497,0.7608333610428749,0.7439744481360135,0.7756402702222327,0.7660428676755283,0.7366380702125745,0.7886131182362984,0.9128146182877891,0.7900831321957028,0.6402177666524153,0.6906753035962944,0.7637761693961664,0.749057831493323,0.783545861061466,0.845413883786746,-0.08899421158690282
above_threshold_mean_0.7,0.7702243761501371,0.576189347959922,0.9120672839683497,1.0,0.9179514026877846,0.8881469665906603,0.7790700186504774,0.7789353990307095,0.7629638718450652,0.8147625089968323,0.9280566326853193,0.8476540668923592,0.8243925137243056,0.7998003188732614,0.6957165575632819,0.6961282629359212,0.9282301211236071,0.9132733746915472,-0.019120195112618067
above_threshold_mean_0.9,0.7659852734934114,0.5723892032303656,0.7608333610428749,0.9179514026877846,1.0,0.988638765058117,0.7840642461581506,0.7989505341694052,0.807793179419382,0.8412818900552632,0.859191133169693,0.8599571842849347,0.8350822516952284,0.7717110568429904,0.7063619194281832,0.7104554123991447,0.9206782396564193,0.8834895252611812,0.04248354690355338
above_threshold_mean_0.95,0.775513535031859,0.5521987416670938,0.7439744481360135,0.8881469665906603,0.988638765058117,1.0,0.7913927648633728,0.8031433410078004,0.8069349677454734,0.8367046877685932,0.8455191757002358,0.8582446672171302,0.809731547103758,0.7496482441523249,0.7234611449888554,0.7331298465941833,0.8831356896225163,0.8577079146182626,0.022195899175439314
above_quantile_mean_0.3,0.9985585038382461,0.5439433319759229,0.7756402702222327,0.7790700186504774,0.7840642461581506,0.7913927648633728,1.0,0.9974695711060829,0.9844268764751906,0.9724811160042749,0.8298415325428056,0.7788132012553294,0.7418876728991388,0.8076537147238045,0.8795577521013539,0.8603522454661445,0.7925401367773832,0.8150098628072956,0.028999138932790842
above_quantile_mean_0.5,0.9925092482988682,0.5680485300013969,0.7660428676755283,0.7789353990307095,0.7989505341694052,0.8031433410078004,0.9974695711060829,1.0,0.9941313556009234,0.9824541880187159,0.8229746434871248,0.7851544150117473,0.7497322842632215,0.8092631045833477,0.8877933443462428,0.8676702767745542,0.8052980548633086,0.8194971561044515,0.03356948730703613
above_quantile_mean_0.7,0.9751151192426619,0.5887953563263304,0.7366380702125745,0.7629638718450652,0.807793179419382,0.8069349677454734,0.9844268764751906,0.9941313556009234,1.0,0.9894954511679811,0.8002702372894122,0.781604255630277,0.7463558695402219,0.7967345250707109,0.8873257334534128,0.8620341677111174,0.8126814781674259,0.8157991604029053,0.04471105833918049
above_quantile_mean_0.9,0.9624816477982274,0.6173649728634242,0.7886131182362984,0.8147625089968323,0.8412818900552632,0.8367046877685932,0.9724811160042749,0.9824541880187159,0.9894954511679811,1.0,0.8324669710085034,0.8038941229988039,0.7626174272979185,0.8009543977746689,0.9017705499638933,0.8694118457124236,0.8409675161152388,0.8436234160225251,0.017067968683735536
above_quantile_mean_fg_ratio,0.829177282762568,0.6169513237660039,0.9128146182877891,0.9280566326853193,0.859191133169693,0.8455191757002358,0.8298415325428056,0.8229746434871248,0.8002702372894122,0.8324669710085034,1.0,0.8590126354201,0.7872286910208702,0.7678954965881408,0.7102941336561689,0.6980123886809094,0.9117589493658802,0.9719869403550867,0.08784620708306981
patch_aggregation_10,0.7686396302619676,0.6174204907473486,0.7900831321957028,0.8476540668923592,0.8599571842849347,0.8582446672171302,0.7788132012553294,0.7851544150117473,0.781604255630277,0.8038941229988039,0.8590126354201,1.0,0.8424527597203952,0.780052257205814,0.7274467264374604,0.7280882576052569,0.8456931541555501,0.8582275464022354,0.17483969176280953
patch_aggregation_20,0.7290446804506838,0.390067319200798,0.6402177666524153,0.8243925137243056,0.8350822516952284,0.809731547103758,0.7418876728991388,0.7497322842632215,0.7463558695402219,0.7626174272979185,0.7872286910208702,0.8424527597203952,1.0,0.8694347833735909,0.6457239335133155,0.6521043862067927,0.8787433120678025,0.8250362327985601,0.09373479693696621
patch_aggregation_40,0.8003430310844201,0.39051093181150903,0.6906753035962944,0.7998003188732614,0.7717110568429904,0.7496482441523249,0.8076537147238045,0.8092631045833477,0.7967345250707109,0.8009543977746689,0.7678954965881408,0.780052257205814,0.8694347833735909,1.0,0.7705664969880905,0.7710697436778436,0.8105129552258503,0.7730237949033388,-0.145209362801675
patch_aggregation_80,0.8692933210914819,0.6814138315216602,0.7637761693961664,0.6957165575632819,0.7063619194281832,0.7234611449888554,0.8795577521013539,0.8877933443462428,0.8873257334534128,0.9017705499638933,0.7102941336561689,0.7274467264374604,0.6457239335133155,0.7705664969880905,1.0,0.9732727082436954,0.6580239427105967,0.6836241910676468,-0.19615831070289688
patch_aggregation_100,0.8489193780819081,0.6523411982710258,0.749057831493323,0.6961282629359212,0.7104554123991447,0.7331298465941833,0.8603522454661445,0.8676702767745542,0.8620341677111174,0.8694118457124236,0.6980123886809094,0.7280882576052569,0.6521043862067927,0.7710697436778436,0.9732727082436954,1.0,0.6486816545707673,0.6662309065821365,-0.20357541247198832
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.7785619652934863,0.5412481689994688,0.783545861061466,0.9282301211236071,0.9206782396564193,0.8831356896225163,0.7925401367773832,0.8052980548633086,0.8126814781674259,0.8409675161152388,0.9117589493658802,0.8456931541555501,0.8787433120678025,0.8105129552258503,0.6580239427105967,0.6486816545707673,1.0,0.9707124791391301,0.061951313991298336
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.8080465291264968,0.6080139955743018,0.845413883786746,0.9132733746915472,0.8834895252611812,0.8577079146182626,0.8150098628072956,0.8194971561044515,0.8157991604029053,0.8436234160225251,0.9719869403550867,0.8582275464022354,0.8250362327985601,0.7730237949033388,0.6836241910676468,0.6662309065821365,0.9707124791391301,1.0,0.10318281796969093
