,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.7482114478480997,0.7905295896255583,0.8000147456323006,0.7847509507316822,0.7647195484977276,0.9981992955532508,0.9908136259681057,0.9690613374909766,0.9200416703178765,0.7904157803019837,0.7775000572496855,0.7490226630384672,0.8425254230842353,0.899230967626696,0.9015468574424339,0.7811303974199921,0.7866444153953619,0.04522370279432489
above_threshold_mean_0.3,0.7482114478480997,1.0,0.9797830390620974,0.9561059147925501,0.9123384267401671,0.8753368179004396,0.7759654827189337,0.8105441144784993,0.8518330534865113,0.9090131534166896,0.9629002695267247,0.7730526470401952,0.8388697021067694,0.862040207391267,0.7736068367901479,0.7694183621054316,0.9689641739805842,0.9721398112769629,0.24123025665848918
above_threshold_mean_0.5,0.7905295896255583,0.9797830390620974,1.0,0.9866555961835608,0.9362978823962794,0.9028283891505839,0.8128907576415783,0.8393823542087155,0.8723426470466654,0.9347590008825234,0.9841258520878697,0.8096682292884895,0.8595248279209836,0.8747303732457101,0.7963866735471838,0.7924700933239279,0.9791487554456421,0.9837000849187703,0.26478980749924336
above_threshold_mean_0.7,0.8000147456323006,0.9561059147925501,0.9866555961835608,1.0,0.9688784723311743,0.9392186091887516,0.8224869685513637,0.8488801209770304,0.8834634618834243,0.9485470973612572,0.987285795670463,0.846191035826671,0.8909639426828706,0.8952871506710929,0.798899751491081,0.7997684672092048,0.9848928943669613,0.9849243533227207,0.260460620989713
above_threshold_mean_0.9,0.7847509507316822,0.9123384267401671,0.9362978823962794,0.9688784723311743,1.0,0.9908863276757768,0.8078013462421162,0.8357849729643252,0.8764390586562459,0.93813419983809,0.9586389848738026,0.8451411711339466,0.8762555882955188,0.8821023669371654,0.7855203162212813,0.7908374591169969,0.9513252039866457,0.9500635893895065,0.25428338743786966
above_threshold_mean_0.95,0.7647195484977276,0.8753368179004396,0.9028283891505839,0.9392186091887516,0.9908863276757768,1.0,0.7864099744790413,0.8131955720748296,0.8532593333938105,0.9142501949424612,0.9353230932109488,0.8201107058499586,0.8450478999239478,0.852310000823964,0.7656710642298762,0.7717523668142162,0.9160056458848013,0.9184551932031567,0.25932115241259523
above_quantile_mean_0.3,0.9981992955532508,0.7759654827189337,0.8128907576415783,0.8224869685513637,0.8078013462421162,0.7864099744790413,1.0,0.9969627951264118,0.9807986717595881,0.936961379575714,0.8130634237781477,0.7932437235369781,0.7674677479437647,0.8582542387741396,0.9070111847415002,0.9086692446330831,0.8055631582842552,0.810168641255358,0.05308427512494471
above_quantile_mean_0.5,0.9908136259681057,0.8105441144784993,0.8393823542087155,0.8488801209770304,0.8357849729643252,0.8131955720748296,0.9969627951264118,1.0,0.9923547960450444,0.9561996250588636,0.8410890719147656,0.8097151793941353,0.7896013052346964,0.8749558674231452,0.9100037708649291,0.9105084027857844,0.8353487368475632,0.8391402382691925,0.0675320742770211
above_quantile_mean_0.7,0.9690613374909766,0.8518330534865113,0.8723426470466654,0.8834634618834243,0.8764390586562459,0.8532593333938105,0.9807986717595881,0.9923547960450444,1.0,0.9802914168384272,0.8770205179926965,0.8342149471613549,0.8218844690515615,0.8922873800695146,0.9038807678812444,0.9023284589610979,0.8728678491224712,0.8752833375704983,0.09685841435517224
above_quantile_mean_0.9,0.9200416703178765,0.9090131534166896,0.9347590008825234,0.9485470973612572,0.93813419983809,0.9142501949424612,0.936961379575714,0.9561996250588636,0.9802914168384272,1.0,0.9393206485344345,0.8647748053574456,0.8679460394510737,0.9094308616902403,0.8850965529987153,0.8825847624253406,0.9323941406965153,0.9346607679034341,0.16927282568233765
above_quantile_mean_fg_ratio,0.7904157803019837,0.9629002695267247,0.9841258520878697,0.987285795670463,0.9586389848738026,0.9353230932109488,0.8130634237781477,0.8410890719147656,0.8770205179926965,0.9393206485344345,1.0,0.8110593248779419,0.8659720408464113,0.8769603858449665,0.7851430461951716,0.7824050206743927,0.9874147874028651,0.993998478523236,0.2750003265482853
patch_aggregation_10,0.7775000572496855,0.7730526470401952,0.8096682292884895,0.846191035826671,0.8451411711339466,0.8201107058499586,0.7932437235369781,0.8097151793941353,0.8342149471613549,0.8647748053574456,0.8110593248779419,1.0,0.8959719579871167,0.8500038693260895,0.7490855343805617,0.7656300741655527,0.8192232268650658,0.8099786735365461,0.17941748660735649
patch_aggregation_20,0.7490226630384672,0.8388697021067694,0.8595248279209836,0.8909639426828706,0.8762555882955188,0.8450478999239478,0.7674677479437647,0.7896013052346964,0.8218844690515615,0.8679460394510737,0.8659720408464113,0.8959719579871167,1.0,0.896148366367142,0.7266692192089809,0.7376169873091043,0.8840043818900828,0.8736634600039216,0.20848567289547354
patch_aggregation_40,0.8425254230842353,0.862040207391267,0.8747303732457101,0.8952871506710929,0.8821023669371654,0.852310000823964,0.8582542387741396,0.8749558674231452,0.8922873800695146,0.9094308616902403,0.8769603858449665,0.8500038693260895,0.896148366367142,1.0,0.8708016485068045,0.862843233178143,0.8876375212590457,0.8823427403979952,0.12345154184151821
patch_aggregation_80,0.899230967626696,0.7736068367901479,0.7963866735471838,0.798899751491081,0.7855203162212813,0.7656710642298762,0.9070111847415002,0.9100037708649291,0.9038807678812444,0.8850965529987153,0.7851430461951716,0.7490855343805617,0.7266692192089809,0.8708016485068045,1.0,0.9811419899602563,0.7778550530330092,0.7821567356919394,0.009562927263130008
patch_aggregation_100,0.9015468574424339,0.7694183621054316,0.7924700933239279,0.7997684672092048,0.7908374591169969,0.7717523668142162,0.9086692446330831,0.9105084027857844,0.9023284589610979,0.8825847624253406,0.7824050206743927,0.7656300741655527,0.7376169873091043,0.862843233178143,0.9811419899602563,1.0,0.7770916977510841,0.7793824558311766,0.03607199921780385
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.7811303974199921,0.9689641739805842,0.9791487554456421,0.9848928943669613,0.9513252039866457,0.9160056458848013,0.8055631582842552,0.8353487368475632,0.8728678491224712,0.9323941406965153,0.9874147874028651,0.8192232268650658,0.8840043818900828,0.8876375212590457,0.7778550530330092,0.7770916977510841,1.0,0.9977117706788868,0.25257021246530353
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.7866444153953619,0.9721398112769629,0.9837000849187703,0.9849243533227207,0.9500635893895065,0.9184551932031567,0.810168641255358,0.8391402382691925,0.8752833375704983,0.9346607679034341,0.993998478523236,0.8099786735365461,0.8736634600039216,0.8823427403979952,0.7821567356919394,0.7793824558311766,0.9977117706788868,1.0,0.2567245653766563
gmm_normalized_score,0.04522370279432489,0.24123025665848918,0.26478980749924336,0.260460620989713,0.25428338743786966,0.25932115241259523,0.05308427512494471,0.0675320742770211,0.09685841435517224,0.16927282568233765,0.2750003265482853,0.17941748660735649,0.20848567289547354,0.12345154184151821,0.009562927263130008,0.03607199921780385,0.25257021246530353,0.2567245653766563,1.0
