,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.0829334516411837,0.23053519535187325,,,,1.0,0.9999999999999997,0.9999999999999998,0.9999999999573075,0.6636944824246251,0.9423144336017458,0.9977830094931631,0.9999908545355456,1.0000000000000002,1.0,0.43134666720891823,0.43134666720891823,-0.00557474230788451
above_threshold_mean_0.3,0.0829334516411837,1.0,0.4595882452322151,,,,0.08293345164118371,0.08293345164118365,0.08293345164118368,0.08293367447919792,0.12405675672503745,0.1632832621033631,0.08040165726030102,0.08243776410495059,0.08293345164118364,0.08293345164118365,0.29298857041311155,0.29298857041311155,-0.18731569353023383
above_threshold_mean_0.5,0.23053519535187325,0.4595882452322151,1.0,,,,0.23053519535187347,0.23053519535187345,0.23053519535187353,0.23053649220626823,0.07802562410698646,0.21683473010868992,0.23408868621861376,0.23048530823547547,0.23053519535187353,0.2305351953518735,0.10626208588175104,0.10626208588175104,-0.2036927037708916
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.08293345164118371,0.23053519535187347,,,,1.0,0.9999999999999997,0.9999999999999998,0.9999999999573075,0.6636944824246251,0.9423144336017458,0.9977830094931631,0.9999908545355456,1.0000000000000002,1.0,0.43134666720891823,0.43134666720891823,-0.00557474230788451
above_quantile_mean_0.5,0.9999999999999997,0.08293345164118365,0.23053519535187345,,,,0.9999999999999997,1.0,1.0,0.9999999999573075,0.6636944824246251,0.9423144336017458,0.9977830094931628,0.9999908545355455,1.0000000000000002,1.0000000000000002,0.43134666720891823,0.43134666720891823,-0.0055747423078845015
above_quantile_mean_0.7,0.9999999999999998,0.08293345164118368,0.23053519535187353,,,,0.9999999999999998,1.0,1.0,0.9999999999573075,0.6636944824246254,0.9423144336017457,0.9977830094931629,0.9999908545355454,1.0000000000000002,0.9999999999999998,0.4313466672089184,0.4313466672089184,-0.005574742307884532
above_quantile_mean_0.9,0.9999999999573075,0.08293367447919792,0.23053649220626823,,,,0.9999999999573075,0.9999999999573075,0.9999999999573075,1.0,0.6636933476092061,0.9423153070570423,0.9977836066929915,0.9999908537375095,0.9999999999573076,0.9999999999573078,0.4313445919811979,0.4313445919811979,-0.005574262983789606
above_quantile_mean_fg_ratio,0.6636944824246251,0.12405675672503745,0.07802562410698646,,,,0.6636944824246251,0.6636944824246251,0.6636944824246254,0.6636933476092061,1.0,0.7206922648895464,0.6535084383570314,0.6637333754232738,0.663694482424625,0.6636944824246247,0.7999522061431568,0.7999522061431568,-0.13993422530990776
patch_aggregation_10,0.9423144336017458,0.1632832621033631,0.21683473010868992,,,,0.9423144336017458,0.9423144336017458,0.9423144336017457,0.9423153070570423,0.7206922648895464,1.0,0.9463904845737862,0.9421789800026192,0.9423144336017454,0.9423144336017455,0.49956446762275813,0.49956446762275813,-0.002661134981241732
patch_aggregation_20,0.9977830094931631,0.08040165726030102,0.23408868621861376,,,,0.9977830094931631,0.9977830094931628,0.9977830094931629,0.9977836066929915,0.6535084383570314,0.9463904845737862,1.0,0.9978066617333688,0.9977830094931635,0.9977830094931631,0.4147913682108888,0.4147913682108888,-0.00040220161056030726
patch_aggregation_40,0.9999908545355456,0.08243776410495059,0.23048530823547547,,,,0.9999908545355456,0.9999908545355455,0.9999908545355454,0.9999908537375095,0.6637333754232738,0.9421789800026192,0.9978066617333688,1.0,0.9999908545355445,0.9999908545355454,0.4314548896211618,0.4314548896211618,-0.0052161540355884165
patch_aggregation_80,1.0000000000000002,0.08293345164118364,0.23053519535187353,,,,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9999999999573076,0.663694482424625,0.9423144336017454,0.9977830094931635,0.9999908545355445,1.0,1.0,0.43134666720891834,0.43134666720891834,-0.005574742307884465
patch_aggregation_100,1.0,0.08293345164118365,0.2305351953518735,,,,1.0,1.0000000000000002,0.9999999999999998,0.9999999999573078,0.6636944824246247,0.9423144336017455,0.9977830094931631,0.9999908545355454,1.0,1.0,0.4313466672089185,0.4313466672089185,-0.00557474230788452
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.43134666720891823,0.29298857041311155,0.10626208588175104,,,,0.43134666720891823,0.43134666720891823,0.4313466672089184,0.4313445919811979,0.7999522061431568,0.49956446762275813,0.4147913682108888,0.4314548896211618,0.43134666720891834,0.4313466672089185,1.0,1.0,-0.1235421369637695
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.43134666720891823,0.29298857041311155,0.10626208588175104,,,,0.43134666720891823,0.43134666720891823,0.4313466672089184,0.4313445919811979,0.7999522061431568,0.49956446762275813,0.4147913682108888,0.4314548896211618,0.43134666720891834,0.4313466672089185,1.0,1.0,-0.1235421369637695
gmm_normalized_score,-0.00557474230788451,-0.18731569353023383,-0.2036927037708916,,,,-0.00557474230788451,-0.0055747423078845015,-0.005574742307884532,-0.005574262983789606,-0.13993422530990776,-0.002661134981241732,-0.00040220161056030726,-0.0052161540355884165,-0.005574742307884465,-0.00557474230788452,-0.1235421369637695,-0.1235421369637695,1.0
