,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.14196651677783184,0.0803208091012307,,,,1.0,0.9999999999999999,1.0000000000000004,0.9989946657686252,0.5695398856038316,0.8790681380904916,0.9879271419418364,0.9999992298967639,0.9999999999999998,1.0000000000000002,0.6989831291227008,0.6989831291227008,0.37226232537578985
above_threshold_mean_0.3,0.14196651677783184,1.0,0.5727362374258326,,,,0.14196651677783176,0.14196651677783173,0.14196651677783173,0.13854574033182193,0.028936266137271856,0.11315847842860104,0.136327147037428,0.14199130319237502,0.14196651677783173,0.1419665167778317,0.24686343611833653,0.24686343611833653,-0.3074202496234791
above_threshold_mean_0.5,0.0803208091012307,0.5727362374258326,1.0,,,,0.0803208091012307,0.08032080910123068,0.08032080910123074,0.08126944720279909,-0.06103642141129627,0.09561273459660632,0.08506595313706447,0.08031446687375375,0.08032080910123071,0.08032080910123068,0.1793904743155119,0.1793904743155119,-0.6386720919041612
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,1.0,0.14196651677783176,0.0803208091012307,,,,1.0,0.9999999999999999,1.0000000000000004,0.9989946657686252,0.5695398856038316,0.8790681380904916,0.9879271419418364,0.9999992298967639,0.9999999999999998,1.0000000000000002,0.6989831291227008,0.6989831291227008,0.37226232537578985
above_quantile_mean_0.5,0.9999999999999999,0.14196651677783173,0.08032080910123068,,,,0.9999999999999999,1.0,1.0000000000000004,0.9989946657686253,0.5695398856038315,0.8790681380904918,0.9879271419418363,0.999999229896764,0.9999999999999998,0.9999999999999998,0.6989831291227007,0.6989831291227007,0.3722623253757899
above_quantile_mean_0.7,1.0000000000000004,0.14196651677783173,0.08032080910123074,,,,1.0000000000000004,1.0000000000000004,1.0,0.9989946657686257,0.5695398856038314,0.8790681380904922,0.987927141941837,0.9999992298967639,1.0000000000000002,1.0000000000000004,0.6989831291227008,0.6989831291227008,0.37226232537579024
above_quantile_mean_0.9,0.9989946657686252,0.13854574033182193,0.08126944720279909,,,,0.9989946657686252,0.9989946657686253,0.9989946657686257,1.0,0.5733929554513265,0.887841319060093,0.9902086272777015,0.9989919398994819,0.9989946657686255,0.9989946657686256,0.7016960473284513,0.7016960473284513,0.36702493317030654
