,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,-0.090455837709792,-0.08844257588360349,0.014569136450898492,0.03365308402697519,0.034125052875828045,0.9999437369107678,0.9983430907664955,0.9811914056922739,0.8365424969884491,-0.6511286585592152,0.637230488369273,0.7839335573525292,0.8725708167810923,0.9302293928114304,0.94034475329674,-0.5221951508717169,-0.5728852712809295,-0.04223556264271635
above_threshold_mean_0.3,-0.090455837709792,1.0,0.975461517119706,0.5940052652854892,0.22917039074416523,0.2239846568134005,-0.09211010496914733,-0.10559697744749355,-0.1557213978011667,-0.3190195638940687,0.6158606244783499,0.12951290966726273,-0.18798136184517603,-0.22615909402376405,-0.21310665062716463,-0.207895959618627,0.6352854863765208,0.6587197481718732,-0.3253662443925273
above_threshold_mean_0.5,-0.08844257588360349,0.975461517119706,1.0,0.6862342559170495,0.28984969607231814,0.28457447001497266,-0.09036230933605782,-0.10401428438365594,-0.15392394911255594,-0.3220391102829429,0.6270797063247009,0.13474074545971132,-0.16739448554605882,-0.21220176253877698,-0.20154472549259547,-0.1994740243420292,0.6510502377560896,0.6723939317307224,-0.39250394080512724
above_threshold_mean_0.7,0.014569136450898492,0.5940052652854892,0.6862342559170495,1.0,0.4154479798048027,0.4127794151054114,0.013593874035696969,0.011915686641198712,0.006379907767877446,-0.024796907490391214,0.35690819762093207,0.35615605756193747,0.05088801002320747,-0.03651059355540147,-0.05983257778917186,-0.06331445843298512,0.34683892592720855,0.37351123806035036,-0.6420683930755682
above_threshold_mean_0.9,0.03365308402697519,0.22917039074416523,0.28984969607231814,0.4154479798048027,1.0,0.9998183922258923,0.03439561759354553,0.03486009167696339,0.0333918327168892,-0.0026098801558502136,0.06228492458438314,0.3742182126368353,0.10378043495269823,-0.0039007189485643387,-0.005966952797117514,0.002164941397774256,0.09126715156633973,0.07590489584298613,-0.9997847703975993
above_threshold_mean_0.95,0.034125052875828045,0.2239846568134005,0.28457447001497266,0.4127794151054114,0.9998183922258923,1.0,0.03487901136264027,0.03541222617286338,0.03418076972105506,-0.001187168115442072,0.05827375262983457,0.37291193638311565,0.10300656691226415,-0.0028486869609789405,-0.005373413214170206,0.002725454882750006,0.08902294479651669,0.07200578680255183,-0.9999346341631706
above_quantile_mean_0.3,0.9999437369107678,-0.09211010496914733,-0.09036230933605782,0.013593874035696969,0.03439561759354553,0.03487901136264027,1.0,0.9988473501847875,0.9827976563810006,0.8395996682257668,-0.6551322833486579,0.6384565025561603,0.7863538402625383,0.8752723226235551,0.9322764319444647,0.9423696392096134,-0.5266071795407423,-0.5770447449065936,-0.04294366209810187
above_quantile_mean_0.5,0.9983430907664955,-0.10559697744749355,-0.10401428438365594,0.011915686641198712,0.03486009167696339,0.03541222617286338,0.9988473501847875,1.0,0.9902773194339182,0.8579773833009053,-0.6755503805519528,0.6477065548187844,0.8007328695491784,0.8890983261232225,0.9421345882945176,0.9510491711218584,-0.550712950235716,-0.5993191250204518,-0.04238883587539211
above_quantile_mean_0.7,0.9811914056922739,-0.1557213978011667,-0.15392394911255594,0.006379907767877446,0.0333918327168892,0.03418076972105506,0.9827976563810006,0.9902773194339182,1.0,0.9120986678461013,-0.7366256531485893,0.6744829397111256,0.8426162948663347,0.9247392245149834,0.9631305239738632,0.9666994326100835,-0.6279113923757164,-0.6694709962175135,-0.03744049500840548
above_quantile_mean_0.9,0.8365424969884491,-0.3190195638940687,-0.3220391102829429,-0.024796907490391214,-0.0026098801558502136,-0.001187168115442072,0.8395996682257668,0.8579773833009053,0.9120986678461013,1.0,-0.8448340518418606,0.7214400892237965,0.9093087962722893,0.9315391483454745,0.9157953017276653,0.8990079413982116,-0.8129339566912351,-0.8255813366452702,0.015655816919288357
above_quantile_mean_fg_ratio,-0.6511286585592152,0.6158606244783499,0.6270797063247009,0.35690819762093207,0.06228492458438314,0.05827375262983457,-0.6551322833486579,-0.6755503805519528,-0.7366256531485893,-0.8448340518418606,1.0,-0.3892207417978139,-0.6728029494515393,-0.7835837512998914,-0.763305764735524,-0.7513492792129165,0.9416897227930211,0.985525569319533,-0.08710556401778763
patch_aggregation_10,0.637230488369273,0.12951290966726273,0.13474074545971132,0.35615605756193747,0.3742182126368353,0.37291193638311565,0.6384565025561603,0.6477065548187844,0.6744829397111256,0.7214400892237965,-0.3892207417978139,1.0,0.8113747249710831,0.6680993836392547,0.6506921284098757,0.638534436782859,-0.41382235344733803,-0.37493311573651966,-0.46662725953655765
patch_aggregation_20,0.7839335573525292,-0.18798136184517603,-0.16739448554605882,0.05088801002320747,0.10378043495269823,0.10300656691226415,0.7863538402625383,0.8007328695491784,0.8426162948663347,0.9093087962722893,-0.6728029494515393,0.8113747249710831,1.0,0.9178649520123929,0.8871583567849626,0.8698866055795287,-0.6710340766316196,-0.649035380741168,-0.1331517077668666
patch_aggregation_40,0.8725708167810923,-0.22615909402376405,-0.21220176253877698,-0.03651059355540147,-0.0039007189485643387,-0.0028486869609789405,0.8752723226235551,0.8890983261232225,0.9247392245149834,0.9315391483454745,-0.7835837512998914,0.6680993836392547,0.9178649520123929,1.0,0.9715114210614525,0.9601143942312725,-0.7302907339866676,-0.7374655706796417,0.008552218138000812
patch_aggregation_80,0.9302293928114304,-0.21310665062716463,-0.20154472549259547,-0.05983257778917186,-0.005966952797117514,-0.005373413214170206,0.9322764319444647,0.9421345882945176,0.9631305239738632,0.9157953017276653,-0.763305764735524,0.6506921284098757,0.8871583567849626,0.9715114210614525,1.0,0.9944390438464231,-0.6816253404072754,-0.7032988565424834,0.015144213698414411
