,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.2118503864017812,0.1651922642601295,0.21710952200169137,0.2748711631286755,0.2844714258611307,0.993191517437602,0.9662249979045054,0.8936552905667428,0.7204695897012812,0.04463944883719959,0.3330604853889633,0.3941205223654438,0.47900364676979357,0.5892322693895286,0.6300922656649665,0.12553748893533417,0.11786147487437008,-0.3677801073337185
above_threshold_mean_0.3,0.2118503864017812,1.0,0.8209353758990249,0.7226824097083193,0.6886801321213999,0.6765107913295634,0.23166635275746744,0.25984509969000075,0.30596657733749233,0.427393800592966,0.6126726626323071,0.8542688114985074,0.8196354293148326,0.7344423309299498,0.6219256080959557,0.5804923075701235,0.6853325750869971,0.6625810747896617,-0.6131370172028818
above_threshold_mean_0.5,0.1651922642601295,0.8209353758990249,1.0,0.6693833873913224,0.5878949322630965,0.5631910863552644,0.18500305457246544,0.21102571494642072,0.24990219348178483,0.3458907041970178,0.6142386065156521,0.8002281310259693,0.7094645236684747,0.58822574356005,0.4722517677431641,0.43628420748560404,0.7009694544385474,0.6758520400220179,-0.456532712191228
above_threshold_mean_0.7,0.21710952200169137,0.7226824097083193,0.6693833873913224,1.0,0.7966991220703057,0.7384979949736598,0.2415715377264855,0.2720855834519649,0.31558874965936073,0.4269203593379835,0.45760336026864085,0.8422463063182313,0.778894375683893,0.6613077155176925,0.5397946151938737,0.5016519207912594,0.6674606084624687,0.6009266342785434,-0.5601494490226139
above_threshold_mean_0.9,0.2748711631286755,0.6886801321213999,0.5878949322630965,0.7966991220703057,1.0,0.919379900907962,0.30045347694500574,0.33172818686314204,0.3761139019112758,0.49434815154402684,0.4032549467777514,0.8441849087431207,0.789773496729705,0.7065196424418295,0.6034990215895583,0.5694674347351432,0.5407198003446295,0.45503291486479225,-0.7037959718325978
above_threshold_mean_0.95,0.2844714258611307,0.6765107913295634,0.5631910863552644,0.7384979949736598,0.919379900907962,1.0,0.310875472714168,0.34351770743202686,0.39050357124997537,0.5140373468909384,0.3656859711761023,0.8346067311514773,0.7881125798504932,0.714309903207097,0.6168358998059005,0.583908699590825,0.503973726958412,0.4159593175789845,-0.9488111263293761
above_quantile_mean_0.3,0.993191517437602,0.23166635275746744,0.18500305457246544,0.2415715377264855,0.30045347694500574,0.310875472714168,1.0,0.9890651249792811,0.9363093379166509,0.7771818522760927,0.03841211403549969,0.36459544977053754,0.4302804894460837,0.5202849026192286,0.6336555330652626,0.674400948582542,0.12829648178949563,0.11766232636541135,-0.37080023789429184
above_quantile_mean_0.5,0.9662249979045054,0.25984509969000075,0.21102571494642072,0.2720855834519649,0.33172818686314204,0.34351770743202686,0.9890651249792811,1.0,0.9767772878554282,0.8428583639819712,0.029268850376542407,0.40365284005539387,0.47469642073114615,0.5705582472842821,0.6862018588894726,0.7260442437897492,0.13100670033644257,0.11610314257344355,-0.3812400201206801
above_quantile_mean_0.7,0.8936552905667428,0.30596657733749233,0.24990219348178483,0.31558874965936073,0.3761139019112758,0.39050357124997537,0.9363093379166509,0.9767772878554282,1.0,0.9209145581781246,0.01802006424814358,0.4579629078911017,0.5353738886045709,0.6370990585050551,0.7518605494760029,0.788983448736363,0.13660469142045237,0.11419069567318131,-0.40956745076944034
above_quantile_mean_0.9,0.7204695897012812,0.427393800592966,0.3458907041970178,0.4269203593379835,0.49434815154402684,0.5140373468909384,0.7771818522760927,0.8428583639819712,0.9209145581781246,1.0,0.042298958991521786,0.5890470924571776,0.6709914628927588,0.7701051877759578,0.8586196416831358,0.8832418236583369,0.19644320792863823,0.1521433453516524,-0.5137875708042696
above_quantile_mean_fg_ratio,0.04463944883719959,0.6126726626323071,0.6142386065156521,0.45760336026864085,0.4032549467777514,0.3656859711761023,0.03841211403549969,0.029268850376542407,0.01802006424814358,0.042298958991521786,1.0,0.5148256864644154,0.44101893096779127,0.31392392182849593,0.2047163500157017,0.17225131230638022,0.7181537129731966,0.7927763053036315,-0.17113968441507532
patch_aggregation_10,0.3330604853889633,0.8542688114985074,0.8002281310259693,0.8422463063182313,0.8441849087431207,0.8346067311514773,0.36459544977053754,0.40365284005539387,0.4579629078911017,0.5890470924571776,0.5148256864644154,1.0,0.9526125156934822,0.8429372299720841,0.7213400576451726,0.6810027842636758,0.70585053320681,0.6342066019864366,-0.7197599768327114
patch_aggregation_20,0.3941205223654438,0.8196354293148326,0.7094645236684747,0.778894375683893,0.789773496729705,0.7881125798504932,0.4302804894460837,0.47469642073114615,0.5353738886045709,0.6709914628927588,0.44101893096779127,0.9526125156934822,1.0,0.9362677001972003,0.8279598872444991,0.787661671881446,0.6202726260461712,0.5599240789174059,-0.659337784925096
patch_aggregation_40,0.47900364676979357,0.7344423309299498,0.58822574356005,0.6613077155176925,0.7065196424418295,0.714309903207097,0.5202849026192286,0.5705582472842821,0.6370990585050551,0.7701051877759578,0.31392392182849593,0.8429372299720841,0.9362677001972003,1.0,0.9421442673311651,0.9091725874699598,0.47506887422581173,0.42459785276013134,-0.6099810131459024
patch_aggregation_80,0.5892322693895286,0.6219256080959557,0.4722517677431641,0.5397946151938737,0.6034990215895583,0.6168358998059005,0.6336555330652626,0.6862018588894726,0.7518605494760029,0.8586196416831358,0.2047163500157017,0.7213400576451726,0.8279598872444991,0.9421442673311651,1.0,0.9911938546755766,0.350748266123496,0.30665821636992974,-0.5438769413950947
patch_aggregation_100,0.6300922656649665,0.5804923075701235,0.43628420748560404,0.5016519207912594,0.5694674347351432,0.583908699590825,0.674400948582542,0.7260442437897492,0.788983448736363,0.8832418236583369,0.17225131230638022,0.6810027842636758,0.787661671881446,0.9091725874699598,0.9911938546755766,1.0,0.31374408295341694,0.2731829656425622,-0.5266024514903594
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.12553748893533417,0.6853325750869971,0.7009694544385474,0.6674606084624687,0.5407198003446295,0.503973726958412,0.12829648178949563,0.13100670033644257,0.13660469142045237,0.19644320792863823,0.7181537129731966,0.70585053320681,0.6202726260461712,0.47506887422581173,0.350748266123496,0.31374408295341694,1.0,0.9469707744324346,-0.32690048404755206
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.11786147487437008,0.6625810747896617,0.6758520400220179,0.6009266342785434,0.45503291486479225,0.4159593175789845,0.11766232636541135,0.11610314257344355,0.11419069567318131,0.1521433453516524,0.7927763053036315,0.6342066019864366,0.5599240789174059,0.42459785276013134,0.30665821636992974,0.2731829656425622,0.9469707744324346,1.0,-0.21824793032673837
gmm_normalized_score,-0.3677801073337185,-0.6131370172028818,-0.456532712191228,-0.5601494490226139,-0.7037959718325978,-0.9488111263293761,-0.37080023789429184,-0.3812400201206801,-0.40956745076944034,-0.5137875708042696,-0.17113968441507532,-0.7197599768327114,-0.659337784925096,-0.6099810131459024,-0.5438769413950947,-0.5266024514903594,-0.32690048404755206,-0.21824793032673837,1.0
