,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,-0.07194051393359509,-0.043698190654639174,0.0785483685568749,0.17897901919754258,0.21526390682693208,0.99998740869061,0.999354219471111,0.9862374078573524,0.8519212749874877,-0.6200741999103344,0.5991479596196125,0.8016986752522041,0.8858226946974341,0.9591846510228731,0.9690011953734731,-0.5076658745572699,-0.5339261862414548,0.6478033388259602
above_threshold_mean_0.3,-0.07194051393359509,1.0,0.9895266155675478,0.6403606455438581,0.20735438802237693,0.16902093252116013,-0.07211077017130113,-0.07572742334041105,-0.09396494448780811,-0.17606624167086257,0.5932237809750739,0.2441330849798473,-0.09709769047462537,-0.1451084174286079,-0.12987471391635008,-0.1298327203984499,0.5718571661316262,0.6488790597475873,-0.029427447448946403
above_threshold_mean_0.5,-0.043698190654639174,0.9895266155675478,1.0,0.6375107117571943,0.2075406207523153,0.1786527728043691,-0.04411406996504681,-0.04840928686736564,-0.0692969138045999,-0.16328453905852836,0.5653638940370069,0.22791284209774432,-0.08851086611239728,-0.12001879465180167,-0.10215788963826686,-0.10081966555270473,0.5584460012719121,0.6211528543412731,0.01552956945450806
above_threshold_mean_0.7,0.0785483685568749,0.6403606455438581,0.6375107117571943,1.0,0.39224282653663645,0.11025210895763415,0.07761658245316533,0.07882651526906476,0.08992357833477815,0.11546497101776178,0.3368714730725872,0.48678616447211104,0.22098375356393782,0.10890080750611014,0.05574341016384534,0.04978488573743355,0.33051895085977945,0.36147793176360105,-0.16842116353668735
above_threshold_mean_0.9,0.17897901919754258,0.20735438802237693,0.2075406207523153,0.39224282653663645,1.0,0.46360685746301983,0.1786161706238386,0.1804954026957405,0.1925792116148007,0.23236502954506374,-0.026996832269011336,0.16074229158809505,0.0897274182606871,0.16682045229853923,0.19091018792790956,0.2053277997269582,-0.040184922969448984,-0.023892655175848387,0.07889862274705259
above_threshold_mean_0.95,0.21526390682693208,0.16902093252116013,0.1786527728043691,0.11025210895763415,0.46360685746301983,1.0,0.21510261227681934,0.21844647440611317,0.23562817281695864,0.30397331660935195,-0.11254483250004285,0.12685043738870588,0.21280319874478773,0.2452770546089496,0.2557440981289302,0.25094718759737145,-0.08612549218701251,-0.08574892133667902,0.17677619008486892
above_quantile_mean_0.3,0.99998740869061,-0.07211077017130113,-0.04411406996504681,0.07761658245316533,0.1786161706238386,0.21510261227681934,1.0,0.9994350537817669,0.9865239088275226,0.8526808672195861,-0.6216932707630417,0.5999297308538578,0.8020435471283575,0.8863509340831052,0.959665768743415,0.9694264069343232,-0.509701264926555,-0.5355959337234952,0.6475334949278031
above_quantile_mean_0.5,0.999354219471111,-0.07572742334041105,-0.04840928686736564,0.07882651526906476,0.1804954026957405,0.21844647440611317,0.9994350537817669,1.0,0.991309428203071,0.8663897987411837,-0.6357591498728741,0.6047341653547588,0.8096113819582639,0.8928601477666371,0.9635613453288964,0.9728158408737122,-0.5257178914275755,-0.5507170381338585,0.6430980767928356
above_quantile_mean_0.7,0.9862374078573524,-0.09396494448780811,-0.0692969138045999,0.08992357833477815,0.1925792116148007,0.23562817281695864,0.9865239088275226,0.991309428203071,1.0,0.9186434939986693,-0.683657201983975,0.6188521806158668,0.8384789076445803,0.9121702620230872,0.9689352110678197,0.9770572606890211,-0.5836771457783304,-0.6057802233962554,0.6139566355717054
above_quantile_mean_0.9,0.8519212749874877,-0.17606624167086257,-0.16328453905852836,0.11546497101776178,0.23236502954506374,0.30397331660935195,0.8526808672195861,0.8663897987411837,0.9186434939986693,1.0,-0.7630764705392373,0.6217521830618343,0.8819219642982585,0.9063619758492374,0.893318823714579,0.8962647139078279,-0.7196184437855079,-0.7253636681966708,0.4621888724876766
