,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.07472561061134475,0.026265450129951518,-0.017357762288428096,-0.04585039561781352,-0.03280288491710487,0.9994389931461273,0.9965476322776792,0.9801141740951701,0.8372874308345748,0.45243029083224273,0.3880780313158644,0.5334221815266063,0.6396303585533676,0.7730453357456357,0.8243251864123953,0.39807097443695766,0.39807097443695766,0.9056545094236144
above_threshold_mean_0.3,0.07472561061134475,1.0,0.9418718632350628,0.8392130449294022,0.6241365560361647,0.4761723034258842,0.08968940864565055,0.11585705677120656,0.16978276606029746,0.3214542759502436,0.38951499094955255,0.3983911679263406,0.4495143519627424,0.42554608769762325,0.3545279837388905,0.31911218953565984,0.563851104581668,0.563851104581668,-0.15105103210298104
above_threshold_mean_0.5,0.026265450129951518,0.9418718632350628,1.0,0.9541853349401977,0.7281800536237022,0.558728579124146,0.038434709867871966,0.060566457428117816,0.10515855044615115,0.2275419818084992,0.414075053183298,0.34814234863775845,0.379179207028657,0.32798171928220016,0.2584493442964228,0.2274669176189463,0.5276752364545688,0.5276752364545688,-0.15557852397077682
above_threshold_mean_0.7,-0.017357762288428096,0.8392130449294022,0.9541853349401977,1.0,0.8262479474751592,0.6493603156344228,-0.007307479299400945,0.011659079409053218,0.048624327307266145,0.14785342649603053,0.389266139715235,0.2853335248976286,0.2974174463841914,0.23251300898630706,0.16991218605913347,0.1434719096295928,0.4525474466444098,0.4525474466444098,-0.16508943775109663
above_threshold_mean_0.9,-0.04585039561781352,0.6241365560361647,0.7281800536237022,0.8262479474751592,1.0,0.7698082185808156,-0.038597756389340813,-0.024555320291870953,0.0029227778029123,0.07686283798124696,0.3199660746914195,0.19806379497691567,0.1938552469743744,0.14176389139971923,0.09827542938344022,0.07972780608007987,0.3090964573868977,0.3090964573868977,-0.21855062916859164
above_threshold_mean_0.95,-0.03280288491710487,0.4761723034258842,0.558728579124146,0.6493603156344228,0.7698082185808156,1.0,-0.028005000637719022,-0.017916689801768484,0.0021216769281012034,0.057629040764653305,0.21553660589558085,0.12645734890485197,0.15587695647056424,0.13226871095942325,0.0898218783158811,0.07152051197032415,0.20030794385564166,0.20030794385564166,-0.3591596159424005
above_quantile_mean_0.3,0.9994389931461273,0.08968940864565055,0.038434709867871966,-0.007307479299400945,-0.038597756389340813,-0.028005000637719022,1.0,0.9986517522417945,0.9849321292955823,0.8480575541914135,0.45194818893288624,0.3921999167168173,0.5400390115864574,0.6472662840739584,0.7797620099902389,0.8304877346063658,0.399086296651294,0.399086296651294,0.9047931873271948
above_quantile_mean_0.5,0.9965476322776792,0.11585705677120656,0.060566457428117816,0.011659079409053218,-0.024555320291870953,-0.017916689801768484,0.9986517522417945,1.0,0.9917169564935704,0.8660962463080762,0.45522265566663556,0.4027579300367084,0.5526410090624012,0.6602101022387272,0.7903367024843477,0.8399231924115416,0.406902220522369,0.406902220522369,0.896620588539943
above_quantile_mean_0.7,0.9801141740951701,0.16978276606029746,0.10515855044615115,0.048624327307266145,0.0029227778029123,0.0021216769281012034,0.9849321292955823,0.9917169564935704,1.0,0.9147303681259223,0.46809465713886705,0.435087017463073,0.588635177921088,0.6946830551907763,0.8134035151573292,0.857233966177961,0.429421108133388,0.429421108133388,0.8570673073337126
above_quantile_mean_0.9,0.8372874308345748,0.3214542759502436,0.2275419818084992,0.14785342649603053,0.07686283798124696,0.057629040764653305,0.8480575541914135,0.8660962463080762,0.9147303681259223,1.0,0.48563033321072263,0.5404225731747109,0.6848124411678473,0.7566996347190217,0.8055927380802518,0.8222212866838342,0.47921640680986777,0.47921640680986777,0.6315060116100945
above_quantile_mean_fg_ratio,0.45243029083224273,0.38951499094955255,0.414075053183298,0.389266139715235,0.3199660746914195,0.21553660589558085,0.45194818893288624,0.45522265566663556,0.46809465713886705,0.48563033321072263,1.0,0.5833073733944484,0.5564555222085377,0.4598570216390641,0.42387065715595407,0.41969919127227273,0.8078857488586566,0.8078857488586566,0.3920067885520771
patch_aggregation_10,0.3880780313158644,0.3983911679263406,0.34814234863775845,0.2853335248976286,0.19806379497691567,0.12645734890485197,0.3921999167168173,0.4027579300367084,0.435087017463073,0.5404225731747109,0.5833073733944484,1.0,0.8364691471761948,0.6556015775839684,0.5303275286003097,0.5006774398107418,0.5378325327629492,0.5378325327629492,0.17326314601041135
patch_aggregation_20,0.5334221815266063,0.4495143519627424,0.379179207028657,0.2974174463841914,0.1938552469743744,0.15587695647056424,0.5400390115864574,0.5526410090624012,0.588635177921088,0.6848124411678473,0.5564555222085377,0.8364691471761948,1.0,0.8797321169192955,0.7469902509347294,0.707558349920349,0.5378577181426054,0.5378577181426054,0.36839049384646805
patch_aggregation_40,0.6396303585533676,0.42554608769762325,0.32798171928220016,0.23251300898630706,0.14176389139971923,0.13226871095942325,0.6472662840739584,0.6602101022387272,0.6946830551907763,0.7566996347190217,0.4598570216390641,0.6556015775839684,0.8797321169192955,1.0,0.9161439047217247,0.8710485104748789,0.4854083593371873,0.4854083593371873,0.5497485493738421
patch_aggregation_80,0.7730453357456357,0.3545279837388905,0.2584493442964228,0.16991218605913347,0.09827542938344022,0.0898218783158811,0.7797620099902389,0.7903367024843477,0.8134035151573292,0.8055927380802518,0.42387065715595407,0.5303275286003097,0.7469902509347294,0.9161439047217247,1.0,0.98467630046457,0.4450797587725697,0.4450797587725697,0.7072401712704494
patch_aggregation_100,0.8243251864123953,0.31911218953565984,0.2274669176189463,0.1434719096295928,0.07972780608007987,0.07152051197032415,0.8304877346063658,0.8399231924115416,0.857233966177961,0.8222212866838342,0.41969919127227273,0.5006774398107418,0.707558349920349,0.8710485104748789,0.98467630046457,1.0,0.4386565282129311,0.4386565282129311,0.7593378933183688
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.39807097443695766,0.563851104581668,0.5276752364545688,0.4525474466444098,0.3090964573868977,0.20030794385564166,0.399086296651294,0.406902220522369,0.429421108133388,0.47921640680986777,0.8078857488586566,0.5378325327629492,0.5378577181426054,0.4854083593371873,0.4450797587725697,0.4386565282129311,1.0,1.0,0.3749648751857972
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",0.39807097443695766,0.563851104581668,0.5276752364545688,0.4525474466444098,0.3090964573868977,0.20030794385564166,0.399086296651294,0.406902220522369,0.429421108133388,0.47921640680986777,0.8078857488586566,0.5378325327629492,0.5378577181426054,0.4854083593371873,0.4450797587725697,0.4386565282129311,1.0,1.0,0.3749648751857972
gmm_normalized_score,0.9056545094236144,-0.15105103210298104,-0.15557852397077682,-0.16508943775109663,-0.21855062916859164,-0.3591596159424005,0.9047931873271948,0.896620588539943,0.8570673073337126,0.6315060116100945,0.3920067885520771,0.17326314601041135,0.36839049384646805,0.5497485493738421,0.7072401712704494,0.7593378933183688,0.3749648751857972,0.3749648751857972,1.0
