,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.5188657679158503,0.5278968979950742,0.5337066986459084,,,0.9991446365785464,0.9948331633326534,0.9779294157176629,0.9105842823371294,1.0,0.6468287953151812,0.6833314053256213,0.7239520478081912,0.7687270109080436,0.7926432985731943,0.7851417325669303,1.0,-0.23169145476581907
above_threshold_mean_0.3,0.5188657679158503,1.0,0.8407435047671459,0.6656102730853832,,,0.5309068563691902,0.5554875632819548,0.6077883337402552,0.7435399840048958,0.5188657679158503,0.8743001901839657,0.8650049527799303,0.8231582403887596,0.7503037872224401,0.7150969895502862,0.784622725321847,0.5188657679158503,-0.1923726301074636
above_threshold_mean_0.5,0.5278968979950742,0.8407435047671459,1.0,0.7235798880476401,,,0.539886480069286,0.5638591591300244,0.6061819942663536,0.7056762095285466,0.5278968979950742,0.9166373608991635,0.8611415352803393,0.7921275684011222,0.7224442443974473,0.6936714955830701,0.7259386498305203,0.5278968979950742,-0.24505407397096432
above_threshold_mean_0.7,0.5337066986459084,0.6656102730853832,0.7235798880476401,1.0,,,0.5431950770712594,0.561481588794365,0.5902342249028879,0.6446195356546719,0.5337066986459084,0.7444844389823724,0.7028927329282563,0.6645389062284067,0.6186608241265548,0.6019872346212982,0.6432401394829855,0.5337066986459084,-0.10902384105284268
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9991446365785464,0.5309068563691902,0.539886480069286,0.5431950770712594,,,1.0,0.9976597986391945,0.9832143328573314,0.9189222036888147,0.9991446365785464,0.6585092580370322,0.6947338509354037,0.7345179460717843,0.7786161064644258,0.8021583766335065,0.7911635486541946,0.9991446365785464,-0.23787464749859
above_quantile_mean_0.5,0.9948331633326534,0.5554875632819548,0.5638591591300244,0.561481588794365,,,0.9976597986391945,1.0,0.9919808959235837,0.9352648290593162,0.9948331633326534,0.6818334153336614,0.7177065508262033,0.7558940635762543,0.7981311605246421,0.8208966915867664,0.8037264469057877,0.9948331633326534,-0.2508311473245893
above_quantile_mean_0.7,0.9779294157176629,0.6077883337402552,0.6061819942663536,0.5902342249028879,,,0.9832143328573314,0.9919808959235837,1.0,0.9656830307321229,0.9779294157176629,0.7235434701738807,0.7581954807819231,0.7946704426817707,0.8325136980547923,0.8520350881403526,0.8291058764235056,0.9779294157176629,-0.2703512894051576
above_quantile_mean_0.9,0.9105842823371294,0.7435399840048958,0.7056762095285466,0.6446195356546719,,,0.9189222036888147,0.9352648290593162,0.9656830307321229,1.0,0.9105842823371294,0.8151760287041148,0.8432445249780999,0.8683291373165493,0.8820758163032653,0.8882064968259873,0.884934611738447,0.9105842823371294,-0.29109850839403356
above_quantile_mean_fg_ratio,1.0,0.5188657679158503,0.5278968979950742,0.5337066986459084,,,0.9991446365785464,0.9948331633326534,0.9779294157176629,0.9105842823371294,1.0,0.6468287953151812,0.6833314053256213,0.7239520478081912,0.7687270109080436,0.7926432985731943,0.7851417325669303,1.0,-0.23169145476581907
patch_aggregation_10,0.6468287953151812,0.8743001901839657,0.9166373608991635,0.7444844389823724,,,0.6585092580370322,0.6818334153336614,0.7235434701738807,0.8151760287041148,0.6468287953151812,1.0,0.9732670610682442,0.9220420241680967,0.8652931251725007,0.8424306337225349,0.8087618590474361,0.6468287953151812,-0.38317180468721873
patch_aggregation_20,0.6833314053256213,0.8650049527799303,0.8611415352803393,0.7028927329282563,,,0.6947338509354037,0.7177065508262033,0.7581954807819231,0.8432445249780999,0.6833314053256213,0.9732670610682442,1.0,0.9658567914271657,0.908369361477446,0.8857328549314197,0.8262202008808035,0.6833314053256213,-0.4267743150972604
