,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.653519030138532,0.5907510114023135,0.4880295883747355,,,0.9995676035676035,0.9973046653046653,0.9845770565770566,0.9230759270759271,0.8902474102474103,0.7322224322224322,0.7633486513486514,0.8052514932514933,0.8389110589110589,0.8561566121566122,0.7904717864717865,0.9556339876339877,-0.5404915324915325
above_threshold_mean_0.3,0.653519030138532,1.0,0.871681110526007,0.5612458155391685,,,0.6515017499094372,0.6577993148682466,0.6907537872829388,0.8024092786622574,0.3885777453784108,0.9495557632591237,0.9202210048442154,0.8652274580763459,0.793783585130866,0.7696919325095897,0.8049116534273815,0.575209211606182,-0.5439753910928101
above_threshold_mean_0.5,0.5907510114023135,0.871681110526007,1.0,0.638437941936231,,,0.5886684472847604,0.5947691738617803,0.6269041829628808,0.7332417006258991,0.2848150130571325,0.8812947919786148,0.8470625452850344,0.7931376437424275,0.7358008985495669,0.7144067806843712,0.7220269875048507,0.4827769491333399,-0.5314143435251361
above_threshold_mean_0.7,0.4880295883747355,0.5612458155391685,0.638437941936231,1.0,,,0.49025373493900454,0.4972364334305735,0.5123298755394735,0.5448824481812479,0.4101049485730323,0.5869887172587751,0.5739045749781269,0.5579441640381142,0.5384149189619639,0.5291106067529457,0.5466440397788482,0.46025859265407276,-0.28852292527100143
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9995676035676035,0.6515017499094372,0.5886684472847604,0.49025373493900454,,,1.0,0.9986984906984907,0.986980766980767,0.9253188373188374,0.8942170862170862,0.7318481638481639,0.7639622239622239,0.8067575547575547,0.8415383775383776,0.8589056469056469,0.7916140676140676,0.9571124131124131,-0.542030366030366
above_quantile_mean_0.5,0.9973046653046653,0.6577993148682466,0.5947691738617803,0.4972364334305735,,,0.9986984906984907,1.0,0.9927060087060087,0.9346698106698107,0.8943297903297903,0.7395399075399075,0.7723626643626643,0.8162387762387763,0.852022704022704,0.8690816450816451,0.7988140508140508,0.9592583152583153,-0.5512680352680353
above_quantile_mean_0.7,0.9845770565770566,0.6907537872829388,0.6269041829628808,0.5123298755394735,,,0.986980766980767,0.9927060087060087,1.0,0.9628925668925669,0.8733060453060453,0.7718378798378799,0.8040793800793801,0.8471913791913792,0.8795678675678675,0.8928341208341208,0.825024669024669,0.9535413055413056,-0.5772049452049453
above_quantile_mean_0.9,0.9230759270759271,0.8024092786622574,0.7332417006258991,0.5448824481812479,,,0.9253188373188374,0.9346698106698107,0.9628925668925669,1.0,0.7662851022851023,0.8653834693834693,0.8903968103968104,0.9166028926028926,0.9176541056541057,0.9158332718332718,0.8924082644082644,0.8848062568062568,-0.6182276102276102
above_quantile_mean_fg_ratio,0.8902474102474103,0.3885777453784108,0.2848150130571325,0.4101049485730323,,,0.8942170862170862,0.8943297903297903,0.8733060453060453,0.7662851022851023,1.0,0.4852829092829093,0.5392258672258672,0.6060913020913021,0.6742914262914262,0.7007989727989729,0.6633853953853954,0.9347592107592108,-0.3866002346002346
patch_aggregation_10,0.7322224322224322,0.9495557632591237,0.8812947919786148,0.5869887172587751,,,0.7318481638481639,0.7395399075399075,0.7718378798378799,0.8653834693834693,0.4852829092829093,1.0,0.9766331566331566,0.9295729375729376,0.8706159186159186,0.8514803274803274,0.843035079035079,0.6614294054294054,-0.6394068514068514
patch_aggregation_20,0.7633486513486514,0.9202210048442154,0.8470625452850344,0.5739045749781269,,,0.7639622239622239,0.7723626643626643,0.8040793800793801,0.8903968103968104,0.5392258672258672,0.9766331566331566,1.0,0.9624164424164424,0.9019042219042219,0.8840409920409921,0.8642512202512203,0.6989137469137469,-0.6537181617181618
patch_aggregation_40,0.8052514932514933,0.8652274580763459,0.7931376437424275,0.5579441640381142,,,0.8067575547575547,0.8162387762387763,0.8471913791913792,0.9166028926028926,0.6060913020913021,0.9295729375729376,0.9624164424164424,1.0,0.9597466437466438,0.9407430287430287,0.8617141297141298,0.7535920895920896,-0.6804296604296605
patch_aggregation_80,0.8389110589110589,0.793783585130866,0.7358008985495669,0.5384149189619639,,,0.8415383775383776,0.852022704022704,0.8795678675678675,0.9176541056541057,0.6742914262914262,0.8706159186159186,0.9019042219042219,0.9597466437466438,1.0,0.9925186765186765,0.8340851220851221,0.8037640317640318,-0.6938666858666859
