0,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}"
mean,1.0,,,,,,0.9989053092501369,0.9967159277504105,0.9917898193760263,0.9655172413793104,1.0,0.8620689655172413,0.8604269293924466,0.8336070060207992,0.8576902025177887,0.8527640941434045,0.6874657909140668,1.0
above_threshold_mean_0.3,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.5,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.7,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.9,,,,,,,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,,,,,,,,,,,,,
above_quantile_mean_0.3,0.9989053092501369,,,,,,1.0,0.9983579638752053,0.9939792008757526,0.9682539682539683,0.9989053092501369,0.8626163108921729,0.8615216201423098,0.8352490421455939,0.8582375478927203,0.8549534756431308,0.6869184455391352,0.9989053092501369
above_quantile_mean_0.5,0.9967159277504105,,,,,,0.9983579638752053,1.0,0.9939792008757526,0.9677066228790366,0.9967159277504105,0.8620689655172413,0.8615216201423098,0.8379857690202518,0.8615216201423098,0.8593322386425835,0.6836343732895457,0.9967159277504105
above_quantile_mean_0.7,0.9917898193760263,,,,,,0.9939792008757526,0.9939792008757526,1.0,0.9753694581280788,0.9917898193760263,0.8626163108921729,0.8615216201423098,0.8440065681444991,0.8762999452654625,0.8784893267651889,0.6748768472906403,0.9917898193760263
above_quantile_mean_0.9,0.9655172413793104,,,,,,0.9682539682539683,0.9677066228790366,0.9753694581280788,1.0,0.9655172413793104,0.8850574712643678,0.873015873015873,0.8582375478927203,0.8921729611384783,0.8910782703886152,0.7547892720306514,0.9655172413793104
above_quantile_mean_fg_ratio,1.0,,,,,,0.9989053092501369,0.9967159277504105,0.9917898193760263,0.9655172413793104,1.0,0.8620689655172413,0.8604269293924466,0.8336070060207992,0.8576902025177887,0.8527640941434045,0.6874657909140668,1.0
patch_aggregation_10,0.8620689655172413,,,,,,0.8626163108921729,0.8620689655172413,0.8626163108921729,0.8850574712643678,0.8620689655172413,1.0,0.9501915708812261,0.9211822660098522,0.9217296113847838,0.9211822660098522,0.8472906403940886,0.8620689655172413
patch_aggregation_20,0.8604269293924466,,,,,,0.8615216201423098,0.8615216201423098,0.8615216201423098,0.873015873015873,0.8604269293924466,0.9501915708812261,1.0,0.986863711001642,0.9627805145046524,0.9518336070060208,0.7137383689107827,0.8604269293924466
patch_aggregation_40,0.8336070060207992,,,,,,0.8352490421455939,0.8379857690202518,0.8440065681444991,0.8582375478927203,0.8336070060207992,0.9211822660098522,0.986863711001642,1.0,0.976464148877942,0.9638752052545156,0.6885604816639299,0.8336070060207992
patch_aggregation_80,0.8576902025177887,,,,,,0.8582375478927203,0.8615216201423098,0.8762999452654625,0.8921729611384783,0.8576902025177887,0.9217296113847838,0.9627805145046524,0.976464148877942,1.0,0.9928845101258894,0.7022441160372195,0.8576902025177887
patch_aggregation_100,0.8527640941434045,,,,,,0.8549534756431308,0.8593322386425835,0.8784893267651889,0.8910782703886152,0.8527640941434045,0.9211822660098522,0.9518336070060208,0.9638752052545156,0.9928845101258894,1.0,0.7016967706622879,0.8527640941434045
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.6874657909140668,,,,,,0.6869184455391352,0.6836343732895457,0.6748768472906403,0.7547892720306514,0.6874657909140668,0.8472906403940886,0.7137383689107827,0.6885604816639299,0.7022441160372195,0.7016967706622879,1.0,0.6874657909140668
"class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",1.0,,,,,,0.9989053092501369,0.9967159277504105,0.9917898193760263,0.9655172413793104,1.0,0.8620689655172413,0.8604269293924466,0.8336070060207992,0.8576902025177887,0.8527640941434045,0.6874657909140668,1.0
