,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.5896278511404561,0.6334213685474189,0.5982713085234094,0.5156782713085234,0.3960144057623049,0.9978871548619448,0.9938535414165667,0.9838655462184874,0.9545738295318127,0.5943337334933974,0.5969267707082833,0.5312364945978392,0.6750060024009604,0.8095558223289315,0.7963985594237695,0.6324609843937575,0.6468667466986795,0.16091236494597838
above_threshold_mean_0.3,0.5896278511404561,1.0,0.8683313325330132,0.8189675870348139,0.780360144057623,0.6521488595438175,0.5997118847539016,0.6172869147659064,0.6524369747899159,0.7436734693877551,0.8143577430972389,0.469483793517407,0.6322689075630252,0.6654021608643458,0.4482593037214886,0.5151020408163265,0.8100360144057623,0.8648739495798319,0.6248739495798319
above_threshold_mean_0.5,0.6334213685474189,0.8683313325330132,1.0,0.961296518607443,0.7230252100840336,0.5942376950780313,0.6270828331332533,0.6297719087635054,0.6390876350540217,0.7650900360144057,0.9070348139255703,0.5308523409363746,0.6105642256902761,0.6058583433373349,0.49090036014405763,0.5197118847539015,0.7984153661464586,0.8779351740696278,0.5841536614645858
above_threshold_mean_0.7,0.5982713085234094,0.8189675870348139,0.961296518607443,1.0,0.7805522208883553,0.6273709483793517,0.5931812725090037,0.6017286914765906,0.6149819927971188,0.7487635054021609,0.8849459783913566,0.5822328931572629,0.6538775510204081,0.6281392557022809,0.4351980792316927,0.470828331332533,0.8574789915966387,0.8888835534213686,0.5569747899159664
above_threshold_mean_0.9,0.5156782713085234,0.780360144057623,0.7230252100840336,0.7805522208883553,1.0,0.9415126050420168,0.5234573829531812,0.5464105642256902,0.576374549819928,0.6532052821128451,0.7774789915966387,0.5038655462184874,0.5374789915966387,0.5759903961584634,0.29805522208883556,0.38256902761104444,0.7699879951980793,0.7922689075630253,0.5955822328931573
above_threshold_mean_0.95,0.3960144057623049,0.6521488595438175,0.5942376950780313,0.6273709483793517,0.9415126050420168,1.0,0.4029291716686675,0.4202160864345738,0.4495078031212485,0.5105882352941177,0.7077551020408164,0.345594237695078,0.36297719087635055,0.40888355342136856,0.2059543817527011,0.28960384153661467,0.6068187274909964,0.6638655462184874,0.6443697478991597
above_quantile_mean_0.3,0.9978871548619448,0.5997118847539016,0.6270828331332533,0.5931812725090037,0.5234573829531812,0.4029291716686675,1.0,0.9969267707082833,0.9891476590636255,0.958031212484994,0.5938535414165667,0.5954861944777912,0.5418967587034814,0.6887394957983193,0.8110924369747899,0.8002400960384154,0.6442737094837935,0.6514765906362545,0.17320528211284514
above_quantile_mean_0.5,0.9938535414165667,0.6172869147659064,0.6297719087635054,0.6017286914765906,0.5464105642256902,0.4202160864345738,0.9969267707082833,1.0,0.994717887154862,0.9641776710684273,0.596062424969988,0.5961584633853542,0.5506362545018008,0.7128451380552221,0.8080192076830732,0.8035054021608643,0.6652100840336135,0.6659783913565426,0.18501800720288114
above_quantile_mean_0.7,0.9838655462184874,0.6524369747899159,0.6390876350540217,0.6149819927971188,0.576374549819928,0.4495078031212485,0.9891476590636255,0.994717887154862,1.0,0.9733973589435775,0.6169027611044418,0.594045618247299,0.5893397358943577,0.7242737094837935,0.7831452581032413,0.7871788715486194,0.6987274909963985,0.6960384153661464,0.23447779111644657
above_quantile_mean_0.9,0.9545738295318127,0.7436734693877551,0.7650900360144057,0.7487635054021609,0.6532052821128451,0.5105882352941177,0.958031212484994,0.9641776710684273,0.9733973589435775,1.0,0.7215846338535414,0.6509963985594238,0.6704921968787515,0.7638415366146458,0.7649939975990396,0.7871788715486194,0.7855462184873949,0.7896758703481392,0.33387755102040817
