,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.7076590636254502,0.188859543817527,0.1342136854741897,0.06506602641056422,0.10626650660264106,0.9706122448979592,0.9413205282112845,0.916062424969988,0.828187274909964,0.7038175270108044,0.3700840336134454,0.5144297719087635,0.6320768307322929,0.6470588235294118,0.6763505402160864,0.5145258103241297,0.7316686674669868,0.6963265306122449
above_threshold_mean_0.3,0.7076590636254502,1.0,0.3576950780312125,0.2921008403361344,0.22986794717887155,0.2773109243697479,0.8025450180072029,0.8627611044417767,0.8751500600240096,0.8368307322929172,0.7490516206482593,0.4999279711884754,0.6168067226890757,0.871500600240096,0.8797599039615847,0.8999279711884753,0.6776950780312125,0.7071788715486195,0.8777430972388955
above_threshold_mean_0.5,0.188859543817527,0.3576950780312125,1.0,0.7626890756302521,0.5601440576230492,0.5330612244897959,0.24062424969987994,0.2971908763505402,0.3967827130852341,0.619015606242497,0.626890756302521,0.5830012004801921,0.6528211284513805,0.3903481392557023,0.23841536614645858,0.23034813925570227,0.39591836734693875,0.5701320528211284,0.6040336134453782
above_threshold_mean_0.7,0.1342136854741897,0.2921008403361344,0.7626890756302521,1.0,0.6413925570228092,0.5640816326530612,0.20115246098439377,0.25070828331332534,0.34021608643457385,0.5071308523409364,0.48523409363745496,0.5778151260504202,0.537671068427371,0.3132292917166867,0.1440096038415366,0.14304921968787515,0.2994957983193277,0.325906362545018,0.5179831932773109
above_threshold_mean_0.9,0.06506602641056422,0.22986794717887155,0.5601440576230492,0.6413925570228092,1.0,0.9713805522208884,0.09608643457382954,0.139015606242497,0.2113325330132053,0.36547418967587036,0.3420408163265306,0.7256182472989195,0.6069147659063625,0.3361824729891957,0.09723889555822329,0.08725090036014406,0.35836734693877553,0.2975750300120048,0.5134693877551021
above_threshold_mean_0.95,0.10626650660264106,0.2773109243697479,0.5330612244897959,0.5640816326530612,0.9713805522208884,1.0,0.1361344537815126,0.18165666266506603,0.25118847539015604,0.3917887154861945,0.3683553421368547,0.7272509003601441,0.594141656662665,0.38429771908763505,0.1526530612244898,0.15361344537815125,0.36931572629051623,0.3275390156062425,0.5561104441776711
above_quantile_mean_0.3,0.9706122448979592,0.8025450180072029,0.24062424969987994,0.20115246098439377,0.09608643457382954,0.1361344537815126,1.0,0.9872268907563025,0.9670588235294117,0.8880192076830732,0.7671068427370948,0.39543817527010805,0.5674429771908763,0.7063145258103242,0.7192797118847539,0.7465546218487394,0.595390156062425,0.7627851140456182,0.7777671068427371
above_quantile_mean_0.5,0.9413205282112845,0.8627611044417767,0.2971908763505402,0.25070828331332534,0.139015606242497,0.18165666266506603,0.9872268907563025,1.0,0.9899159663865547,0.9135654261704682,0.7828571428571428,0.42050420168067226,0.6094117647058823,0.7627851140456182,0.7786314525810324,0.7975510204081633,0.6299639855942377,0.7683553421368547,0.8239615846338535
above_quantile_mean_0.7,0.916062424969988,0.8751500600240096,0.3967827130852341,0.34021608643457385,0.2113325330132053,0.25118847539015604,0.9670588235294117,0.9899159663865547,1.0,0.9475630252100841,0.8233853541416567,0.4889795918367347,0.6696278511404562,0.7871788715486194,0.7793997599039616,0.7991836734693878,0.654453781512605,0.8001440576230492,0.8666986794717887
above_quantile_mean_0.9,0.828187274909964,0.8368307322929172,0.619015606242497,0.5071308523409364,0.36547418967587036,0.3917887154861945,0.8880192076830732,0.9135654261704682,0.9475630252100841,1.0,0.9141416566626651,0.611140456182473,0.7662424969987995,0.7799759903961585,0.7224489795918367,0.7433853541416566,0.6769267707082833,0.8847539015606243,0.9230732292917166
