,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 255}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 255}",gmm_normalized_score
mean,1.0,0.5785301861207445,0.5016708386833547,0.4475525422101688,0.4824079006207777,0.32948739968754504,0.9730261001044004,0.9119767679070716,0.8874716138864556,0.7828347473389894,0.8258639434557739,0.5909449557798231,0.634247656990628,0.7237976791907168,0.76774905499622,0.7791169404677619,0.06555760623042492,0.515807279229117,-0.2599502238008952
above_threshold_mean_0.3,0.5785301861207445,1.0,0.9154713738854955,0.8109693878775515,0.7774995479350066,0.5156398556153492,0.6731615086460346,0.7013458773835095,0.7536351745406982,0.9194614378457514,0.7940380881523527,0.8926324985299942,0.9224464737858952,0.8697150948603795,0.7800583202332809,0.7640216480865923,-0.02949256597026388,-0.19625243300973205,-0.3109750999003996
above_threshold_mean_0.5,0.5016708386833547,0.9154713738854955,1.0,0.9001281125124501,0.830348639784577,0.5640411639134969,0.5868573554294217,0.5977869991479966,0.645377365509462,0.8400240960963844,0.7192597410389642,0.9214875259501037,0.9129680678722715,0.7820047280189121,0.66175205500822,0.6460513842055369,-0.11290432361729447,-0.19911334045336182,-0.3629415477661911
above_threshold_mean_0.7,0.4475525422101688,0.8109693878775515,0.9001281125124501,1.0,0.8675465419694427,0.5958469516882616,0.5171202764811059,0.5221663446653787,0.5687912351649407,0.7542647450589802,0.6409560678242713,0.90574941499766,0.8429280117120469,0.6754044616178465,0.5647695870783483,0.5499122796491186,-0.12454897819591278,-0.16940429361717446,-0.3526503066012264
above_threshold_mean_0.9,0.4824079006207777,0.7774995479350066,0.830348639784577,0.8675465419694427,1.0,0.7048393992034135,0.5416635452739679,0.5464519926624094,0.5881358449725704,0.7442889488561736,0.6277751612571735,0.8938792044806199,0.8254830852506275,0.67604537898558,0.5880959906719908,0.5753441753598982,-0.11926217346560408,-0.11883397386538162,-0.3466524983252199
above_threshold_mean_0.95,0.32948739968754504,0.5156398556153492,0.5640411639134969,0.5958469516882616,0.7048393992034135,1.0,0.36877649332998697,0.35965137926460916,0.38117440261931884,0.49166888262182445,0.41947712140217325,0.6467031609737699,0.57316541801823,0.4407561309239204,0.3908804201002602,0.38732419618045694,-0.11063544188486601,-0.0516015085110031,-0.2126238361594769
above_quantile_mean_0.3,0.9730261001044004,0.6731615086460346,0.5868573554294217,0.5171202764811059,0.5416635452739679,0.36877649332998697,1.0,0.9613998775995104,0.9430025560102241,0.8583440413761655,0.8552622370489482,0.6666009384037536,0.7155899343597374,0.8048507074028296,0.8417890631562526,0.8530931083724335,0.04081014724058896,0.3794444937779751,-0.279312829251317
above_quantile_mean_0.5,0.9119767679070716,0.7013458773835095,0.5977869991479966,0.5221663446653787,0.5464519926624094,0.35965137926460916,0.9613998775995104,1.0,0.989494965979864,0.8995733262933052,0.7898725354901419,0.684188688754755,0.749001812007248,0.8614566618266473,0.9102683450733803,0.92112925251701,0.053072180288721155,0.28171043884175534,-0.2601775527102108
above_quantile_mean_0.7,0.8874716138864556,0.7536351745406982,0.645377365509462,0.5687912351649407,0.5881358449725704,0.38117440261931884,0.9430025560102241,0.989494965979864,1.0,0.9340083760335042,0.8076369265477061,0.7266995787983151,0.7914736298945195,0.8959184956739827,0.9283521294085176,0.9325071220284881,0.04851638606554426,0.20945920583682334,-0.2622656570626283
above_quantile_mean_0.9,0.7828347473389894,0.9194614378457514,0.8400240960963844,0.7542647450589802,0.7442889488561736,0.49166888262182445,0.8583440413761655,0.8995733262933052,0.9340083760335042,1.0,0.8478464953859816,0.8692942291769167,0.917249396997588,0.9366084504338017,0.9022624890499562,0.8957713270853084,-0.012000432001728007,0.02243452173808695,-0.3332068688274753
