,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.6025029427214135,0.4811546563508563,0.397601033856,0.2259772302591527,0.16437584499721739,0.9999530462291137,0.9997025867929542,0.9939933385812234,0.9384897048253553,0.3463407764301508,0.6459941922136696,0.6951525245467649,0.7490610573033611,0.8567208925699492,0.8829383209720846,0.28266566691320644,0.2372040345700871,-0.21551600726663547
above_threshold_mean_0.3,0.6025029427214135,1.0,0.9401553466406033,0.8724796301883148,0.5567123141080644,0.4231766833300403,0.6029966356679366,0.6094494758844312,0.6574359347944254,0.7857868399079918,0.7743429200231584,0.7557151433242495,0.8289971978154699,0.7994618307428635,0.7477243790054118,0.7290302601126831,0.6948960436778594,0.5929222834260647,-0.0300930811042095
above_threshold_mean_0.5,0.4811546563508563,0.9401553466406033,1.0,0.9737766792895486,0.6624483908783464,0.5171365349802592,0.48160960949039533,0.48718200755671104,0.5367850244072973,0.6939334569944857,0.8636338241725343,0.7001547535270943,0.7678949814020521,0.7292597992347287,0.6497780214012605,0.6252371403239186,0.7831375917004589,0.6644608510350395,0.050332401434471555
above_threshold_mean_0.7,0.397601033856,0.8724796301883148,0.9737766792895486,1.0,0.7415919809489526,0.5913778520909555,0.39801544808601313,0.4028293304996694,0.45099646846875774,0.6194764247380435,0.8884801898584044,0.6501086241030026,0.7042944032194718,0.6552811830486621,0.5656710294251802,0.5396337765028166,0.8013943364627051,0.6883232706730456,0.09991950315503069
above_threshold_mean_0.9,0.2259772302591527,0.5567123141080644,0.6624483908783464,0.7415919809489526,1.0,0.910446758402435,0.2257803596610883,0.22756725158903285,0.2569805005234994,0.39617208348873106,0.6255775755766793,0.5300276699852531,0.4617773743094576,0.39416490294701234,0.3240391535106407,0.3044162425507627,0.5739201030448476,0.514642370096485,0.13146517276486439
above_threshold_mean_0.95,0.16437584499721739,0.4231766833300403,0.5171365349802592,0.5913778520909555,0.910446758402435,1.0,0.16404398163101208,0.16501307161991102,0.18591304601962255,0.2980349364978628,0.5093558807007554,0.4414636089025871,0.34183000290647897,0.2805892668839641,0.23365856061489637,0.21923742800857898,0.4790168545378418,0.4430765797231703,0.14358103061019062
above_quantile_mean_0.3,0.9999530462291137,0.6029966356679366,0.48160960949039533,0.39801544808601313,0.2257803596610883,0.16404398163101208,1.0,0.9997905661262165,0.9942224446693165,0.9387279244280238,0.34644306014713167,0.646454601667959,0.6955360589918683,0.7491187172418553,0.8569090615763902,0.8830968194424004,0.2830626090240902,0.23756930035544502,-0.21611641121034444
above_quantile_mean_0.5,0.9997025867929542,0.6094494758844312,0.48718200755671104,0.4028293304996694,0.22756725158903285,0.16501307161991102,0.9997905661262165,1.0,0.9955069193400872,0.9410678856557705,0.34978497709381523,0.6508532734601961,0.7003533625182086,0.7535158258097682,0.8597898464829945,0.8856532635082784,0.2857319735660261,0.2395062752181845,-0.21682581468629095
above_quantile_mean_0.7,0.9939933385812234,0.6574359347944254,0.5367850244072973,0.45099646846875774,0.2569805005234994,0.18591304601962255,0.9942224446693165,0.9955069193400872,1.0,0.9611479371161595,0.3953736083825458,0.6808416180417154,0.7349900267477228,0.7820224569976307,0.8767137610235922,0.8992601831727949,0.32689614017213214,0.27536167842639103,-0.2075330787835275
above_quantile_mean_0.9,0.9384897048253553,0.7857868399079918,0.6939334569944857,0.6194764247380435,0.39617208348873106,0.2980349364978628,0.9387279244280238,0.9410678856557705,0.9611479371161595,1.0,0.5462712895682111,0.762182229032682,0.8298856917526233,0.8571756245043236,0.910539351949481,0.9217063861552441,0.4547571120158281,0.3818609208701711,-0.16070374681359484
above_quantile_mean_fg_ratio,0.3463407764301508,0.7743429200231584,0.8636338241725343,0.8884801898584044,0.6255775755766793,0.5093558807007554,0.34644306014713167,0.34978497709381523,0.3953736083825458,0.5462712895682111,1.0,0.5180675060449663,0.5786184560762515,0.5460307989602925,0.48459532898460406,0.4615816991189384,0.8206735155329199,0.7608994634397211,0.18803818972300484
patch_aggregation_10,0.6459941922136696,0.7557151433242495,0.7001547535270943,0.6501086241030026,0.5300276699852531,0.4414636089025871,0.646454601667959,0.6508532734601961,0.6808416180417154,0.762182229032682,0.5180675060449663,1.0,0.8570651247189649,0.7936559142972155,0.7374687513728337,0.7213804927931048,0.4098915846141291,0.3206662463441289,-0.06434207085847364
patch_aggregation_20,0.6951525245467649,0.8289971978154699,0.7678949814020521,0.7042944032194718,0.4617773743094576,0.34183000290647897,0.6955360589918683,0.7003533625182086,0.7349900267477228,0.8298856917526233,0.5786184560762515,0.8570651247189649,1.0,0.9129702418679578,0.8344712052755747,0.8129025836076481,0.44057567416673576,0.3381143816421835,-0.12232568596096177
patch_aggregation_40,0.7490610573033611,0.7994618307428635,0.7292597992347287,0.6552811830486621,0.39416490294701234,0.2805892668839641,0.7491187172418553,0.7535158258097682,0.7820224569976307,0.8571756245043236,0.5460307989602925,0.7936559142972155,0.9129702418679578,1.0,0.9144296724237141,0.8876029657558953,0.40661903662227544,0.31077051622976865,-0.09231332107723157
patch_aggregation_80,0.8567208925699492,0.7477243790054118,0.6497780214012605,0.5656710294251802,0.3240391535106407,0.23365856061489637,0.8569090615763902,0.8597898464829945,0.8767137610235922,0.910539351949481,0.48459532898460406,0.7374687513728337,0.8344712052755747,0.9144296724237141,1.0,0.9854878045543388,0.3593096481172691,0.2809786961224591,-0.132527839118721
patch_aggregation_100,0.8829383209720846,0.7290302601126831,0.6252371403239186,0.5396337765028166,0.3044162425507627,0.21923742800857898,0.8830968194424004,0.8856532635082784,0.8992601831727949,0.9217063861552441,0.4615816991189384,0.7213804927931048,0.8129025836076481,0.8876029657558953,0.9854878045543388,1.0,0.34537939409158513,0.27233635338839274,-0.1389168942022837
"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}",0.28266566691320644,0.6948960436778594,0.7831375917004589,0.8013943364627051,0.5739201030448476,0.4790168545378418,0.2830626090240902,0.2857319735660261,0.32689614017213214,0.4547571120158281,0.8206735155329199,0.4098915846141291,0.44057567416673576,0.40661903662227544,0.3593096481172691,0.34537939409158513,1.0,0.9761614776232517,0.2541656123867797
