,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.2227700424324059,-0.03938875746224306,-0.052188555962140865,-0.05125732583528016,-0.05852141631684829,0.9939267715831768,0.9561054501471582,0.7825758154457261,0.5220529356577023,-0.15520542651108746,0.23379235166722753,0.40470213111722547,0.6449717141872058,0.7900800426123167,0.8188166941890874,0.10600355513935775,-0.10175760029855566,-0.14099397710502173
above_threshold_mean_0.3,0.2227700424324059,1.0,0.8602371165429755,0.7108441090566214,0.29888260642977627,0.21950194790313957,0.27147593810950316,0.4090817205017801,0.6238137020659364,0.7800936951880348,0.6267317908400004,0.43931838579306304,0.6211678924687862,0.4979983300738018,0.2953611326004573,0.27371128562786956,0.42815765500016256,0.7571087451766573,0.04488423785539976
above_threshold_mean_0.5,-0.03938875746224306,0.8602371165429755,1.0,0.8400000412910046,0.38023101727173225,0.3020813910585509,0.0023764447796225355,0.14901186202079947,0.4356048792990203,0.6979493117526882,0.8145798804651945,0.4558669651023176,0.5480611661346517,0.2768996000376338,-0.012035177576389096,-0.03801217435775529,0.5179723957619249,0.9145781890106877,0.0710931499994561
above_threshold_mean_0.7,-0.052188555962140865,0.7108441090566214,0.8400000412910046,1.0,0.6283839084236303,0.5342127825742523,-0.012799415083427,0.12050192755257304,0.37658201322550877,0.6104639663726059,0.7202106153894909,0.48527943244924376,0.5115919481361388,0.2084040761299947,-0.04473432040462825,-0.06308047410331422,0.5919229897358387,0.7376301054935445,0.08355260152077192
above_threshold_mean_0.9,-0.05125732583528016,0.29888260642977627,0.38023101727173225,0.6283839084236303,1.0,0.9629458359349125,-0.03608518216263996,0.022303866991056662,0.13178696555061997,0.24808821174263082,0.4046726730037447,0.5226770491914484,0.3010682867683861,0.06332164306345041,-0.0756195494030648,-0.08448853275069759,0.6118039688925644,0.35929799807203383,0.17543130237398516
above_threshold_mean_0.95,-0.05852141631684829,0.21950194790313957,0.3020813910585509,0.5342127825742523,0.9629458359349125,1.0,-0.04833466005263423,-0.002763606934411304,0.08359977337137219,0.1805692790797061,0.3559331834263391,0.5198669898769204,0.24885197735247389,0.032765798307009826,-0.08883898248347107,-0.0995222335838026,0.5937169934738236,0.29060331463257244,0.20374492804072797
above_quantile_mean_0.3,0.9939267715831768,0.27147593810950316,0.0023764447796225355,-0.012799415083427,-0.03608518216263996,-0.04833466005263423,1.0,0.9763437346356909,0.8146939348528226,0.5611572570857576,-0.1381537750471053,0.2569117454916859,0.43339799308021754,0.6734271740230032,0.8056369889537714,0.8317003429217927,0.12631754730651856,-0.06503869278813125,-0.14204430326962336
above_quantile_mean_0.5,0.9561054501471582,0.4090817205017801,0.14901186202079947,0.12050192755257304,0.022303866991056662,-0.002763606934411304,0.9763437346356909,1.0,0.9037911335825933,0.6888031477902382,-0.01008469389776014,0.31112609712411105,0.5120247073573787,0.7207417103146994,0.7961175248166311,0.814862431644954,0.19227889418349894,0.07063923820505018,-0.13396151293961514
above_quantile_mean_0.7,0.7825758154457261,0.6238137020659364,0.4356048792990203,0.37658201322550877,0.13178696555061997,0.08359977337137219,0.8146939348528226,0.9037911335825933,1.0,0.8994777572731892,0.2575086550002176,0.39390117116035683,0.6226137854737656,0.7178978513635912,0.6696261011057436,0.6746299809854924,0.2945972893177602,0.3317174007910595,-0.17046990184240393
above_quantile_mean_0.9,0.5220529356577023,0.7800936951880348,0.6979493117526882,0.6104639663726059,0.24808821174263082,0.1805692790797061,0.5611572570857576,0.6888031477902382,0.8994777572731892,1.0,0.4979928073723438,0.477889640352401,0.6758813048783258,0.6214186763342672,0.45442638094078014,0.44868374600251465,0.3938906543518772,0.5753140068913524,-0.16128805102599528
