,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,-0.32425510116964057,-0.3292068641680184,0.03235720993767609,-0.05464014343037651,0.0597626568769743,0.9995731238794502,0.9995731238794502,0.9985486211901307,0.990694100572014,-0.8298471783488431,0.7260309058311278,0.8867070776060787,0.9176982839579954,0.9439938529838641,0.9430547255186544,-0.7997097242380261,-0.8122598821821907,-0.3435897435897436
above_threshold_mean_0.3,-0.32425510116964057,1.0,0.9843763339878767,0.574404507811833,0.21762144625629642,0.13600273200717153,-0.3246819772901904,-0.3246819772901904,-0.32647485699649964,-0.3098266882950568,0.6018099547511312,0.12541620421753608,-0.12131819346025784,-0.26645607444719543,-0.3337317510458465,-0.36668658755229233,0.5925040553231452,0.6126526082130965,0.2335042735042735
above_threshold_mean_0.5,-0.3292068641680184,0.9843763339878767,1.0,0.6450951933748826,0.23529411764705882,0.15119952189874497,-0.3309997438743277,-0.3309997438743277,-0.3346708785110561,-0.32809698625458894,0.6192265004695637,0.09886450951933749,-0.13668573380005122,-0.2728592162554427,-0.33108511909843763,-0.358149065141296,0.6123964825407666,0.6287885255698796,0.26905982905982906
above_threshold_mean_0.7,0.03235720993767609,0.574404507811833,0.6450951933748826,1.0,0.2816528643387689,0.19969264919320412,0.022795184837360198,0.022795184837360198,0.011781780927174934,-0.014257662426363869,0.3769316144454879,0.30410654827968925,0.07734995304362674,-0.028259199180397848,-0.0613847861350636,-0.06710492615043115,0.344232903611372,0.3718944762230001,-0.09743589743589744
above_threshold_mean_0.9,-0.05464014343037651,0.21762144625629642,0.23529411764705882,0.2816528643387689,1.0,0.748826090668488,-0.06027490822163408,-0.06027490822163408,-0.06949543242551012,-0.08307009305899428,0.21343806027490822,0.052676513275847346,0.06027490822163408,-0.03474771621275506,-0.011269529582515155,-0.0244173140954495,0.16195680013660035,0.21036455220694955,-0.05641025641025641
above_threshold_mean_0.95,0.0597626568769743,0.13600273200717153,0.15119952189874497,0.19969264919320412,0.748826090668488,1.0,0.055664646119696064,0.055664646119696064,0.04576112012294032,0.038589601297703405,0.13822248783403057,0.08682660291983267,0.14846751472722616,0.08716810381627252,0.09066848800478101,0.0623239136002732,0.09869375907111756,0.1525655254845044,-0.04888888888888889
above_quantile_mean_0.3,0.9995731238794502,-0.3246819772901904,-0.3309997438743277,0.022795184837360198,-0.06027490822163408,0.055664646119696064,1.0,1.0,0.9994023734312303,0.9921454793818834,-0.832493810296252,0.7236403995560489,0.8862802014855289,0.918637411423205,0.944164603432084,0.9430547255186544,-0.804661487236404,-0.8155895159224793,-0.3435897435897436
above_quantile_mean_0.5,0.9995731238794502,-0.3246819772901904,-0.3309997438743277,0.022795184837360198,-0.06027490822163408,0.055664646119696064,1.0,1.0,0.9994023734312303,0.9921454793818834,-0.832493810296252,0.7236403995560489,0.8862802014855289,0.918637411423205,0.944164603432084,0.9430547255186544,-0.804661487236404,-0.8155895159224793,-0.3435897435897436
above_quantile_mean_0.7,0.9985486211901307,-0.32647485699649964,-0.3346708785110561,0.011781780927174934,-0.06949543242551012,0.04576112012294032,0.9994023734312303,0.9994023734312303,1.0,0.9940237343123026,-0.8361649449329804,0.7224451464185093,0.8847434474515495,0.918722786647315,0.9439084777597542,0.9416033467087851,-0.8080764962008026,-0.8191752753350977,-0.3408547008547009
above_quantile_mean_0.9,0.990694100572014,-0.3098266882950568,-0.32809698625458894,-0.014257662426363869,-0.08307009305899428,0.038589601297703405,0.9921454793818834,0.9921454793818834,0.9940237343123026,1.0,-0.8392384530009391,0.7315802953982754,0.8831213181934603,0.9095022624434389,0.9327243234013489,0.9275164347306412,-0.8133697600956202,-0.8227610347477162,-0.34564102564102567
above_quantile_mean_fg_ratio,-0.8298471783488431,0.6018099547511312,0.6192265004695637,0.3769316144454879,0.21343806027490822,0.13822248783403057,-0.832493810296252,-0.832493810296252,-0.8361649449329804,-0.8392384530009391,1.0,-0.42098523008622896,-0.6769401519678989,-0.7937334585503287,-0.811576880389311,-0.823444036540596,0.9426278493981046,0.9920601041577735,0.3230769230769231
patch_aggregation_10,0.7260309058311278,0.12541620421753608,0.09886450951933749,0.30410654827968925,0.052676513275847346,0.08682660291983267,0.7236403995560489,0.7236403995560489,0.7224451464185093,0.7315802953982754,-0.42098523008622896,1.0,0.8225049090753863,0.6792452830188679,0.6725006403141808,0.6763425253991292,-0.43524289251259285,-0.4052761888499957,-0.4242735042735043
patch_aggregation_20,0.8867070776060787,-0.12131819346025784,-0.13668573380005122,0.07734995304362674,0.06027490822163408,0.14846751472722616,0.8862802014855289,0.8862802014855289,0.8847434474515495,0.8831213181934603,-0.6769401519678989,0.8225049090753863,1.0,0.9182105353026552,0.9176982839579954,0.9060018782549304,-0.6758302740544694,-0.6642192435755144,-0.4112820512820513
patch_aggregation_40,0.9176982839579954,-0.26645607444719543,-0.2728592162554427,-0.028259199180397848,-0.03474771621275506,0.08716810381627252,0.918637411423205,0.918637411423205,0.918722786647315,0.9095022624434389,-0.7937334585503287,0.6792452830188679,0.9182105353026552,1.0,0.9608127721335269,0.9514214974814309,-0.7910014513788098,-0.7858789379322121,-0.2594871794871795
patch_aggregation_80,0.9439938529838641,-0.3337317510458465,-0.33108511909843763,-0.0613847861350636,-0.011269529582515155,0.09066848800478101,0.944164603432084,0.944164603432084,0.9439084777597542,0.9327243234013489,-0.811576880389311,0.6725006403141808,0.9176982839579954,0.9608127721335269,1.0,0.9911209766925638,-0.7987705967728165,-0.7997097242380261,-0.29367521367521365
patch_aggregation_100,0.9430547255186544,-0.36668658755229233,-0.358149065141296,-0.06710492615043115,-0.0244173140954495,0.0623239136002732,0.9430547255186544,0.9430547255186544,0.9416033467087851,0.9275164347306412,-0.823444036540596,0.6763425253991292,0.9060018782549304,0.9514214974814309,0.9911209766925638,1.0,-0.8155895159224793,-0.8118330060616409,-0.2882051282051282
