,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_fg_ratio,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,"class_mean_w_equal_weights_configurable_{'include_background': False, 'ignore_index': 0}","class_mean_weighted_by_occurrence_configurable_{'include_background': False, 'ignore_index': 0}",gmm_normalized_score
mean,1.0,0.5334842597766304,0.469305420061456,0.3836872391545502,0.2355215918376501,0.16147355033445557,0.9992630565379607,0.9973955181066252,0.993574010626289,0.976877876409667,0.450399689129654,0.5509444598029316,0.6542095301337753,0.7428743995198773,0.80596821643847,0.8317845116406796,0.5409498102522032,0.5409498102522032,0.36353199039766204
above_threshold_mean_0.3,0.5334842597766304,1.0,0.9696257141803919,0.8772520064553029,0.6246755215270239,0.4407063683088128,0.5295542444927365,0.5286708808620406,0.5374853676499589,0.6119812869426905,0.5679916010209493,0.7263712703595753,0.8182369634401433,0.8540156670316983,0.8220497247459181,0.8042299188476526,0.7932267156855073,0.7932267156855073,0.5395470201440351
above_threshold_mean_0.5,0.469305420061456,0.9696257141803919,1.0,0.9512665915391754,0.7053733439947053,0.49572496193941024,0.4627327159111034,0.45965630885139747,0.46581006203376213,0.5356043324903003,0.606869562204064,0.7227038980945087,0.8039098088587074,0.8140406041246075,0.7645765862734258,0.7414124626321994,0.7825794726215092,0.7825794726215092,0.4470305813589396
above_threshold_mean_0.7,0.3836872391545502,0.8772520064553029,0.9512665915391754,1.0,0.7964446266431162,0.559017786552022,0.37578995908963037,0.37137872007487166,0.37543311516752753,0.43891540954063657,0.5824226601561739,0.6780554871308051,0.7401729731863647,0.7188551577885384,0.6576183838918076,0.6341876952629504,0.703596084497842,0.703596084497842,0.3158125456632919
above_threshold_mean_0.9,0.2355215918376501,0.6246755215270239,0.7053733439947053,0.7964446266431162,1.0,0.7429276499132067,0.22852577538151825,0.22366527760229166,0.2247736112557043,0.27183154727856057,0.4227850699596376,0.5164295876419904,0.5400075802634599,0.49742258521526767,0.43348138366617467,0.41552568983472454,0.47529945888983094,0.47529945888983094,0.22125039139964514
above_threshold_mean_0.95,0.16147355033445557,0.4407063683088128,0.49572496193941024,0.559017786552022,0.7429276499132067,1.0,0.1576215141016506,0.15503178102053605,0.15684779988045544,0.18896391858670364,0.28445284797355186,0.3453666762794797,0.37604696773074037,0.3472283225511107,0.2914563242372995,0.27662956975192055,0.3387020912637353,0.3387020912637353,0.13674981734683228
above_quantile_mean_0.3,0.9992630565379607,0.5295542444927365,0.4627327159111034,0.37578995908963037,0.22852577538151825,0.1576215141016506,1.0,0.9993453074048354,0.99684631358317,0.9817385399058852,0.4333531187146077,0.5430035593431994,0.6477915320016635,0.7378181899734665,0.8027220599402778,0.8294253645470002,0.529632591803807,0.529632591803807,0.3457467905229099
above_quantile_mean_0.5,0.9973955181066252,0.5286708808620406,0.45965630885139747,0.37137872007487166,0.22366527760229166,0.15503178102053605,0.9993453074048354,1.0,0.9989077961337784,0.9859362986093508,0.418737248307652,0.5363031610442512,0.6427997495390214,0.7343961709210944,0.8010237737964536,0.8285348382596637,0.5215378507367906,0.5215378507367906,0.32808683853459975
above_quantile_mean_0.7,0.993574010626289,0.5374853676499589,0.46581006203376213,0.37543311516752753,0.2247736112557043,0.15684779988045544,0.99684631358317,0.9989077961337784,1.0,0.9912352098965893,0.40525976156860194,0.5327151119792063,0.6419871838897748,0.735980241231647,0.8042696356866607,0.832124636559621,0.518714180502409,0.518714180502409,0.31510280764012105
above_quantile_mean_0.9,0.976877876409667,0.6119812869426905,0.5356043324903003,0.43891540954063657,0.27183154727856057,0.18896391858670364,0.9817385399058852,0.9859362986093508,0.9912352098965893,1.0,0.40878881538460576,0.5593756247760749,0.6749100681505604,0.772224388613858,0.8389084089183877,0.8646523962732238,0.554192107754049,0.554192107754049,0.31418432313954703
