Aggregator,AUROC,AUROC_std,Noise_Level
Quantile fg. ratio,0.6160714285714286,0.07525510204081631,1_00
Imbalance-w. class avg.,0.4770408163265306,0.08163265306122447,1_00
Threshold 0.7,0.42283163265306123,0.04783163265306123,1_00
Quantile 0.6,0.4119897959183674,0.0790816326530612,1_00
Quantile 0.75,0.41135204081632654,0.08354591836734693,1_00
Mean,0.3979591836734694,0.08545918367346939,1_00
Quantile 0.9,0.3698979591836735,0.09566326530612249,1_00
Equally-w. class avg.,0.32334183673469385,0.05165816326530612,1_00
Patch 20,0.31760204081632654,0.07780612244897961,1_00
Patch 50,0.3137755102040817,0.05229591836734693,1_00
Patch 10,0.29910714285714285,0.10395408163265303,1_00
Threshold 0.5,0.26530612244897966,0.15816326530612249,1_00
Threshold 0.3,0.2576530612244898,0.11607142857142859,1_00
