Aggregator,AUROC,AUROC_std,Noise_Level
Threshold 0.5,0.5490666666666667,0.006984427121978015,0_25
Threshold 0.4,0.5254666666666666,0.009783432708183533,0_25
Quantile 0.75,0.5253333333333333,0.0035226252836327823,0_25
Threshold 0.6,0.5244000000000001,0.018034041883800443,0_25
Quantile 0.9,0.5236000000000001,0.005101633725255744,0_25
Quantile 0.6,0.5222666666666668,0.0033993463423952434,0_25
Patch 50,0.5204,0.006796077299933138,0_25
Mean,0.5176,0.004013311184877962,0_25
Threshold 0.3,0.5156,0.004092269134192753,0_25
Imbalance-w. class avg.,0.5150666666666667,0.004458200932613492,0_25
Patch 10,0.5114,0.013225228416426961,0_25
Equally-w. class avg.,0.5090666666666667,0.0021746008573733443,0_25
Threshold 0.2,0.508,0.008472701261502565,0_25
Patch 20,0.5045333333333334,0.00839258932365666,0_25
Threshold 0.9,0.5005999999999999,0.00016329931618557254,0_25
Threshold 0.8,0.49953333333333333,0.001268419839362688,0_25
Threshold 0.7,0.4774,0.019350107665505788,0_25
Threshold 0.5,0.6653333333333333,0.013718438524684767,0_50
Threshold 0.4,0.6305333333333333,0.0313557366716558,0_50
Quantile 0.9,0.6058666666666667,0.01143717136747059,0_50
Patch 50,0.5908,0.025906498541228402,0_50
Patch 10,0.5870666666666667,0.017497682386215872,0_50
Quantile 0.75,0.5870666666666667,0.0057162536293936085,0_50
Threshold 0.6,0.5802666666666667,0.02633999915633174,0_50
Quantile 0.6,0.5792,0.011625259853726524,0_50
Threshold 0.3,0.578,0.019669265365030813,0_50
Threshold 0.2,0.5619999999999999,0.012136995784240278,0_50
Threshold 0.8,0.5570666666666667,0.007024401912064945,0_50
Mean,0.5549333333333334,0.012625195268016873,0_50
Patch 20,0.5512,0.01767257762749962,0_50
Equally-w. class avg.,0.5502666666666666,0.012437934805353452,0_50
Imbalance-w. class avg.,0.5468000000000001,0.011883882642750504,0_50
Threshold 0.9,0.5034000000000001,0.004140853374205268,0_50
Threshold 0.7,0.4816666666666667,0.002604269997949925,0_50
Threshold 0.4,0.9013333333333334,0.025658959881924705,0_75
Threshold 0.5,0.8732000000000001,0.003709447398198248,0_75
Quantile 0.9,0.8678666666666667,0.012684198393626939,0_75
Threshold 0.3,0.8469333333333333,0.035551777577062016,0_75
Patch 20,0.8356,0.025873538606073967,0_75
Threshold 0.2,0.8150666666666666,0.018579797869968533,0_75
Quantile 0.75,0.8049333333333334,0.013130456537717543,0_75
Quantile 0.6,0.7701333333333333,0.02013377482959639,0_75
Patch 10,0.7550666666666667,0.03269468186452069,0_75
Patch 50,0.7492,0.027714737355181023,0_75
Threshold 0.6,0.6608,0.06158527962643887,0_75
Mean,0.6597333333333333,0.03147288074235062,0_75
Imbalance-w. class avg.,0.6482666666666667,0.030467177238610248,0_75
Equally-w. class avg.,0.6246666666666667,0.03184853040391169,0_75
Threshold 0.8,0.616,0.028634245231889757,0_75
Threshold 0.9,0.5265333333333334,0.011424340486678217,0_75
Threshold 0.7,0.43920000000000003,0.013906353464034595,0_75
Threshold 0.4,0.9954666666666666,0.0044582009326134715,1_00
Quantile 0.9,0.9906666666666668,0.002362672686222558,1_00
Patch 20,0.9870666666666666,0.0036417334089993703,1_00
Threshold 0.5,0.9842666666666666,0.006318930992572137,1_00
Threshold 0.3,0.98,0.009666436778875674,1_00
Threshold 0.2,0.9592,0.02592296279363141,1_00
Quantile 0.75,0.9525333333333332,0.006386096007908268,1_00
Patch 10,0.9232,0.007483314773547889,1_00
Quantile 0.6,0.8992,0.014236104336041762,1_00
Patch 50,0.8873333333333333,0.007052816616233696,1_00
Threshold 0.6,0.8034666666666667,0.06207636873686762,1_00
Mean,0.7493333333333333,0.033500381424030876,1_00
Imbalance-w. class avg.,0.7394666666666666,0.033621157359945565,1_00
Equally-w. class avg.,0.7031999999999999,0.03561722429761572,1_00
Threshold 0.8,0.6928,0.020447656752465952,1_00
Threshold 0.9,0.5569999999999999,0.032953704900460894,1_00
Threshold 0.7,0.4521333333333333,0.014048803824129966,1_00
