,moran,entropy,eds
0027_03,0.014327741441345443,0.3422120100774261,0.8865768289127758
0027_04,0.0013003361535460947,0.32619443493504596,0.9018688662033755
0028_00,0.0015424706499892141,0.4417250892172941,0.9855510498557171
0031_01,0.0038583890209164884,0.3430092925989914,0.9620187886915186
0038_00,0.001720637609910422,0.34451758059944587,0.9361154120811551
0038_03,0.0032654676047685835,0.4025002835501639,0.9014289863096799
0056_00,0.01764468730460989,0.4697771547736317,0.8530476664890624
0056_05,0.011500377099020671,0.4173835975586289,0.9344006627489121
0056_10,0.004960567283444121,0.358481595931071,0.9124854321099035
0057_04,0.0010765287347730482,0.3495596349576609,0.9391551982975411
0057_06,0.010779310214337506,0.40417059656988596,0.9330594653861493
0079_00,0.008494533952012382,0.4503301915478162,0.9220002580929669
0079_01,0.005063169255831196,0.3557209153740315,0.9192537839269769
0093_00,0.004742540265390893,0.5255382437895602,0.9711729827152358
0116_00,0.02617095088735057,0.4753800441106066,0.9420956891502771
0117_00,0.22664309310211866,0.5405719608552279,0.8219242845717903
0117_03,0.029700320710687955,0.6341383876911906,0.9601469140183307
0124_00,0.0046095023669629935,0.43347268024797764,0.8815515600139384
0124_01,0.010205713226138755,0.5515279596215776,0.945756690183421
0126_01,0.007920410361273387,0.27401013618595554,0.8655563404512134
0144_03,0.0013341967756145842,0.3292901111790291,0.9074509694169944
0147_00,0.016052101221120902,0.520473866640099,0.9269084099975325
0147_01,0.12211167228475683,0.6542367391736812,0.917930274225707
0147_03,0.04857092022643973,0.5690601316999441,0.9574440506684873
0161_00,0.01212512060178173,0.3493156101623067,0.8730808378961921
0161_02,0.019062994266575057,0.35273177836739467,0.9132877135746281
0172_01,0.002299999904989364,0.4230686260940783,0.9481979802258004
0172_02,0.017909258196188015,0.5151688376253847,0.9551037471781515
0172_03,0.0009230778780305141,0.37986309281475644,0.952892254932735
0180_08,0.07643912417057998,0.6952059719366925,0.977920375702199
0189_04,0.009010591254596585,0.38662499707890247,0.874167700972459
0189_05,0.007599016930386775,0.38982437989875074,0.9029363351751333
0189_06,0.17332259310134313,0.6420922791073611,0.9673417912832905
0207_00,0.0009691690150005349,0.2458109528294681,0.8280646070840918
0230_00,0.002139608210593576,0.23649178545396243,0.8212084159815747
0230_05,0.01197835920287564,0.40769426330853387,0.9272809069167962
0238_01,0.00794920528210764,0.24597973248752983,0.8055865043948581
0263_00,0.003537416317685253,0.18684483964658474,0.8053511128909302
0272_00,0.00160872853355019,0.28744072620398836,0.89519717362535
0287_00,0.015807271015576004,0.3585670772483955,0.9051514070328107
0300_01,0.008631515146187997,0.464625840962688,0.9258258907533399
0300_02,0.0072890483909239445,0.4849489494426511,0.9173732574548263
0300_03,0.003861279016833678,0.40293999903514843,0.909471891451135
0345_00,0.008298581715314756,0.3780834888968903,0.9431951530256469
0379_00,0.0018795655561587566,0.3120682381556728,0.8783482716400197
0380_00,0.0005984115673953842,0.3178369295011279,0.8700665097786106
0394_00,0.011053189851490347,0.4466329617734676,0.9127797305861445
0394_01,0.006486928758953393,0.3892874866651596,0.8861357479713412
0394_02,0.015318653052274533,0.44115178010221634,0.9049932136168269
0394_04,0.010304807357917653,0.44044329278977074,0.9075909539533797
0394_05,0.02267468066617666,0.5635447027216445,0.9562336096926319
0411_00,0.23265130931060504,0.6020427866715833,0.9641536202963085
0419_00,0.00377467354335929,0.42772746832326825,0.8911151488366987
0419_03,0.0012404718994999942,0.26931772015614036,0.9352104529206853
0441_00,0.006179352758109354,0.4221834764861561,0.8876656826264416
0441_02,0.20417145823836855,0.41597661514742906,0.690433139047439
0441_03,0.04655172453368172,0.5915316417298856,0.947167236389299
0455_03,0.009275497147742132,0.5043552732538333,0.9597425678483016
0455_05,0.001269643162020119,0.3330472733868437,0.9224467125450897
0455_08,0.0007358611715269438,0.40046161126044955,0.9581882939056955
0461_00,0.021517738068319206,0.5349248884317628,0.9613476262739055
0461_01,0.002597744590743655,0.4080419139214393,0.9172926236326977
0461_02,0.007046564519877694,0.22170316490136932,0.8335776080065229
0495_04,0.02230798500834357,0.5319576242695755,0.9373220552301407
0507_00,0.0016368603459917352,0.17397094742163466,0.9326578535738135
0507_01,0.0016851845716015868,0.21993907349989242,0.8480860570292914
0524_00,0.007957880219967753,0.45240991094413147,0.9058873987202564
0530_00,0.004657140363136893,0.3803850574850939,0.9094174125468704
0575_01,0.0010136103611708967,0.45646507737817793,0.9370603013042687
0575_02,0.006076973006933883,0.28642648621047173,0.9023904946934045
0589_09,0.004095563033939229,0.43331058955423746,0.9508381490415921
0609_01,0.01067232235548342,0.504006971579798,0.98250199164851
0609_02,0.06193700180546869,0.6173330141021737,0.9810731395559006
0609_04,0.015141588808486895,0.3715968209996719,0.8060841961785871
0618_00,0.0004987227714887778,0.3903979402569788,0.9817433848519381
0699_00,0.001107252246539793,0.4980643153738466,0.9561763435284175
0699_01,0.005821758649880094,0.38923913602849924,0.9002335335573454
0699_02,0.0009310699565962439,0.3757846011133679,0.9106258949717401
0732_00,0.000911905531522204,0.3006807845831914,0.9359841218876124
0739_00,0.02298871065865001,0.3903132304198408,0.9132901035506605
0739_03,0.001498167346848663,0.23617229075403148,0.8834365820166767
0739_04,0.019713690384824404,0.4157868345217925,0.9386015363916725
0740_00,0.002801704772729427,0.47881870694878764,0.9627704478260184
0775_02,0.0021304495270645786,0.3782688864100324,0.9277760471270889
0784_02,0.0032486553153052997,0.3247449665871623,0.8889626832520812
0784_06,0.009189947092268854,0.4767140006203071,0.9594703590082619
0784_07,0.00864976598920084,0.42311553277967706,0.8787988173950165
0817_01,0.024568796900144654,0.6129411983996889,0.9468831129567389
0817_04,0.0005349610818937267,0.34573647949990566,0.912262937157728
0818_01,0.011959368280989938,0.3576071983402833,0.9057152754546539
0833_05,0.015354740958661559,0.39734502192260207,0.9048604464694228
0833_06,0.0015887568019194078,0.3574228852040855,0.9420050351863677
0849_03,0.007862142240482756,0.45813447066674756,0.9426330204553199
0852_00,0.010748418557743215,0.34065247008291527,0.9293829781500155
0870_00,0.005516847106065752,0.4979095761325627,0.9583807560405938
0870_01,0.006457729000469422,0.24589613742887068,0.8684358057989509
0870_06,0.02020044508187343,0.6162673176469157,0.9539472929102452
0870_08,0.0050945516333064204,0.4389536088610931,0.9199837797181484
0892_01,0.011821687034339867,0.42964195211920686,0.9075632007366523
0896_04,0.006273624902462231,0.34628400528480396,0.8887835468044265
0931_03,0.01895844413571315,0.36315010743526666,0.8795902398881803
0982_00,0.00322063544276651,0.390539611375612,0.9331083302869476
0982_01,0.0009156842652965349,0.46616141121745436,0.9618868574664987
0984_06,0.00697100943939891,0.3354439465200141,0.8719551658602427
1012_02,0.005811958888411773,0.5438596565315034,0.9576207228205372
