,moran,entropy,eds
0027_03,0.006547677965886947,0.13953335025499575,0.6609816503832723
0027_04,0.0010987080948704562,0.0,0.2488567830279103
0028_00,0.004078468091728432,0.27967771806649333,0.8884171379264424
0031_01,0.0014746684912279714,0.17666226097815696,0.7745590128020388
0038_00,0.0009380057591880027,0.21007842110852282,0.7931840934169705
0038_03,0.001151410990475238,0.21085883897426871,0.8326277082006502
0056_00,0.0026563931098896806,0.2077808247601199,0.7855270926439581
0056_05,0.0001864368112596616,0.2815821701195552,0.8463457365932754
0056_10,0.0010251140134315002,0.17693697778283396,0.7247328975786516
0057_04,0.00025892086962119075,0.15003110261283983,0.7843226904845227
0057_06,0.0012787292282068774,0.21008258299761007,0.7749445834637663
0079_00,0.01234712417806077,0.0914857501248705,0.7418837323531117
0079_01,0.0009095715357867551,0.1503844381276773,0.6612457664516791
0093_00,0.0003461774869014305,0.2514235943899048,0.8996730846634877
0116_00,0.005000279659751261,0.19209404654162102,0.7547150891599704
0117_00,0.04996859494235645,0.16780154146870924,0.7210851309391615
0117_03,0.0032381790795555643,0.3092255909020414,0.8469586309687599
0124_00,0.001969729596200941,0.2451882578296368,0.7834635098246427
0124_01,0.003304164465468751,0.22369934682321288,0.8499825788873799
0126_01,0.00035333577388885727,0.23194332857573988,0.8445814983246916
0144_03,0.00020651854407419216,0.22965577982197277,0.8817641932856806
0147_00,0.0005088297898482325,0.21593487860509372,0.7770708774884872
0147_01,0.010859846318575658,0.16110010577066852,0.6391450524358857
0147_03,0.015791845866946964,0.301745155700123,0.8667744321950777
0161_00,0.0031338672837189344,0.10685535078213705,0.6757830161915991
0161_02,0.014261246079861819,0.14071512377979625,0.7026652519304003
0172_01,0.002344952789407743,0.37648677240656087,0.9217053355172038
0172_02,0.0003806414436816549,0.19895281473491577,0.6534583413936724
0172_03,0.00012611437446975198,0.18820085627535618,0.7949739596505869
0180_08,0.010907079437104693,0.08496839923289762,0.6725704477188799
0189_04,0.0018996222104043423,0.19033322833949592,0.8679137809860678
0189_05,0.00029106184871982934,0.17047115419774495,0.7250350041317536
0189_06,0.05612229065367017,0.40040259632729736,0.9250407227295215
0207_00,0.001356877928772056,0.0,0.536911484286627
0230_00,0.0003694985982966808,0.0,0.38333646167945856
0230_05,0.002286210673865231,0.0,0.4429493588469674
0238_01,0.00038001520700204933,0.23473836050227093,0.847841239306756
0263_00,0.0015643947534708213,0.0,0.024147715086134065
0272_00,0.0003242332153908088,0.1804922886519653,0.6937143192202859
0287_00,0.0007612841088507843,0.2248228014036655,0.7903850565234312
0300_01,0.0005699149148125582,0.23269730823591875,0.8300038072285795
0300_02,0.0005338226888104115,0.19134452739733337,0.8252330188027779
0300_03,6.905309666964366e-05,0.2080017805208583,0.727851763811852
0345_00,0.007837122366006597,0.26242239587717053,0.7919684357476402
0379_00,0.0010798886323181043,0.20454447859576477,0.7231976107966388
0380_00,0.00044064609453279435,0.17611177675561915,0.6212452267327379
0394_00,0.0021740099802372804,0.250387965103719,0.8314160836666564
0394_01,0.0019630574650936613,0.20917053437767258,0.7763672610681176
0394_02,0.005434048970166932,0.07726677284363802,0.6015547950494914
0394_04,0.0030622623650200117,0.17028366720208235,0.7481792307827377
0394_05,0.004573394900208762,0.27511350043865535,0.8238356034079675
0411_00,0.017674737762412178,0.0,0.500515096905279
0419_00,0.0002709379728623234,0.22790811036356232,0.8681248589896232
0419_03,0.00043747077447467355,0.20373740012209451,0.8044437271363296
0441_00,0.00038597637674353443,0.21883275825665277,0.8656074643000881
0441_02,0.006954375515368945,0.16382335540618234,0.7480831956861537
0441_03,0.01206549974397842,0.09802573860316953,0.7376045819771108
0455_03,0.005874747301969848,0.3274927837183299,0.8721001965285318
0455_05,0.0005930109486011111,0.11726470285527338,0.735161627184553
0455_08,0.002001743242139844,0.20306643716561892,0.7991997386121232
0461_00,0.0017581848707656658,0.28881348421490727,0.9000039795099026
0461_01,0.00036836523127679546,0.201171297606679,0.7718914538097975
0461_02,0.013747719697611809,0.0,0.2878305760988012
0495_04,0.004567416286025075,0.1572353922671738,0.7702706150407574
0507_00,0.0004084313775447513,0.22444509583352323,0.7980718476205302
0507_01,0.00044798788968727443,0.20610049943335287,0.8613037354143983
0524_00,0.0003911168192952676,0.2755702979835534,0.5899298404012061
0530_00,2.9308632927862496e-05,0.250599720522965,0.9050446012125535
0575_01,0.00019577904750773848,0.3286545765751849,0.8870393708798173
0575_02,0.005137558298130448,0.19380930118441597,0.6821653327919048
0589_09,0.0003104736602057308,0.15175522160452204,0.6702524453989673
0609_01,0.0002918361658654342,0.25073204682382777,0.8754767735155494
0609_02,0.005366425586079793,0.11709662968201114,0.6794558645507891
0609_04,0.004511934201701603,0.325161847734617,0.8757170399513353
0618_00,0.00017955869630594773,0.2468522324407008,0.8596637433193717
0699_00,0.00039708989312779567,0.32476079497036214,0.8816645049253996
0699_01,0.001540766536484835,0.24456446095162696,0.8537204447941799
0699_02,0.0002104348776882701,0.13442895303051372,0.7324314871543549
0732_00,0.004980017731137344,0.0,0.11341234942323943
0739_00,0.0085832775292191,0.20343679022560485,0.724819576810566
0739_03,0.0004767425124993869,0.19863511610314988,0.7713818464604686
0739_04,0.005471353310562913,0.1440852288871175,0.8453328183169408
0740_00,0.00027283378160381595,0.21655094544605122,0.6737050708892975
0775_02,0.0001441389084385724,0.3032162895876312,0.9109702333571201
0784_02,0.0008020052227229812,0.13664038968413852,0.570564919512746
0784_06,0.0023562341215424064,0.44799908849843934,0.8709025796267263
0784_07,0.0008534019263106828,0.0,0.723575812488473
0817_01,0.0180394507755222,0.3142981608053687,0.7851858672146977
0817_04,0.0004649339867793175,0.0,0.39717392232585935
0818_01,0.0211081613053902,0.0,0.480859421421488
0833_05,0.001275758109552147,0.1790588267248822,0.6838729963413127
0833_06,9.57433292177199e-05,0.1250971329229659,0.9228023252782164
0849_03,0.0031597541487408533,0.11936505500996648,0.8046145300033465
0852_00,0.0008181376237395748,0.2268192123180976,0.7877491821768305
0870_00,0.00014097142351685867,0.20764731308436302,0.753640809129243
0870_01,0.004125688658369986,0.0,0.018265433572334757
0870_06,0.0024580165791622094,0.26486897752504474,0.8456638289455586
0870_08,0.0024352977513080534,0.4009452665096821,0.899178574876238
0892_01,0.003970410306954333,0.1441769088863463,0.762993302319221
0896_04,0.008818356286735317,0.27076965131170205,0.8123426472458922
0931_03,0.0186141876803293,0.3000280107080236,0.8080005252042426
0982_00,0.0010289647047369223,0.2171830581567145,0.8072258603261346
0982_01,4.79311547276192e-05,0.1997376281821607,0.8310230124113728
0984_06,0.0001821781193792746,0.24397999674420306,0.8485592206512098
1012_02,0.0033791256450131286,0.0,0.5977401132607801
