,moran,entropy,eds
0014_01,0.23181769699327223,0.5519888554542722,0.8731679609853318
0014_02,0.012243356309982547,0.3606132259596423,0.9038178474794295
0014_03,0.011025176314355558,0.42166913946627194,0.9168696280491269
0021_02,0.01019530191372073,0.3731022189994772,0.9127530001789002
0022_00,0.012894006420116915,0.4045704455355864,0.9173609285579899
0022_05,0.0141828767261354,0.395282919455719,0.8664558899962017
0022_09,0.03244713531466206,0.45318317140675335,0.8977979825674106
0023_01,0.006573621133983866,0.2857539519478554,0.9115392662985827
0023_03,0.02025838360071288,0.3740112257984607,0.8741081340921523
0023_05,0.003128985777231643,0.35186942108991914,0.9437296333402287
0023_06,0.0035662165180077084,0.3516857751199406,0.8908949098641225
0023_08,0.0012649947892742705,0.30320676997087515,0.9082547509339471
0025_00,0.06825058999286034,0.5336965595271165,0.890957033849826
0026_00,0.11489805906392513,0.6217444489251067,0.9342697982418907
0038_00,0.0031471084769983666,0.4244608418553124,0.942897463584972
0038_03,0.0042460752922670935,0.3745557775864746,0.8878136204784959
0042_02,0.012258840055052405,0.5040025317444787,0.9147807076237244
0042_03,0.0032134141337633168,0.28201018397988564,0.9028121318712765
0042_04,0.0502301389052077,0.49922529663818804,0.9246241461660705
0048_00,0.04315973138434714,0.5431017413169184,0.8931158032889115
0070_00,0.02445482306263045,0.5269703216667389,0.9342567687761443
0077_00,0.0025058312253060013,0.42251908740233063,0.90918391970986
0077_01,0.10782194320247002,0.6555442583589328,0.9457550179157165
0078_00,0.007322411186173252,0.4686475662435668,0.9158457155206136
0078_01,0.011584384590216415,0.3717850831921977,0.9051943335732203
0078_02,0.003677277136434616,0.38036024480032266,0.9515730473653022
0087_00,0.23177134453042936,0.6390764578560626,0.955966777674042
0088_01,0.1371785207595279,0.6705454233349223,0.9366732233478062
0111_00,0.07507670680296642,0.5583245605606552,0.920201444776584
0115_00,0.1523988186664192,0.565692984851879,0.8427204418403432
0122_00,0.032391443047836165,0.4729328289339565,0.9186626995392803
0139_00,0.013046756844265572,0.5461769763673527,0.9566670509262449
0139_03,0.00605498118255912,0.398940556907781,0.9207579737464813
0139_04,0.0014119020433983635,0.4829129518144172,0.9634650766843953
0154_00,0.022400226097164848,0.2923025779564174,0.8566055504150857
0160_01,0.05919765003842995,0.4149359583894633,0.8827138519422181
0172_00,0.14957320793777745,0.6069704019969895,0.8872056238831748
0172_01,0.004743324712869348,0.427812209812022,0.9434608222118438
0172_02,0.005050726725391544,0.46639573812535656,0.9496981058103645
0172_03,0.0008329754523416874,0.4166964869073416,0.9544105946024997
0176_00,0.007303328943850488,0.357996551465815,0.928022491639247
0221_01,0.18794431297621383,0.5785937678359425,0.9144025064447169
0221_02,0.049187477653816446,0.5944246192002299,0.94356880270342
0230_00,0.002269013695725256,0.30908660942983374,0.8791268582449001
0230_01,0.04972106856206017,0.5229272940905306,0.901188385790182
0230_02,0.01498483776598534,0.4375016525665787,0.9254202951831478
0230_03,0.01440333641056883,0.46029054132857466,0.9215782008767766
0230_05,0.1381392973350662,0.5293780204190421,0.9239734177819183
0230_06,0.041093990569586,0.5314591673805544,0.9214651270267238
0244_00,0.0113725758378949,0.36739197408648144,0.9078369198093789
0244_01,0.0023011482177073593,0.3124189361561455,0.9243909585303636
0254_02,0.0019933440753583317,0.32212704475079673,0.9114548056328436
0258_00,0.1127676333701506,0.6074423912480726,0.8529144548083176
0258_01,0.01033028870165701,0.4578383267090447,0.9259820863634101
0263_00,0.004607052057115014,0.3254489318605481,0.9517329998112815
0274_00,0.01609849935137378,0.380524906741892,0.9036575602212387
0299_02,0.01220631236121697,0.45059684912268344,0.9637298910863084
0311_01,0.02928215964651198,0.6586077780743355,0.9671174913254046
0314_00,0.03896516637863224,0.5220450618354445,0.9113057907910294
0320_00,0.004454541258656829,0.3712531903915457,0.9565390838904789
0348_00,0.002605194346754681,0.3332229654115679,0.9112316503847697
0348_01,0.08910383480736353,0.6385992856326635,0.9636573788967889
0348_04,0.007128964246667821,0.31637305468143545,0.9110730455152419
0352_00,0.002340149023508267,0.467880021668724,0.9470175062971705
0363_03,0.10734125993612688,0.570377491351294,0.938166012507891
0370_00,0.14154558944580575,0.7040727891198362,0.9262200763203883
0380_00,0.0015697119626612154,0.2707649194325586,0.9029360146431975
0381_00,0.15629731440239925,0.6691211476805886,0.9308994025916819
0384_00,0.010566183776601215,0.40272088586877614,0.965132473913624
0402_01,0.009900274728000967,0.5847106662006049,0.8758363347486435
0402_03,0.00990656317554645,0.32151349514094285,0.8610892667880895
0402_10,0.02816127186141402,0.4834899587641536,0.9196990796226443
0407_00,0.01974134736732146,0.5117968508184404,0.9163349477652637
0409_01,0.004882177483347827,0.4033976886076123,0.8889731590322077
0427_00,0.03844905888781895,0.5041728965068364,0.8955495754129512
0439_05,0.012988473504871914,0.42965189787581737,0.9143233625959037
0447_00,0.00917106636012114,0.4268279091571006,0.8924440343455255
0453_00,0.011374845712925845,0.49268707312064564,0.9384544385945871
0453_01,0.00046214779733465863,0.2951477197284125,0.912397116342316
0453_02,0.011251953423525302,0.5783465727586719,0.9778700520892694
0468_00,0.27219641755063284,0.4810273345151224,0.8166312700486367
0468_01,0.005817047997218762,0.314089041093377,0.9609697739831786
