,moran,entropy,eds
0085_03,0.0014338007129332808,0.14280854180957017,0.7245258337732694
0305_07,0.006534675018092571,0.30069568703235927,0.8441146976695547
0384_01,5.595988173579662e-05,0.28029098889594445,0.9245114865036939
0389_00,7.552744383680212e-05,0.30107731073478694,0.861682637056822
0410_01,0.0001222319329139669,0.1301129111888345,0.7432814225347396
0433_01,0.00020366611348871048,0.0,0.47607187163231557
0469_02,0.08097026377465524,0.3715379982143605,0.8972074187692018
0625_01,6.665806653745541e-05,0.19393202529229042,0.8833757780311196
0641_04,0.049103432641862184,0.2922357017556077,0.8797372186806962
0689_01,0.07192984549068754,0.0,0.25395885599736895
0699_00,5.969204344698057e-05,0.0,0.7013442610647844
0717_00,0.07579327883471916,0.17788685286191966,0.819274536058259
0719_01,0.032420349919335706,0.36590028256505774,0.8969143396090655
0925_00,0.0005165902569265324,0.13027679508139997,0.6906749966729921
0969_04,0.0038834592632424497,0.1653981360331425,0.6512281051203465
0969_11,0.014809982422841006,0.24754226685280398,0.7778461977383644
0969_14,0.0034843377393198737,0.3239267167222212,0.9324725702162747
0969_15,0.0027055430095030033,0.13275114187177636,0.7114348057040274
0969_16,0.0002555752727049977,0.25841577066828303,0.8881994557593813
0974_00,0.33659551327022386,0.0,0.0
