,moran,entropy,eds
0085_03,0.09440229030168236,0.776593402456396,0.9629751683359715
0305_07,0.03662510724543984,0.5821018509709897,0.9359973467077461
0384_01,0.00030938539728442245,0.3828916959732003,0.9635100589653781
0389_00,0.0013821289893177924,0.5343572035295306,0.9553588244887825
0410_01,0.04097890553169215,0.43908421602498315,0.9350723424571292
0433_01,0.010690192971229305,0.6197939886395643,0.9430437326014609
0469_02,0.18365270864753833,0.744605350065653,0.9632486081130561
0625_01,0.0062846749902603985,0.4867634585290579,0.9046005703312955
0641_04,0.17917917407370007,0.7812214079603268,0.9803576954120471
0689_01,0.2449741023249816,0.41442173269297433,0.6842392738853712
0699_00,0.00034434268751683755,0.20623215744075382,0.8400169058536852
0717_00,0.07768207134117722,0.5422113618127397,0.9381752702705871
0719_01,0.12047042396005135,0.5621167556885295,0.897604669742498
0925_00,0.020692852035613225,0.47081780551946706,0.9563073093087614
0969_04,0.004125443990133696,0.4170589830012784,0.9347285484867547
0969_11,0.06371101859874334,0.5702685567802973,0.9170576559121886
0969_14,0.015841883210403685,0.6428283934608662,0.9623798332326061
0969_15,0.033433032703453665,0.6771501359864198,0.9606668887751411
0969_16,0.03912212531784686,0.6224039436970779,0.9788885142381089
0974_00,0.3188727584192017,0.0,0.0
