,moran,entropy,eds
crag_57_TILE_4,0.29928783911142265,0.29647408828096605,0.666259819172694
crag_57_TILE_16,0.3018745423057538,0.2944586353603401,0.686321681090687
crag_57_TILE_19,0.3143858103775632,0.2977757861664381,0.6556160080030846
crag_57_TILE_34,0.2822070523535895,0.3003456289858559,0.6961461656039262
crag_57_TILE_35,0.28364801589749816,0.29700203101689254,0.6850090584662318
crag_45_TILE_10,0.3230467565102077,0.31050826762584316,0.6766766280290114
crag_45_TILE_14,0.328419827211124,0.29567411240703484,0.6556273691712967
crag_45_TILE_28,0.34525871344606046,0.3200099928118905,0.6679307293114097
crag_12_TILE_26,0.33078331403348765,0.29520859304411295,0.6723613344907824
crag_12_TILE_31,0.3040610941331943,0.31813138116314094,0.7136977710686591
crag_47_TILE_8,0.2736874561157328,0.3177030125959082,0.7550797217912202
crag_47_TILE_11,0.2622487744995637,0.3417679842350141,0.773245825566053
crag_47_TILE_19,0.2719683630002483,0.3201526242504088,0.7590856586359785
crag_47_TILE_22,0.27354013184202863,0.33854195067112147,0.7773165111037725
crag_63_TILE_2,0.36507293124135404,0.003912903327727654,0.0556078104202447
crag_63_TILE_10,0.3824173107204421,0.20730157709366193,0.4852320444450938
crag_63_TILE_16,0.3456152221037767,0.32428372028464025,0.7073449524258352
crag_63_TILE_17,0.31672526180642685,0.33939764885065826,0.7561382561474623
crag_29_TILE_0,0.3164599517278492,0.30670374478187284,0.6825357593140725
crag_29_TILE_9,0.3253249111860234,0.29767821028400276,0.67405303003758
crag_29_TILE_10,0.3393581759574972,0.315833602635113,0.7012435447762713
crag_29_TILE_17,0.332321508499306,0.322197006745057,0.6988225599995376
crag_29_TILE_20,0.32223578347624227,0.32252632186372543,0.6951650184647449
crag_29_TILE_22,0.3281236277758217,0.303616049749007,0.6712144226201421
crag_29_TILE_26,0.3106725847150556,0.3287107783877651,0.715653455960517
crag_48_TILE_9,0.3365944252227611,0.3216099999221211,0.7122734636748471
crag_48_TILE_25,0.3375301207028998,0.32936252196668836,0.7115960953472568
crag_48_TILE_29,0.3264285633600595,0.3263064665075213,0.700210720917336
crag_22_TILE_1,0.33266247225842444,0.30253332465936184,0.6922762969696854
crag_22_TILE_10,0.33529258559813235,0.30961216110473355,0.6924544732844055
crag_22_TILE_16,0.3284733900686946,0.32224527340337095,0.7130029792234696
crag_35_TILE_13,0.3177509313477547,0.3239415227644797,0.7060934975379196
crag_31_TILE_9,0.31857598839771445,0.33878389737235365,0.742271184314522
crag_30_TILE_5,0.2554147421717999,0.33974322320019085,0.7906435515533895
crag_30_TILE_15,0.24739362918389374,0.3643699347265184,0.811431573455863
crag_30_TILE_27,0.2576476197780853,0.32365620275016815,0.7729638314942144
crag_30_TILE_33,0.30241935869944603,0.25999978725108636,0.6531461935052006
crag_30_TILE_35,0.30944861259005035,0.31413720176236937,0.7130605468591502
crag_51_TILE_0,0.31745129443275905,0.3208395060421572,0.7144105068806337
crag_51_TILE_3,0.32279362171831705,0.3206620865313092,0.6818693152791818
crag_21_TILE_16,0.2790648579191333,0.3541314899899971,0.7747313775564451
crag_21_TILE_23,0.2760369155183911,0.36301283789291383,0.7970150566669882
crag_21_TILE_30,0.2980075218878066,0.3465473602426272,0.7758465146125659
crag_21_TILE_33,0.29530054418665375,0.3549405453872388,0.7882237885078536
crag_16_TILE_2,0.3456442985287133,0.3031808187303585,0.6531085740350896
crag_16_TILE_16,0.3379593266872397,0.31836120042777144,0.6990350391502481
crag_16_TILE_20,0.3329170925700921,0.3190086312494843,0.72010452852049
crag_16_TILE_30,0.335534756360379,0.32364687361313776,0.693665726454901
crag_41_TILE_12,0.32546430702809126,0.2998649681877702,0.6935441697122824
crag_41_TILE_25,0.32890328197584,0.31724586625450163,0.6979030632116001
crag_41_TILE_34,0.32910740313743064,0.3031087291352608,0.652299126990087
crag_40_TILE_14,0.3282950439026715,0.3272088547311989,0.718921524472913
crag_40_TILE_15,0.3289744537905616,0.33240155315430225,0.73336709480026
crag_40_TILE_21,0.3296135209798268,0.3184291860551436,0.7011111318157494
crag_40_TILE_26,0.31558648250340743,0.327187901102627,0.7416198061799112
crag_46_TILE_2,0.3413275186142565,0.3195341220138156,0.6893398132588987
crag_46_TILE_16,0.33133173864655135,0.3123906860867337,0.7062305436280201
crag_46_TILE_22,0.3115878320110218,0.3325696840988451,0.7414397324087998
crag_46_TILE_24,0.3050378282943122,0.3468828035553286,0.7805114278672458
crag_52_TILE_3,0.2928742990229534,0.3466878481042017,0.7822772153969741
crag_52_TILE_5,0.2738699916515065,0.3496979722131195,0.7921895313309616
crag_52_TILE_7,0.35706268722963025,0.22592482431792413,0.5224067682339633
crag_52_TILE_15,0.3065597213455303,0.3552761321046817,0.775166564166414
crag_52_TILE_19,0.3510558363033934,0.1394103661631391,0.3445187829154717
crag_52_TILE_26,0.3105798735984218,0.36389549029664103,0.7814121509915994
crag_4_TILE_0,0.32918671505282454,0.32179013463030043,0.6976400804493306
crag_4_TILE_2,0.3269318212017827,0.30980094994792423,0.6775184353438787
crag_4_TILE_3,0.3281515934356525,0.31064619604320404,0.6830171046801196
crag_4_TILE_7,0.30562860779469936,0.3180883589312499,0.7133196823993572
crag_4_TILE_25,0.30615837845616073,0.3202483295966153,0.7167635989419217
crag_4_TILE_28,0.30461635020489325,0.30751676183819826,0.7039215578496271
crag_55_TILE_6,0.2987648248679657,0.3429041505817934,0.7757606604120574
crag_55_TILE_7,0.28199050880533283,0.3348742695514051,0.7737172725879952
crag_55_TILE_17,0.2621346537007302,0.33351476593077883,0.7714981937288738
crag_10_TILE_8,0.33681293017536185,0.297899140529207,0.6286393570228274
crag_10_TILE_34,0.31271092142154283,0.3241628758880157,0.7101868005888006
crag_25_TILE_1,0.3276362224864188,0.2812486078376598,0.6337146293288718
crag_25_TILE_5,0.33429541322795997,0.2812433521184623,0.6441995415694611
crag_25_TILE_7,0.34391287545183374,0.29231308014815893,0.6725577825239427
crag_25_TILE_16,0.35227802845004613,0.28341662385500116,0.6123127528164307
crag_25_TILE_29,0.3784555585700478,0.0012288723644373078,0.011338593576632828
crag_7_TILE_0,0.27558410127168737,0.34423208322117443,0.7824765981418397
crag_7_TILE_11,0.38991692710069714,0.06041978632747304,0.22168333650394556
crag_7_TILE_26,0.28859115802035173,0.3527829069184257,0.7811239616365684
crag_7_TILE_29,0.3277220432477742,0.22935455650762498,0.5749272272682243
crag_7_TILE_33,0.2598320472049694,0.3499335274839293,0.7859144188420129
crag_18_TILE_13,0.3259743162261503,0.30612869971282153,0.6535163630918981
crag_18_TILE_14,0.3280485729936133,0.31292889169200216,0.6515499453132988
crag_18_TILE_20,0.3260530617820554,0.3121300578686724,0.6604665062200582
crag_18_TILE_23,0.3267715134165214,0.31081388752702394,0.6576095801262751
crag_18_TILE_30,0.32791838187299344,0.3144502157247242,0.6998199804908216
consep_9_TILE_0,0.3420252944899118,0.2784764443056882,0.6813404781136582
consep_9_TILE_1,0.3475675014784158,0.1733385471226409,0.4970397334208369
consep_9_TILE_2,0.31221185241915694,0.3509192317961076,0.7833668891060901
crag_27_TILE_0,0.2865544647831674,0.35106650509308784,0.7879492037240624
crag_42_TILE_4,0.3390805503415512,0.32288756692873116,0.726171669629648
crag_3_TILE_2,0.3209347839492855,0.3089067444443644,0.6876345939110697
crag_3_TILE_4,0.3199776805754093,0.30623146709639776,0.6541625574879298
crag_3_TILE_7,0.3302747017015159,0.31212527539517104,0.6523637084910858
crag_3_TILE_19,0.334139253417921,0.3035021306067277,0.644857663525549
crag_3_TILE_23,0.32449065614802486,0.30789626537337517,0.6335236507693062
crag_3_TILE_28,0.32355487480228734,0.31534537409129737,0.6761636975028009
crag_14_TILE_3,0.2711733958885838,0.32613652505419477,0.7684596428966535
