,moran,entropy,eds
glas_2_TILE_0,0.31877909633412477,0.30017254572850294,0.7137474497462738
glas_2_TILE_1,0.32042985767070165,0.3160115437238404,0.7159344429864491
glas_2_TILE_2,0.33160612983896287,0.30939689745218296,0.7072814683834325
glas_2_TILE_4,0.3250890114637073,0.3083252600210337,0.7242667547631505
glas_2_TILE_5,0.33120793002346666,0.3204809069948469,0.719747044954946
glas_2_TILE_6,0.3399957803258648,0.31383939538986727,0.7005534952972362
glas_6_TILE_0,0.36139959235730357,0.2651001754198506,0.5516720542062655
glas_6_TILE_1,0.34564886582389703,0.26241744929773464,0.5428189402729607
glas_6_TILE_2,0.33053367678122475,0.2782325026651731,0.582357952877007
glas_6_TILE_4,0.3472099692824957,0.2842692514211087,0.6075639175135193
glas_6_TILE_5,0.3505670658435442,0.2876680240516172,0.5880710599388377
glas_6_TILE_6,0.3255853412699275,0.2807066069598228,0.6164485647206926
glas_21_TILE_0,0.3190919769754374,0.2923429998991193,0.67321845871367
glas_21_TILE_1,0.32111775966372275,0.28760909577864374,0.6601537694219857
glas_21_TILE_2,0.34535976923758804,0.29128987494415837,0.6608813244251563
glas_21_TILE_4,0.3308880824420234,0.2931655181147513,0.6465091056741052
glas_21_TILE_5,0.3444812579837259,0.287752348773341,0.6260126697168249
glas_21_TILE_6,0.3529131328670362,0.2964915535656526,0.6378337213944785
glas_24_TILE_0,0.3388861894781331,0.28843328765333925,0.6585548284503479
glas_24_TILE_1,0.29927316074782917,0.28735623181467534,0.7037779722847798
glas_24_TILE_3,0.3410689711494338,0.29545901814775727,0.6597419721834099
glas_24_TILE_4,0.3106242365672313,0.29554304943607246,0.6980933358741249
glas_50_TILE_0,0.3475601881808347,0.2913450234446772,0.6316802900100315
glas_50_TILE_1,0.3459151620777986,0.2987979311008889,0.6232179561948699
glas_50_TILE_3,0.3447931909099682,0.27442120146679994,0.6029025120526141
glas_50_TILE_4,0.36325837572175945,0.2793096485747225,0.6009808095455875
glas_32_TILE_0,0.2918033832048152,0.3224084052648265,0.743261000522044
glas_32_TILE_1,0.29747338665727757,0.3230638525104449,0.7456969254950181
glas_32_TILE_2,0.30518999849229683,0.29785850482851883,0.7196958665681177
glas_32_TILE_4,0.2941574746346954,0.32370252545124645,0.7553850441007133
glas_32_TILE_5,0.28918947996481864,0.309585972764789,0.7362762221552053
glas_32_TILE_6,0.3169692818809421,0.3046302492043577,0.7100066889410132
glas_34_TILE_0,0.35699143148139506,0.27269409530886557,0.5969915472896106
glas_34_TILE_1,0.36042325189678687,0.281505717811963,0.6179306379251666
glas_34_TILE_2,0.3541633016322081,0.2838799001861775,0.6209565443803554
glas_34_TILE_4,0.354053978365128,0.2927206916268345,0.6414945283429025
glas_34_TILE_5,0.3599321785603122,0.2704810232587371,0.5558865674827159
glas_34_TILE_6,0.3587530997566788,0.2766871820753534,0.6120603824248383
glas_41_TILE_0,0.3303997673283957,0.28832561683409197,0.6382839797412292
glas_41_TILE_1,0.32888884190664197,0.29004188335033526,0.6627405580262655
glas_41_TILE_2,0.33681144081612957,0.2690896664823294,0.6149595664506152
glas_41_TILE_4,0.33518413352054194,0.2799049089319975,0.6402720525451804
glas_41_TILE_5,0.3541252444531651,0.28276866505915077,0.6175782860124067
glas_41_TILE_6,0.3701357016704536,0.2658913920522865,0.5779231160051278
glas_55_TILE_0,0.3819433089615747,0.27231066448543645,0.5760195491326761
glas_55_TILE_1,0.3637890895370759,0.2763160777275202,0.5855351852293412
glas_55_TILE_2,0.36085298792074233,0.2737047963359937,0.6014728533727481
glas_55_TILE_4,0.3719493527411531,0.3003749451741987,0.6077989938618716
glas_55_TILE_5,0.35223089853537803,0.29132645643259325,0.6090564842336886
glas_55_TILE_6,0.38247634024379074,0.26950137612164893,0.610263425285584
glas_22_TILE_0,0.31648731553768916,0.2983855919203833,0.7111570296187179
glas_22_TILE_1,0.32369622111347324,0.30727431140154254,0.7129401696423047
glas_22_TILE_2,0.3474803459599405,0.3152545293361496,0.7090552954454793
glas_22_TILE_4,0.2935673053298414,0.286913000043719,0.706418607151612
glas_22_TILE_5,0.31446839003512067,0.299325866458824,0.7175146827010539
glas_22_TILE_6,0.33622034323975236,0.31885380946287106,0.7209682188619982
glas_15_TILE_0,0.3175028294370081,0.29778108348534127,0.650250414386016
glas_15_TILE_1,0.35232683579153057,0.317037843954947,0.6917538718258672
glas_15_TILE_2,0.3316537522014824,0.299547025026456,0.6537076913859039
glas_15_TILE_4,0.3372083881530402,0.27444941350891455,0.6044005038073291
glas_15_TILE_5,0.36390679458717934,0.2956763945768286,0.6194874330462866
glas_15_TILE_6,0.31756030360942583,0.3124515133670311,0.7139909312002267
glas_35_TILE_0,0.31251621144750913,0.30270124326557357,0.7229821319375014
glas_35_TILE_1,0.29437236659123117,0.31830666983570755,0.7347518873539508
glas_35_TILE_2,0.31970107622366484,0.2970241366887276,0.6876222401013836
glas_35_TILE_4,0.28750241726490555,0.3307030159089005,0.7672214403398823
glas_35_TILE_5,0.2702940943915276,0.3140120316469443,0.7507636317599992
glas_35_TILE_6,0.28065563812472777,0.3039243674518888,0.7539137614832694
glas_39_TILE_0,0.33082081696428484,0.27599089629769025,0.5494038255794348
glas_39_TILE_1,0.3338865594332845,0.2705636645231761,0.5607413944277783
glas_39_TILE_3,0.3185654153177291,0.2655505009638072,0.6096541744142213
glas_39_TILE_4,0.3321933577194091,0.2851385480506304,0.6479254636262567
glas_43_TILE_0,0.2991541011687877,0.30971091287650343,0.7511457236738842
glas_43_TILE_1,0.3237540714207134,0.3284528805109116,0.7466939031529138
glas_43_TILE_2,0.3550091490356075,0.33382365833476113,0.7370331839446554
glas_43_TILE_4,0.30834513390497886,0.3457392711853734,0.7679113731070467
glas_43_TILE_5,0.37610015899500976,0.30042555005500876,0.6941499735565094
glas_43_TILE_6,0.3597711428606786,0.0010668204662492796,0.015791116015983386
glas_48_TILE_0,0.3511903009611238,0.26701082756794303,0.5575407253212826
glas_48_TILE_1,0.3353792179522171,0.28269046888054966,0.6195122366126115
glas_48_TILE_2,0.32705588027523597,0.27194491549564065,0.6101732133653008
glas_48_TILE_4,0.35170354422185734,0.2708509464335,0.5486668943569496
glas_48_TILE_5,0.33656826018035674,0.2685926685815483,0.5667638359568885
glas_48_TILE_6,0.3249320198986769,0.27701037440597875,0.6151070841031802
glas_49_TILE_0,0.3449975067554414,0.3198656452489478,0.7320317632393578
glas_49_TILE_1,0.310345057762601,0.31133832182328175,0.732108632649444
glas_49_TILE_2,0.315283669877166,0.3125827569370466,0.7191244561790594
glas_49_TILE_4,0.3331559617301126,0.30204413285308696,0.6979647002048274
glas_49_TILE_5,0.3008747343843657,0.31089927600365386,0.7314531304749284
glas_49_TILE_6,0.3062439035758638,0.29219220940073637,0.705207974630724
glas_23_TILE_0,0.3346900068181286,0.2701590690546002,0.5789125037827569
glas_23_TILE_1,0.34724849642787925,0.32887040144225455,0.7138364133023906
glas_23_TILE_2,0.3470908363403891,0.26860746464960633,0.5815156794950427
glas_23_TILE_4,0.3347265967500944,0.29056106262157444,0.6312643878707652
