,moran,entropy,eds
crag_57_TILE_4,0.34513665710503133,0.10040898859176176,0.29665747938193987
crag_57_TILE_16,0.33856891294347735,0.09960546300942831,0.3035402095460517
crag_57_TILE_19,0.34983413785961925,0.10426904507275163,0.2635385406601701
crag_57_TILE_34,0.3274499341673462,0.10442159817663205,0.3308579071427243
crag_57_TILE_35,0.3328680485175587,0.09592707177734987,0.3324047254712392
crag_45_TILE_10,0.36504541296692355,0.08368782154511896,0.3139711363104712
crag_45_TILE_14,0.36032212260264274,0.09535082390328345,0.2962661131724917
crag_45_TILE_28,0.3709756042626546,0.10887358457584016,0.28838473220684085
crag_12_TILE_26,0.3797711560918925,0.07440437749938862,0.27354745933538016
crag_12_TILE_31,0.3589799003572745,0.09419719691281836,0.38715669075979936
crag_47_TILE_8,0.32724413209430736,0.14032979755729527,0.4722772755999968
crag_47_TILE_11,0.30959963768846227,0.13488215235669948,0.5173920113666652
crag_47_TILE_19,0.32277675774420717,0.1360004876965111,0.4810904581543519
crag_47_TILE_22,0.3185810569329449,0.16127060867320392,0.47411630687779965
crag_63_TILE_2,0.41647688218113726,0.0,0.001114770978665338
crag_63_TILE_10,0.4102921484250518,0.014768499758148429,0.05398386447335466
crag_63_TILE_16,0.3939207547861766,0.04419244601059596,0.22453712056774153
crag_63_TILE_17,0.3645702588645385,0.08240607591722168,0.31246868845350967
crag_29_TILE_0,0.35400778843913516,0.1056244711601157,0.3200992540161963
crag_29_TILE_9,0.36515259419372775,0.10237541160261818,0.31979815082621654
crag_29_TILE_10,0.37725096746392384,0.07598964779610534,0.29825973144078954
crag_29_TILE_17,0.37859296117247404,0.08219036668974898,0.28232623341063096
crag_29_TILE_20,0.35823741593346253,0.10435761632530195,0.3266230538081492
crag_29_TILE_22,0.3619942365697866,0.09091562395672985,0.28517788584239306
crag_29_TILE_26,0.3554006005031334,0.11254428865957763,0.35118003498794387
crag_48_TILE_9,0.3724904784583769,0.10423728950878419,0.2860351672089978
crag_48_TILE_25,0.37200111133868335,0.09584429570418193,0.3244664495364088
crag_48_TILE_29,0.3721213009112412,0.09704057875315768,0.3345628638336676
crag_22_TILE_1,0.37560567702154757,0.0850879756267253,0.2815757948889574
crag_22_TILE_10,0.37340884846968136,0.08563603300772292,0.2991319378960613
crag_22_TILE_16,0.3636140270766071,0.09221185933741978,0.34479777957519187
crag_35_TILE_13,0.36319429721232077,0.08446276827384447,0.35898904624141753
crag_31_TILE_9,0.36222235328744323,0.09374149879815834,0.367672093724515
crag_30_TILE_5,0.33042167266783795,0.09753013982687635,0.4420861872662489
crag_30_TILE_15,0.31868527580134726,0.14336995043218415,0.5112783028100648
crag_30_TILE_27,0.33820977016696707,0.09608203068923742,0.4197535065511058
crag_30_TILE_33,0.3805209305033115,0.05013445673460438,0.16816254253124538
crag_30_TILE_35,0.3527919434362918,0.08361637737836408,0.26172025401692295
crag_51_TILE_0,0.3616862975983332,0.09396651575044505,0.32517853891889414
crag_51_TILE_3,0.35355653130278336,0.12904763782996792,0.3291681313170428
crag_21_TILE_16,0.3278839024557453,0.14689842907913916,0.45420465435645685
crag_21_TILE_23,0.3330686923587454,0.1460888974115389,0.4487823803400588
crag_21_TILE_30,0.3424345763292648,0.1335277879437111,0.4076348997254145
crag_21_TILE_33,0.3415104685133527,0.11359675575104344,0.44067888356667473
crag_16_TILE_2,0.3762985889820012,0.09878527465981844,0.2655578627201432
crag_16_TILE_16,0.3718808560540703,0.09985074288545465,0.3274735012075527
crag_16_TILE_20,0.37603629820527884,0.09584149309998988,0.3160386452511041
crag_16_TILE_30,0.37366005314751066,0.09816337767239426,0.3124003278957448
crag_41_TILE_12,0.3677827419550439,0.07614955547594492,0.30653246719855104
crag_41_TILE_25,0.36755959192156956,0.07361335416181314,0.3047882415314146
crag_41_TILE_34,0.36183313808449,0.08327974885067589,0.28653089663025116
crag_40_TILE_14,0.368900999777294,0.08174463218981645,0.32960092115574224
