,moran,entropy,eds
crag_57_TILE_4,0.3796298527020243,0.0944076282431599,0.23007425621804128
crag_57_TILE_16,0.3799275521263117,0.09331386505892451,0.23752692283580165
crag_57_TILE_19,0.38511347422516723,0.08206647641373123,0.1958034654353013
crag_57_TILE_34,0.36626054538460334,0.08321201694504632,0.21084590941265668
crag_57_TILE_35,0.3750189672094287,0.0789311709894602,0.2074237833671298
crag_45_TILE_10,0.40272216386201964,0.1206920168840467,0.3035871438844752
crag_45_TILE_14,0.40291148044329417,0.1071141179382059,0.2422064007306462
crag_45_TILE_28,0.40822956264616056,0.128408933890869,0.31554288527559354
crag_12_TILE_26,0.4138882489830524,0.10399247176000978,0.2554531477614363
crag_12_TILE_31,0.400350129489996,0.1575292327535646,0.37534048236404177
crag_47_TILE_8,0.38210658641941037,0.21208484260823554,0.513451316506344
crag_47_TILE_11,0.36942378831115746,0.2116875171320841,0.5382821958323696
crag_47_TILE_19,0.37624565451079184,0.20580834957078412,0.48238984839625876
crag_47_TILE_22,0.37418741206421874,0.2179503897811416,0.5048097651264379
crag_63_TILE_2,0.4223265843016719,0.002029168156196598,0.004870159278672634
crag_63_TILE_10,0.4318317719306688,0.02498374461847121,0.06715522959904036
crag_63_TILE_16,0.42288696522891567,0.07539913633450418,0.207348059160336
crag_63_TILE_17,0.4132860263719968,0.10538053715769363,0.26398078571518613
crag_29_TILE_0,0.3988000928272648,0.12044115675072746,0.2855354397694549
crag_29_TILE_9,0.40294640586686276,0.1170868217803095,0.2770100864241024
crag_29_TILE_10,0.4073203043619573,0.11353866658664348,0.2830479313962113
crag_29_TILE_17,0.41902373558445544,0.11005196697084621,0.2722006303002871
crag_29_TILE_20,0.39891620354248025,0.13429519021259348,0.31835290104290886
crag_29_TILE_22,0.39799713207090964,0.09242352668041993,0.24672088420500324
crag_29_TILE_26,0.4051382577829682,0.14308252336530677,0.331603950118643
crag_48_TILE_9,0.4168862049193043,0.11696663345032059,0.2921661451071527
crag_48_TILE_25,0.4111198951354445,0.14822290905175606,0.3831953767010525
crag_48_TILE_29,0.41231934372277523,0.13912749796618,0.34084971555342014
crag_22_TILE_1,0.41609289591328935,0.11280816411655013,0.2691751765542414
crag_22_TILE_10,0.4103813174766835,0.11323623863936241,0.28418355606202644
crag_22_TILE_16,0.40734851445609344,0.13140859040502992,0.3255895065100697
crag_35_TILE_13,0.41121194586865795,0.15055034024369618,0.33640127242648726
crag_31_TILE_9,0.4106453519341223,0.13219602875388867,0.31369382293379516
crag_30_TILE_5,0.3989105810092729,0.13595980625958345,0.3407016625363993
crag_30_TILE_15,0.38411824701360986,0.21844593731895454,0.49527447802777336
crag_30_TILE_27,0.3892922875581254,0.15293729342222104,0.36930818755030437
crag_30_TILE_33,0.41840569763605173,0.04039134559999252,0.09495651401414239
crag_30_TILE_35,0.3974453673405557,0.06348508959040167,0.15982018988439198
crag_51_TILE_0,0.41508483380519023,0.10880684977504271,0.26260639293413546
crag_51_TILE_3,0.40802372036751977,0.13623903990713385,0.3268193741245726
crag_21_TILE_16,0.3845628588035087,0.20971955280422627,0.5007621928094373
crag_21_TILE_23,0.3920181114738234,0.19887947849094678,0.4680265829780395
crag_21_TILE_30,0.39433330577782855,0.18735490125096788,0.4506013642227945
crag_21_TILE_33,0.399554648836596,0.17909489464128353,0.44049887216962286
crag_16_TILE_2,0.417068590047773,0.1158423163962548,0.284292291590765
crag_16_TILE_16,0.4193859151454784,0.12700455977980457,0.3147811161248067
crag_16_TILE_20,0.4196279333636433,0.1426569340448123,0.3423325886082677
crag_16_TILE_30,0.4207699533515359,0.1290286035567376,0.3019658470405007
crag_41_TILE_12,0.4016804913026669,0.11287059202988525,0.2860539765720717
crag_41_TILE_25,0.40500051633658063,0.11460538348780724,0.2810152492825255
crag_41_TILE_34,0.3979348377262838,0.10363272637710083,0.23590366278493027
crag_40_TILE_14,0.41307995848475587,0.11900442492869039,0.2802971758188629
crag_40_TILE_15,0.402900518877849,0.11855592721640452,0.3065211894179661
crag_40_TILE_21,0.4116309344715475,0.11966785993098532,0.30044895021059503
crag_40_TILE_26,0.40476413276049,0.13555244496631805,0.3427420468962903
crag_46_TILE_2,0.40962938237344887,0.1571124704549651,0.3940770337966977
crag_46_TILE_16,0.41026991049314926,0.1536296755796278,0.36102954451675134
crag_46_TILE_22,0.39919511954300707,0.19664185197660922,0.47287386894474603
crag_46_TILE_24,0.3944065262756544,0.23215392649536842,0.5433399055966533
