,moran,entropy,eds
glas_2_TILE_0,0.3786418335985078,0.1945636753224837,0.4721162567398032
glas_2_TILE_1,0.38331089425250725,0.18979765509443958,0.4517043760808019
glas_2_TILE_2,0.3874009693360986,0.18565563592836473,0.45585847510492084
glas_2_TILE_4,0.38420376471941736,0.16768594355097347,0.42834546256266504
glas_2_TILE_5,0.3838746014434016,0.17754550995886648,0.4451543434836943
glas_2_TILE_6,0.38444748656362493,0.1869607872032971,0.4632854018934894
glas_6_TILE_0,0.38884502853306685,0.0908876909283437,0.23437891746155753
glas_6_TILE_1,0.3736006146350196,0.08214632666506652,0.1982508347624649
glas_6_TILE_2,0.3718510766311822,0.10360810747171591,0.254007918806128
glas_6_TILE_4,0.38280890930096384,0.10434789752734117,0.264104668302354
glas_6_TILE_5,0.3861941650255716,0.12407798709655607,0.3245223319126435
glas_6_TILE_6,0.37556495963739733,0.1276184560544827,0.3235745189575816
glas_21_TILE_0,0.3733886653669019,0.1268311630525572,0.3291764776664681
glas_21_TILE_1,0.3732020705487309,0.1327437732936243,0.33696171943620873
glas_21_TILE_2,0.38444721920246383,0.14275686750596148,0.3585849815203218
glas_21_TILE_4,0.37821541668797665,0.13101172586937462,0.32709610727632965
glas_21_TILE_5,0.3762003645781858,0.13224659932679292,0.32542882130214257
glas_21_TILE_6,0.38818422984566303,0.1575925165908351,0.399968573649009
glas_24_TILE_0,0.384957313067098,0.13134476350334176,0.3427608759236153
glas_24_TILE_1,0.3805208568973565,0.14906948835349695,0.38463870481484147
glas_24_TILE_3,0.3853886330532014,0.13161317602664818,0.35702844375482834
glas_24_TILE_4,0.38150623766721914,0.16314236507269042,0.4216008981307309
glas_50_TILE_0,0.3933193917414955,0.1224088200658415,0.30182648161296244
glas_50_TILE_1,0.3953822321821189,0.118694996996384,0.3001596642691356
glas_50_TILE_3,0.39196159889933607,0.09735291608957582,0.23063401157642152
glas_50_TILE_4,0.39669055853288826,0.12205430959696949,0.2850497713486352
glas_32_TILE_0,0.3824339284542171,0.20269605371773275,0.5012716627522633
glas_32_TILE_1,0.38026600024480106,0.20929644312889198,0.5200380301687046
glas_32_TILE_2,0.38254187188681055,0.2055772387525118,0.5041884211726458
glas_32_TILE_4,0.3793352643223097,0.23734841317432345,0.5541657363094791
glas_32_TILE_5,0.3787009123708595,0.19750261789838425,0.5001750208767995
glas_32_TILE_6,0.3827357422614461,0.19447784317666586,0.4863072418040629
glas_34_TILE_0,0.3900152378092595,0.13065843182321737,0.3052298155490755
glas_34_TILE_1,0.3961129551014488,0.13847333099858355,0.33749430969235966
glas_34_TILE_2,0.39037370736700655,0.12131219367748836,0.29746893409515707
glas_34_TILE_4,0.3933763616059398,0.14857799525994464,0.36884078566427037
glas_34_TILE_5,0.3924756150751669,0.09471146345815695,0.23191829629815233
glas_34_TILE_6,0.4011735777462759,0.11943560854712049,0.29418498115962416
glas_41_TILE_0,0.3822834901247425,0.11147014278962013,0.2846144078414641
glas_41_TILE_1,0.3836873862553469,0.12347731321520627,0.3077664578472782
glas_41_TILE_2,0.3883741388561708,0.1028485150423772,0.2589118818390743
glas_41_TILE_4,0.3854693221554984,0.12181474233280017,0.3203089596161016
glas_41_TILE_5,0.39472901280763345,0.12795845411792706,0.33487671388721324
glas_41_TILE_6,0.40097384881680326,0.1044092699568957,0.2628479636222702
glas_55_TILE_0,0.40689513394039434,0.11326918051205678,0.2922798239566398
glas_55_TILE_1,0.3947208054368407,0.09848324768807454,0.24776421181767908
glas_55_TILE_2,0.39572916783739887,0.09072751352558582,0.2143782381122064
glas_55_TILE_4,0.3924845010345224,0.08952260818574452,0.21251295225608272
glas_55_TILE_5,0.38740155556772876,0.08334194715286765,0.20851672211359665
glas_55_TILE_6,0.41503774144289324,0.11406204442438567,0.3163233442929614
glas_22_TILE_0,0.3816140759876612,0.16700444450978602,0.4323441286549783
glas_22_TILE_1,0.38356409676244185,0.1855276200057482,0.4511387779745149
glas_22_TILE_2,0.39062967256120723,0.18237698757551515,0.4503590860290952
glas_22_TILE_4,0.3703408404469657,0.1581669364245497,0.4195650167811688
glas_22_TILE_5,0.3763047366579156,0.17271106675318487,0.4349711951390598
glas_22_TILE_6,0.3845323080224866,0.17353127876312566,0.43014364797065163
glas_15_TILE_0,0.37874956588943276,0.12249382619450276,0.2983645747166529
glas_15_TILE_1,0.3961525529333213,0.17326759537099903,0.4422268239864639
glas_15_TILE_2,0.38170306202995985,0.13799073944078571,0.33993175847077317
glas_15_TILE_4,0.3853501843455485,0.10611554184820512,0.2691558866994811
glas_15_TILE_5,0.40018320900688437,0.12459541370455555,0.30473189825256186
glas_15_TILE_6,0.381819818958892,0.16296197252495062,0.4105383088007731
glas_35_TILE_0,0.3837003186497038,0.21767113145090017,0.5172439458845238
glas_35_TILE_1,0.38124145058062886,0.19942795961607662,0.4861731222082628
glas_35_TILE_2,0.3878812019590548,0.15248927724982583,0.39891418595686523
glas_35_TILE_4,0.38144752768219625,0.25901720293531294,0.6005477396795716
glas_35_TILE_5,0.3755831809218532,0.2031468319289067,0.5015753389942654
glas_35_TILE_6,0.3798020410352306,0.22178656164910607,0.524022657518967
glas_39_TILE_0,0.367594591501244,0.09432197780585021,0.2291615615515442
glas_39_TILE_1,0.3683983017874272,0.09361093136560536,0.24244213153623986
glas_39_TILE_3,0.37286979453997515,0.07836605927222136,0.20230235487348341
glas_39_TILE_4,0.3862329609617728,0.15005409751284796,0.39429785968982467
glas_43_TILE_0,0.3794176054471555,0.23968165131905728,0.5491859742359022
glas_43_TILE_1,0.3899822928503005,0.21891406020959966,0.5237944070243336
glas_43_TILE_2,0.3984211641492457,0.2284510496203972,0.5513401131554075
glas_43_TILE_4,0.3893980948500434,0.2008273141406489,0.5080710315319312
glas_43_TILE_5,0.40865321570338564,0.04941791371735844,0.15084064057772453
glas_43_TILE_6,0.4168159447901147,0.0218834569909265,0.01850271342202732
glas_48_TILE_0,0.38512456187838656,0.08528378748774026,0.20876408101411817
glas_48_TILE_1,0.37771204798250957,0.12313166342612339,0.3198608808368441
glas_48_TILE_2,0.38102277913324883,0.11183997014295548,0.28581847380709813
glas_48_TILE_4,0.38324132705243585,0.07547029879287738,0.18286959938222355
glas_48_TILE_5,0.38387083480506556,0.10529887690427094,0.2384952035226656
glas_48_TILE_6,0.3801661320618211,0.10874793589886983,0.26632673085269165
glas_49_TILE_0,0.3924165148494137,0.22304840778541538,0.533790815015508
glas_49_TILE_1,0.38584737659455826,0.219347488533131,0.5247174480969339
glas_49_TILE_2,0.3825498061707913,0.23078795102142022,0.5352879437774352
glas_49_TILE_4,0.3839402378832504,0.1438484744056169,0.37705285756583556
glas_49_TILE_5,0.38246568059439456,0.18090954262146172,0.47487552616637346
glas_49_TILE_6,0.3863322868219698,0.18887575521212954,0.46444480325518706
glas_23_TILE_0,0.3732098736324012,0.08021387431207849,0.1911941708956112
glas_23_TILE_1,0.38478058164819706,0.15320993470020677,0.39906791331531616
glas_23_TILE_2,0.3881777516513036,0.09943700957706703,0.242264806601767
glas_23_TILE_4,0.3860033566147313,0.11370482969403113,0.2859796545776267
glas_23_TILE_5,0.3849335636226822,0.14561730580329105,0.3775487391211377
glas_23_TILE_6,0.39144419744806985,0.12492285684420742,0.3078270068501007
glas_45_TILE_0,0.3753199804449056,0.21452657181493534,0.5096075221020032
glas_45_TILE_1,0.37922876174031506,0.21965134804818304,0.5220240819838687
glas_45_TILE_2,0.38622481822589494,0.18949414370534987,0.4828535512194342
glas_45_TILE_4,0.3757699142738209,0.20304560271788996,0.4793354190186462
glas_45_TILE_5,0.37786770458171354,0.2252475378073586,0.5291374360063181
glas_45_TILE_6,0.3904843925238372,0.18121579350834094,0.44849238537474845
glas_40_TILE_0,0.3920058904345288,0.11119410367227045,0.2690129855142476
glas_40_TILE_1,0.3794425606067003,0.19454803997167097,0.4699861599193863
glas_40_TILE_2,0.3818069888393159,0.21166260160274994,0.5198406264183068
glas_40_TILE_4,0.381021631587067,0.2066256976187482,0.5020020008747791
glas_40_TILE_5,0.3806665327105204,0.21009450338757488,0.5084865151440436
glas_40_TILE_6,0.37709846609615855,0.22224946996317194,0.5271162258188835
glas_16_TILE_0,0.3875993652516378,0.11544474569562782,0.28574250093070547
glas_16_TILE_1,0.38759394343233977,0.12719622015482535,0.3279778477995184
glas_16_TILE_3,0.3912984248738943,0.12489087842812971,0.3415668583448672
glas_16_TILE_4,0.37792702039666837,0.12920870256566286,0.3377911199841705
glas_53_TILE_0,0.38231582931043995,0.11038524982231623,0.268655728490637
glas_53_TILE_1,0.3920443953156189,0.11245854339127931,0.2806269729444658
glas_53_TILE_2,0.37272003687140426,0.1135528163221678,0.27201380091934874
glas_53_TILE_4,0.386183680826996,0.11566325615334216,0.29209996307671765
glas_53_TILE_5,0.39306524077878896,0.12117717884199534,0.2969506708795338
glas_53_TILE_6,0.38636188951121586,0.15493080565605288,0.39683657397469035
glas_12_TILE_0,0.3692015433933064,0.18718667464168612,0.482778375000411
glas_12_TILE_1,0.37497073488176547,0.17803242284491325,0.48389387398072836
glas_12_TILE_2,0.36199579912864,0.18751001287381736,0.5243437666711878
glas_12_TILE_4,0.36691718999545175,0.1958299268244128,0.4600710632507602
glas_12_TILE_5,0.3696000876910694,0.1644498540201043,0.3956742228634641
glas_12_TILE_6,0.37639625694196865,0.19177282160196538,0.480491705618558
glas_56_TILE_0,0.3791544103962237,0.10706067395881574,0.2818834851839016
glas_56_TILE_1,0.37893688848439644,0.1372721421781335,0.34512163655039574
glas_56_TILE_2,0.3846701808439086,0.16041611614148127,0.4097694564527603
glas_56_TILE_4,0.3838160562075022,0.11797167722342673,0.28929499113828744
glas_56_TILE_5,0.3768893409194868,0.1558714322193806,0.40157244956819294
glas_56_TILE_6,0.38387272550215235,0.17323934880547662,0.43756675041434423
glas_3_TILE_0,0.3949741890460095,0.17643845673765784,0.44582927802255606
glas_3_TILE_1,0.38769836384831285,0.1590559754387458,0.39061382620563967
glas_3_TILE_2,0.3868042512828628,0.1511475302748296,0.3889580374271485
glas_3_TILE_4,0.39032263407078394,0.16944774891979958,0.42969841149387444
glas_3_TILE_5,0.40891735509391286,0.19577012671694158,0.4843053059342635
glas_3_TILE_6,0.37969626668589257,0.1441019714445118,0.35963457173230856
glas_26_TILE_0,0.38789905202160846,0.11782287754135275,0.30034316945954215
glas_26_TILE_1,0.3813500173344595,0.12328047921215013,0.3137886311949811
glas_26_TILE_2,0.38346739192227025,0.11335503473246203,0.27613867930241714
glas_26_TILE_4,0.3869772797835693,0.12650897576402967,0.32842326368401303
glas_26_TILE_5,0.37649255812714255,0.1288345234756435,0.3264034544437156
glas_26_TILE_6,0.38547014819076636,0.1333758166377451,0.34292295403596373
glas_11_TILE_0,0.37826671987612726,0.17986866627170847,0.4540012864752951
glas_11_TILE_1,0.38030971981581874,0.1717353534352595,0.42961011305950736
glas_11_TILE_2,0.3764386824232672,0.19421834846186384,0.48458898022203195
glas_11_TILE_4,0.37961911996971764,0.20355267587209508,0.49453609738453785
glas_11_TILE_5,0.3856368659020879,0.19025296527637386,0.469206253291603
glas_11_TILE_6,0.38031517701282325,0.20892203393096068,0.5105159372667556
glas_14_TILE_0,0.383338053166147,0.18537521225138473,0.4550545763736049
glas_14_TILE_1,0.3942197005370326,0.19555287027147103,0.49430224652782523
glas_14_TILE_2,0.39120551131714415,0.19959995398811206,0.49740658433584234
glas_14_TILE_4,0.37891821487912397,0.20268805882246793,0.4849161420595907
glas_14_TILE_5,0.39759525263948253,0.22638679796923583,0.5460218320293867
glas_14_TILE_6,0.39748787155004,0.1355578672704615,0.3592857752194113
glas_10_TILE_0,0.3918211471545408,0.14871304189978743,0.4050205383669965
glas_10_TILE_1,0.3871851770980785,0.10563668526686988,0.2726422711744497
glas_10_TILE_2,0.3889231137850896,0.11177627810077799,0.2837968172034425
glas_10_TILE_4,0.3786937820743428,0.12875278357504946,0.32777840842644657
glas_10_TILE_5,0.3883593683513981,0.10715822411266104,0.26852814995666496
glas_10_TILE_6,0.382189568381553,0.11366623215575711,0.2935852123428638
glas_37_TILE_0,0.38220641888417156,0.10857364030643243,0.27705777990229286
glas_37_TILE_1,0.3872650191912798,0.16413449191865995,0.41958866344618034
glas_37_TILE_2,0.3947228439555372,0.15771183263012045,0.40427634290954556
glas_37_TILE_4,0.3772977025412938,0.10511923928834882,0.2638265173989419
glas_37_TILE_5,0.39170199000344014,0.16357219520386115,0.43062017027866156
glas_37_TILE_6,0.38675268344057595,0.1394630132128596,0.34502111653249784
