,moran,entropy,eds
2023-05-25_0109,0.42762667948425187,0.12628512777304748,0.28934815119836993
2023-05-25_0114,0.4058132417023412,0.22397831632060797,0.43028726580068805
2023-05-25_0170,0.42307748088886715,0.15820377112707665,0.3352082484978739
2023-05-25_0183,0.3965397201716307,0.25065638833600706,0.4459059923686109
2023-05-25_0402,0.39457899424977083,0.2422480625156691,0.5044699927558822
2023-05-25_0406,0.36403282515981633,0.40576437101837587,0.7298496603024522
2023-05-25_0473,0.4004308449627684,0.23121452017433833,0.48730898405778017
2023-05-25_0476,0.3754333668952229,0.32981214277592374,0.6184376432694485
2023-05-25_0681,0.38420262538054956,0.32069036356482583,0.60863838880493
2023-05-25_0685,0.36096161239766134,0.39572121212776906,0.7200104689560416
2023-05-25_0750,0.400800320647367,0.25975683799409266,0.5115184498402177
2023-05-25_0786,0.355882844587485,0.412128847665344,0.742633011077645
2023-05-25_0966,0.35411390815787036,0.3834296399495852,0.681919677113985
2023-05-25_0969,0.3932596158807254,0.2815064584782183,0.5261879764308609
2023-05-25_1051,0.3614992507559061,0.3756307586632972,0.6979916105917735
2023-05-25_1055,0.4105047040269441,0.19327312998677312,0.40337029634953286
2023-05-30_0039,0.409340964509824,0.2924806344125506,0.5833822404076148
2023-05-30_0044,0.4028157463506824,0.27329409019386036,0.5328125198432259
2023-05-30_0099,0.4157389497777366,0.22106487835653463,0.4926280782259846
2023-05-30_0114,0.4175648374419319,0.20825775589254472,0.4522536199662049
2023-05-30_0370,0.418063232775906,0.23770832484307342,0.5227456057027172
2023-05-30_0374,0.3974181494590204,0.2984143054755019,0.6016862038362799
2023-05-30_0442,0.38603823697449274,0.3735683305730433,0.7057404752473718
2023-05-30_0445,0.3852047210480154,0.37488255124431796,0.7196255742370555
2023-05-30_0649,0.3905824250109927,0.3511132396955132,0.6934330799451522
2023-05-30_0652,0.3879408550859005,0.3786187073620529,0.7119341257972229
2023-05-30_0720,0.3867532566064942,0.37078361452273545,0.6758164162089214
2023-05-30_0750,0.3822269572651543,0.3696349189550739,0.7100966580099327
2023-05-30_0912,0.3759083148763343,0.3849522346750418,0.7141728104233426
2023-05-30_0915,0.37736317559738236,0.36493655622142296,0.686857200471234
2023-05-30_1030,0.3826207620694202,0.3274397428388755,0.6251770620777143
2023-05-30_1034,0.3937894816881056,0.28133864529594615,0.5958503973243013
2023-06-06_0161,0.35850088618246656,0.4453146620985276,0.7929246264067936
2023-06-06_0166,0.37246049351253674,0.35315214177052845,0.6970358072445577
2023-06-06_0176,0.3675724608505311,0.4145293483186526,0.7862868551756167
2023-06-06_0231,0.3585211051526439,0.4571160578708163,0.8067291298678015
2023-06-06_0391,0.3647429995255399,0.45354026247774004,0.8100958758085646
2023-06-06_0395,0.35813128226983393,0.4903694588095704,0.8441306436250763
2023-06-06_0460,0.35697114340168945,0.4904043563416662,0.8521654287265039
2023-06-06_0463,0.3568052746730556,0.48858662023088884,0.8438771221072506
2023-06-06_0667,0.3726813315407407,0.4435768807340396,0.8064308123511923
2023-06-06_0670,0.35759266966508085,0.5062232219922915,0.8577195984314793
2023-06-06_0736,0.3632884529866118,0.4717968913235268,0.8253137903076435
2023-06-06_0770,0.3570039647734258,0.4975903611340679,0.8402355992380502
2023-06-06_0953,0.3480290894129612,0.5138883432617007,0.864217718450721
2023-06-06_0956,0.3542680510885986,0.48240903431849774,0.8304082986075131
2023-06-06_1039,0.35269543576260765,0.4858913264942569,0.8319951835905902
2023-06-06_1043,0.35690588516050303,0.48656525563584957,0.8422612546081553
2023-06-15_0169,0.3709264250597557,0.3997430143738502,0.7820767354813627
2023-06-15_0462,0.4222945582545882,0.28083336663083347,0.6747607735165956
2023-06-15_0735,0.42363926230533255,0.2450722424357355,0.5920266266913454
2023-06-15_0956,0.3971702516385484,0.38266104882377583,0.7583348842645682
