,moran,entropy,eds
ave-0000-0005,0.44684201916180183,0.018736029074810874,0.07454028315594062
ave-0007-0007,0.4148549280219577,0.2015906236913603,0.4884909682937195
ave-0035-0006,0.4213234550846284,0.22124136994623111,0.5821756952481015
ave-0035-0009,0.4259945798392924,0.22853169209115573,0.5896041046284471
ave-0035-0011,0.4263544081480182,0.22114860299581185,0.5770162376831452
ave-0035-0012,0.42942232093636645,0.2253450231822252,0.5664620066546385
ave-0035-0019,0.43070383672177065,0.21053650672515276,0.5608853342070553
ave-0037-0009,0.4348638997217301,0.1659658882740731,0.4367298321886099
ave-0037-0010,0.4248202254057796,0.22213168181075812,0.5685506953848766
ave-0037-0011,0.43678802260437805,0.1624370116933932,0.4438009238866649
ave-0037-0012,0.42044395130853773,0.2188306843803416,0.5634326161080387
ave-0037-0014,0.4232308970042204,0.20110845339906563,0.5069887143162992
ave-0037-0015,0.4308911231834368,0.20158199154716708,0.5144131726128082
ave-0037-0017,0.4196368265618912,0.21151594246358713,0.5427278343056366
ave-0037-0020,0.43249933714883115,0.18566137047280937,0.48285251917316047
ave-0037-0024,0.44096489863439364,0.14645826090352831,0.40433113695249717
ave-0040-0001,0.4507824500044502,0.04156877533257346,0.16326402331908876
ave-0040-0010,0.4531978604801321,0.060011821457929486,0.220154085329862
ave-0040-0015,0.4477154388748419,0.08245175826737587,0.25334007353475324
ave-0041-0003,0.433620928993146,0.21622100233543573,0.5402611493573206
ave-0041-0012,0.45440022352964365,0.05515036948209992,0.18621200243190192
ave-0042-0002,0.4493659044235117,0.0876054721931009,0.2624443249158087
ave-0045-0007,0.4026391253308187,0.23712566149704165,0.543392027977975
ave-0047-0002,0.41326430084087223,0.22380878863076198,0.547458200915532
ave-0047-0003,0.414518314589517,0.1979346295227443,0.5148487735406532
ave-0047-0005,0.4091624505189018,0.20468023079904915,0.5063300822628161
ave-0047-0008,0.41382331561861757,0.2650842256859449,0.6146389165680526
ave-0047-0009,0.422506462392546,0.19456350802886496,0.4672304258293469
ave-0047-0010,0.405807260587863,0.2933979899576044,0.6524890692933896
ave-0048-0004,0.41798447176764625,0.2494234108000539,0.6334868459787221
ave-0048-0022,0.4217672749506474,0.2479547273890333,0.6423677807186758
ave-0049-0002,0.4118556240279752,0.21012667835908522,0.5584923255245261
ave-0049-0004,0.4156951859703606,0.21529641582828782,0.5816446940037833
ave-0049-0009,0.4259648802128469,0.1986295518268464,0.5485537039739169
ave-0049-0011,0.4188766057516304,0.20204479544393858,0.5402197520282639
ave-0049-0014,0.4113998627334147,0.21672125547691237,0.5679459699194318
ave-0049-0018,0.4125847913864732,0.207264823075856,0.5459386806648554
ave-0050-0004,0.4202170613428576,0.1649779097954577,0.4216674583813356
ave-0050-0006,0.4317925850396849,0.16329821659170793,0.44325375209191925
ave-0050-0007,0.4305018140615089,0.11199663063386132,0.3067431286145194
ave-0050-0014,0.41081256358474844,0.14720819334967047,0.35632521805717177
ave-0050-0015,0.43169633913390804,0.17212724067069501,0.44608636495105747
ave-0051-0005,0.41020122787038715,0.18435479645018218,0.4588891141788691
ave-0051-0008,0.42339725197191724,0.15314715890857808,0.4006752918291996
ave-0053-0002,0.41716959910212936,0.21598951198144425,0.533244348980819
ave-0053-0006,0.42808145901857336,0.2285893691309489,0.5443604429570051
ave-0057-0001,0.4444835422031824,0.06434139829228684,0.19568880321393833
ave-0057-0002,0.4357974829068536,0.13835818574539316,0.3947647882577587
ave-0057-0012,0.4233909551743375,0.2066036377742655,0.48421193875094887
ave-0057-0017,0.43845729048572457,0.16055818224399712,0.3933277153268241
ave-0057-0018,0.43760735792468297,0.19529108561187644,0.4294375918897231
ave-0058-0010,0.44621036239900014,0.07547484322497738,0.20315126853510107
ave-0059-0017,0.448920614117358,0.02371109969900212,0.0768924699733216
ave-0062-0001,0.4480704441520667,0.0,0.0
ave-0063-0011,0.41987589404392145,0.18187691949993862,0.4604714995077815
ave-0063-0014,0.42087379039435163,0.2360439487317533,0.5810487916687455
ave-0063-0020,0.41415351985742266,0.20842836499487782,0.48552506554801134
ave-0065-0011,0.4180316920783458,0.1942415768617707,0.43069066264703965
ave-0065-0014,0.4191201815280072,0.22817039176325374,0.5685163680406525
ave-0067-0004,0.4304975481699283,0.09017612409230047,0.23854686342629805
ave-0067-0008,0.4397343632025692,0.18785714884268495,0.5109902341761395
ave-0067-0010,0.4362303780048705,0.1444601370378897,0.43238189533368115
ave-0067-0011,0.44693245176810453,0.20137486594325701,0.5095542176792481
ave-0067-0013,0.43382599444468967,0.1780152583277751,0.4410730112222822
ave-0067-0014,0.4443923508772102,0.17785984478026032,0.4782971021079928
ave-0067-0015,0.44656168341971303,0.12873523875871662,0.34977870471215566
ave-0067-0016,0.4403936954188211,0.2116625089008055,0.5729588714100303
ave-0067-0017,0.42918058330853215,0.14144343223116312,0.36681856597095736
ave-0067-0019,0.4481505422809119,0.12028806973298496,0.32729039802111953
ave-0067-0021,0.4467284576004473,0.08527869814761899,0.24500744861090817
ave-0068-0001,0.4159879855251679,0.23310176292918228,0.5757423373295046
ave-0069-0001,0.4438646558912437,0.002644672273930492,0.014001677628295087
ave-0069-0002,0.4454572727198636,0.0,0.009643921141874635
ave-0069-0004,0.4449601194429162,0.004239958550945976,0.019336037391670804
ave-0069-0007,0.446139676283203,0.012769965539760817,0.0555379833354262
ave-0069-0009,0.44453287338375785,0.0,0.010144795324738195
ave-0069-0015,0.44413877969053817,0.026331671448763673,0.07577304229699554
ave-0069-0016,0.4487461526651894,0.011015576159657346,0.036396195523977874
ave-0072-0011,0.4525642680479037,0.0278362493945334,0.11203769170871253
ave-0072-0019,0.44982598762684556,0.08485557020642748,0.24658233857716633
ave-0072-0020,0.4336073138409365,0.11961400688812125,0.3243176291370186
ave-0075-0002,0.45046901616315854,0.003602219651716762,0.01731685898016859
ave-0075-0005,0.45126481713229294,0.028862546691079582,0.09176365428061772
ave-0075-0006,0.45466328362384995,0.011291601867177994,0.054644734481710776
ave-0075-0015,0.4495663634280261,0.09633321244370179,0.24658338917925035
ave-0076-0002,0.45271626629096584,0.07317934546932696,0.22404243787984507
ave-0076-0010,0.45612173789147814,0.09415089506635133,0.27109815915372504
ave-0076-0020,0.4520559654036063,0.045274859361024454,0.18696452404407546
ave-0078-0003,0.44102493200206044,0.1162867985969828,0.34312271353109064
ave-0079-0002,0.43079135583526024,0.1801387691931124,0.454293956627071
ave-0080-0007,0.4524796232345076,0.05417798787144294,0.15543578380240328
ave-0080-0009,0.4482071246984563,0.1037529016771122,0.26629405520451466
ave-0080-0018,0.4507949188418278,0.009219518514645373,0.05363270459741469
ave-0081-0008,0.42501484716044113,0.23827816935185825,0.6119345715430453
ave-0081-0010,0.4252899953930015,0.20105006296484118,0.5200235093095652
ave-0081-0015,0.42452263526759804,0.2311799114404824,0.6034047490661661
ave-0083-0001,0.44714361304828404,0.15596085917497998,0.42941964850622844
ave-0083-0002,0.42839329966776873,0.17679635814439326,0.47515261856349067
ave-0083-0009,0.43091348449515404,0.16316444133382052,0.4343087801742095
ave-0083-0016,0.44543186466999485,0.1512367740363886,0.4046218671535317
ave-0083-0019,0.44261865700310055,0.1265381688223545,0.3342868752011803
ave-0083-0020,0.4403070110759132,0.16079683334690803,0.44045723187506053
ave-0083-0021,0.4584269937961296,0.09219511999996266,0.314447546665687
ave-0083-0030,0.4337550110827907,0.1710418952064032,0.4629957609633242
ave-0084-0021,0.45321534240458566,0.010579145390942683,0.04407495740556042
ave-0092-0008,0.44473233849143995,0.1533538980267808,0.45516997676423404
ave-0097-0007,0.42953347928771124,0.21957291969707396,0.5733792324417285
ave-0103-0004,0.4547926171019877,0.11928640197710401,0.2640294369221088
ave-0105-0018,0.4552510063025934,0.07518357363359088,0.19282357062267563
ave-0105-0022,0.45873679717181254,0.09486352620535515,0.19528844604629447
ave-0108-0005,0.4437296423018588,0.04849399700582306,0.09600899164535896
ave-0109-0002,0.444131681889019,0.07136194017080275,0.18809323159184993
ave-0109-0008,0.44365137776503255,0.05014708097541268,0.12112902942661168
ave-0109-0015,0.44982365435658295,0.08813483918728954,0.22002454882298936
ave-0109-0020,0.45482033662956023,0.11144804096407475,0.25416068599625424
ave-0109-0021,0.45121628148348397,0.0792540278411982,0.17536954817651926
ave-0109-0023,0.44821839771284944,0.06334301024101494,0.12079314584517527
ave-0109-0024,0.4464894149322998,0.07868323930498779,0.16432991347689452
ave-0109-0025,0.4471126088129672,0.06762446747217192,0.12028110639262511
ave-0110-0003,0.4481734724981404,0.10273966450538655,0.2749445973850008
ave-0110-0004,0.44397656605743957,0.11332289566173742,0.30641619866927405
ave-0110-0005,0.4528943192650969,0.11888547838081678,0.2965064013462422
ave-0110-0008,0.45316057316480024,0.12937579083092396,0.3244287194688436
ave-0110-0010,0.4526184358472963,0.11706136372451137,0.3058913427395307
ave-0110-0019,0.45639167551240334,0.12070549165104247,0.2878125301801064
ave-0111-0009,0.44806964202965693,0.08032008229048562,0.21847076683463026
ave-0111-0010,0.4514579671596138,0.10900596910888093,0.2958914570824017
ave-0112-0007,0.4568069848976273,0.11584954912416508,0.262214174124913
ave-0112-0010,0.44813261728001547,0.15166108557847519,0.3948954903897276
ave-0112-0025,0.4566547642174709,0.11966815247669363,0.2866433575373621
ave-0117-0010,0.4469095933234752,0.13045706142870356,0.29465621932020974
ave-0117-0012,0.44390475160112225,0.12059954762741308,0.2594774105711807
ave-0117-0013,0.44725663031690804,0.12434523697760748,0.36765234022129784
ave-0117-0018,0.45535597532681066,0.14465621909306556,0.4366335012653907
ave-0117-0019,0.45803773470403075,0.15239235678729335,0.4490436769441352
ave-0118-0001,0.4450720046782554,0.081475547310268,0.2555871217031281
ave-0118-0002,0.4321995329023068,0.1645117018145179,0.40189400053681434
ave-0118-0005,0.4361254493477177,0.11412547495813485,0.3182358476185442
ave-0118-0006,0.4443699329559354,0.09984757637795304,0.2987437404111919
ave-0118-0007,0.44700126823176795,0.1017068845974942,0.30214600745660497
ave-0118-0008,0.4272792660178006,0.11977964930374242,0.33866705169716405
ave-0118-0010,0.42884325687284547,0.1301599054993865,0.3772226096656584
ave-0118-0011,0.4370967652513246,0.11335012588394135,0.32173760618412106
ave-0118-0012,0.43694008213584773,0.08417757544895633,0.2326437963034846
ave-0118-0019,0.4244464404167809,0.1329147155186027,0.3767512543228262
ave-0118-0022,0.4317334625909673,0.15470495994942338,0.4210350610330653
ave-0118-0027,0.4462097356444916,0.11182856364907104,0.3079433448768147
ave-0118-0028,0.43982035654261575,0.11462791451876722,0.3267876073717581
ave-0118-0029,0.4353868106376662,0.12377556449772642,0.3709554128364982
ave-0118-0031,0.4375921341703203,0.1352696246644779,0.34734661816010304
ave-0118-0034,0.438820239692701,0.12793618842050172,0.36837551611737795
ave-0122-0003,0.43850956981396944,0.13692489022179882,0.3162226830644071
ave-0122-0005,0.4361349280979689,0.1430509385256183,0.33177418321502883
ave-0122-0016,0.42209451583453184,0.2091440050527952,0.5118759109129207
ave-0122-0017,0.4123478189598037,0.26210623216511186,0.5921306850491895
ave-0123-0018,0.4396297295243222,0.12990340028877334,0.35756161686169535
ave-0123-0020,0.44990313206298316,0.12033029809522143,0.32739560794644224
ave-0125-0006,0.4254874416930018,0.1027014937144358,0.24301939977512027
ave-0125-0007,0.430467117925824,0.1047325479400646,0.2392186988842473
ave-0125-0009,0.4382864189880986,0.1597073972707074,0.381151807698953
ave-0125-0010,0.4409762193705194,0.13204604733520134,0.31704509593448765
ave-0125-0012,0.4496800892364493,0.12631562891486284,0.3280674269668644
ave-0125-0016,0.43836447148103275,0.10320379261706514,0.22622995931568704
ave-0125-0017,0.43862546869970587,0.12273543404358114,0.2947218179331427
ave-0126-0003,0.4447984089999726,0.08963459755591048,0.23793992548661227
ave-0126-0007,0.45035679556595176,0.07920848951541377,0.22274634489895112
ave-0126-0009,0.44840762011028107,0.10078937177627387,0.2501063895078816
ave-0127-0002,0.4332562101596319,0.17583272970271704,0.3872207348998212
ave-0127-0009,0.4300103910071614,0.19020623437456527,0.43177221549505346
ave-0127-0011,0.437869087152836,0.17675513829973297,0.41540066217625643
ave-0127-0012,0.42405212079874655,0.1697534405325237,0.4078553035805959
ave-0127-0014,0.42382740320873,0.18651149576675963,0.43099160631467737
ave-0127-0020,0.4366314509026539,0.16598472290639607,0.3956974050825154
ave-0127-0023,0.4248934484566699,0.15775949408726436,0.38934789127778857
ave-0130-0005,0.4477242110615861,0.11085602216395533,0.27206361931235484
ave-0130-0009,0.4513521904612061,0.10106337560570068,0.26266019717276345
ave-0130-0016,0.45001714688618444,0.1456626160782875,0.37539145987135536
ave-0131-0004,0.4222886045140144,0.1691061177787303,0.3842100198073046
ave-0131-0008,0.4402104288975572,0.10237834120322625,0.25264145242964964
ave-0131-0014,0.433827129636804,0.13454506598755975,0.32012710635884817
ave-0131-0016,0.41838953432435483,0.19610741945713242,0.45195118742414936
ave-0132-0018,0.4425459213160088,0.1480212100793503,0.37123788830581983
ave-0134-0008,0.45304916978716747,0.15023637048780114,0.41252375226627447
ave-0134-0010,0.45382348779459436,0.14220643670635924,0.39375519291830546
ave-0139-0004,0.4344276192006366,0.10629527489947983,0.27174738229480827
ave-0139-0007,0.42693986317298793,0.14502378997059068,0.36953693335069515
ave-0139-0008,0.4229694617647118,0.18570963949016078,0.42582291258047544
ave-0139-0010,0.43791531445143067,0.13015238999201537,0.3065781508873826
ave-0139-0011,0.4236583047777181,0.1936519896271508,0.45757510168375454
ave-0139-0013,0.42085249188876855,0.20089359103221477,0.45621895838119453
ave-0139-0015,0.4244775681249169,0.18158943299713198,0.4111559951888771
ave-0139-0017,0.4182981945077028,0.19809365500374354,0.4483168974903845
ave-0140-0012,0.4442890101212541,0.1076882681172462,0.25139482726537876
ave-0140-0017,0.4331283428173326,0.10729480837150168,0.21807500086003964
ave-0140-0018,0.43695006816738313,0.09942757368902767,0.2392007124775567
ave-0144-0002,0.42884212761355944,0.27816629651513947,0.6336465958126364
ave-0146-0015,0.4420295798924291,0.21511596965505506,0.5756501333840275
ave-0147-0003,0.41429713432645904,0.27250333794198106,0.6338200079285348
ave-0147-0035,0.4089406491956367,0.23661196279966776,0.5783031267434191
ave-0148-0011,0.42502499416706024,0.22617775620369884,0.5202343099982552
ave-0149-0002,0.44254052128895116,0.15622535123205994,0.4376614887291606
ave-0149-0004,0.4525842535628176,0.12276956758573462,0.3620510139204176
ave-0149-0015,0.4239381128222709,0.2069138697000124,0.5033013240345704
ave-0149-0017,0.42386396391261116,0.21682378214771855,0.5083253579450251
ave-0150-0007,0.4219117758021874,0.20855521076285782,0.48849625262640284
ave-0150-0013,0.42539867509957957,0.2295308088355936,0.49198722803350187
ave-0151-0013,0.45559868208247883,0.12428923223469045,0.33928742526813516
ave-0152-0004,0.41456053238664153,0.1569416427757015,0.4122443886571331
ave-0152-0008,0.44870861169982323,0.09075738002606978,0.27959054983628806
ave-0152-0020,0.4328151397950367,0.15386643523033833,0.40920088649365904
ave-0153-0007,0.42651024887767547,0.12175196660602437,0.32400202746436224
ave-0153-0011,0.44940754655737614,0.12240914123850448,0.29134872689763225
ave-0153-0015,0.4442358546209702,0.13584072616625514,0.33881725402886903
ave-0153-0018,0.4364885510490375,0.1425259545059003,0.35680857532817284
ave-0154-0001,0.45293696319501725,0.15388682730543451,0.4458306287124474
ave-0154-0003,0.4355037538106661,0.07464922641179092,0.20321431502354043
ave-0154-0005,0.43504374027531956,0.07047780257933885,0.2052674918328512
ave-0157-0002,0.4236463362760497,0.2077643803795168,0.5350391006582301
ave-0157-0014,0.41974260898472004,0.1755968699815817,0.4464607328834264
ave-0157-0019,0.42224427805478887,0.20793224115043163,0.5091813827436159
ave-0157-0023,0.4319887772782874,0.20269689354520504,0.5042030876809278
ave-0157-0025,0.43093646003370867,0.1969262743159629,0.5280762370714337
ave-0159-0004,0.4325948827219927,0.18018615029091886,0.4238742991982907
ave-0159-0008,0.4460256389294368,0.08745446231000635,0.23858851409162518
ave-0161-0023,0.4201013179353018,0.2051918585125154,0.4680773901265666
ave-0168-0002,0.4293842671008503,0.1629153135776426,0.4311174529740435
ave-0168-0023,0.42513875551540464,0.22231767516577974,0.5723268800689942
ave-0168-0030,0.4227110969988662,0.2110099370881584,0.5267279207684987
ave-0176-0020,0.4196204832786372,0.19867900363379448,0.5180494338520242
