,moran,entropy,eds
2023-06-15_0472,0.4083897868001893,0.33957484748852257,0.7315601025025645
2023-06-15_0763,0.4183068039212391,0.31076247901598875,0.6899544562624612
2023-06-15_0157,0.3592897739832019,0.47476923066893195,0.8214442614454327
2023-06-15_1056,0.41069233744635464,0.33381240308237026,0.7380736555798809
2023-06-15_0454,0.4107181033446893,0.28712512923792255,0.6688385813782799
2023-06-15_0728,0.4016644804869723,0.35668406703341704,0.7427209520899151
2023-06-15_0996,0.40520104257689793,0.3250368742705577,0.7335319466975321
2023-06-06_0197,0.3527540061659329,0.488203237316815,0.8304203242376572
2023-06-06_0473,0.35320732547310546,0.5087457628397106,0.8635048614356763
2023-06-06_0760,0.3637122155812268,0.489617270531725,0.8428942984039434
2023-06-06_0188,0.3655315581309578,0.44292507962461286,0.7813510975370713
2023-06-06_1048,0.3545611358728961,0.4515302487359496,0.8099409792805753
2023-06-06_0455,0.3617451673036492,0.46506198615522687,0.8199968200830926
2023-06-06_0728,0.3600790094520815,0.48258470939940207,0.8318904789445897
2023-06-06_0989,0.35053112749257054,0.4781635114437246,0.855363755695718
2023-06-06_0267,0.34678214706985266,0.4864075538450402,0.8350310795848737
2023-06-06_0353,0.355892836905659,0.4722905031608853,0.822872398694385
2023-06-06_0764,0.37071339924782154,0.4609392238738671,0.8212402902251252
2023-06-06_0156,0.35447943037760266,0.4865908946208484,0.8189522949085503
2023-06-06_1052,0.35661080249845994,0.47239504136127786,0.8282491809227629
2023-06-06_0451,0.36597343552699113,0.42736548559710685,0.7654459064530856
2023-06-06_0725,0.3607913671134436,0.4596763299281487,0.8152042545662248
2023-06-06_0922,0.36125117833843884,0.42518573936124443,0.792395143330588
2023-06-06_0200,0.36471032374751644,0.43806097211238787,0.7698769150774719
2023-06-06_0405,0.35612227050480827,0.46748639343591947,0.82122012221381
2023-06-06_0680,0.3553556506589868,0.48358406837415563,0.8272838485928371
2023-06-06_0225,0.36574091346376225,0.4266930093876156,0.770480377056908
2023-06-06_0945,0.35199009865390385,0.4940584338245768,0.8450034199879035
2023-06-06_0368,0.3610368692797259,0.43452698434110304,0.79736649167558
2023-06-06_0658,0.359014847818349,0.4308513339023146,0.8015291548655302
2023-06-06_0917,0.34653120285397965,0.5154917005909979,0.8704670921734534
2023-06-06_0264,0.35485602495311336,0.46167944627626134,0.8248419035925719
2023-06-06_0484,0.3571961692941075,0.49000508857134495,0.8369732340790204
2023-06-06_0625,0.35849820431228707,0.4908726295345491,0.8489219569099753
2023-06-06_0258,0.3489747309739465,0.5030099979541851,0.8639429298788835
2023-06-06_0942,0.3552034209305535,0.5035219528275287,0.8648465696837657
2023-06-06_0372,0.3696697602472119,0.41962456589137687,0.7590129715523921
2023-06-06_0656,0.35709057840516745,0.46195811196973685,0.8132470019374172
2023-06-06_1062,0.35979888949417277,0.41265492505832996,0.8077700258308415
2023-05-30_0078,0.4177118748430097,0.19996137797129443,0.4034862328766264
2023-05-30_0432,0.3829353180138652,0.36588044999587654,0.6938675370821599
2023-05-30_0760,0.40623615397911256,0.27619442118772286,0.5339558567456316
2023-05-30_0086,0.3976026271730637,0.28387976461950953,0.5516133156460931
2023-05-30_1025,0.3847103978662749,0.32097067412793495,0.6406890857958096
2023-05-30_0450,0.3793413348194472,0.38132528001809474,0.7512779443841183
2023-05-30_0727,0.4007196204444648,0.29327420478470617,0.5659474844109028
2023-05-30_0945,0.373943419299107,0.371365839960223,0.7314930531417362
2023-05-30_0147,0.375919503530869,0.40911112778772524,0.7399738747936478
2023-05-30_0340,0.4057792720232532,0.2845786789766078,0.5261069134757715
2023-05-30_0756,0.38050458825168937,0.3576385423010893,0.6989412399745409
2023-05-30_0049,0.37935131321025883,0.3626623705160705,0.6836710060400213
2023-05-30_1021,0.384947285117171,0.34819271009600417,0.6670381383091062
2023-05-30_0454,0.4055950470596892,0.24440623023690505,0.5369484487174518
2023-05-30_0730,0.39581580592438126,0.3304456439571222,0.6273025034282182
2023-05-30_0875,0.39095357788924096,0.3156578136926166,0.6432897066093789
2023-05-30_0075,0.4056178548756887,0.2671452401278618,0.5252667639519103
2023-05-30_0360,0.3906320041592468,0.36714562261848305,0.6836028974223725
2023-05-30_0639,0.387819731042984,0.3466317063958117,0.6409533876859191
2023-05-30_0120,0.3920256999599907,0.3160665574588594,0.5737781976259285
2023-05-30_0923,0.376708553934607,0.3696827456085688,0.691550335116861
2023-05-30_0325,0.38606609113500495,0.3650176746015546,0.7008051683348198
2023-05-30_0661,0.3953180976533668,0.3225669258201409,0.6573443428126281
2023-05-30_0880,0.3702621313918535,0.3828045473790405,0.7146999495065663
2023-05-30_0150,0.3888884250559538,0.3429080038723182,0.6623505477332189
