,moran,entropy,eds
Metachromadora_3,0.1785047258989081,0.3610587259418159,0.58487336706014
Nygolaimus_1,0.15452824672933857,0.35845760736947757,0.579040401678174
Metachromadora_2,0.24973956156244814,0.31968361401482215,0.5911778664976258
Aphelenchoides_8,0.21955996784688078,0.22269069398616928,0.4699315879502536
Eumonhystera_1,0.22009581862748567,0.3987576169043036,0.7355354134554155
Trichodorus_1,0.19117614531622382,0.3499680769483788,0.749053413152849
Wilsonema_1,0.25615044739306464,0.39791597245381316,0.7747508179669029
Aphelenchoides_4,0.18590659990917077,0.2857284377961164,0.45691086399319863
Tylenchus_2,0.18311913055631737,0.4408809668449658,0.667331417063433
Nematodes_144,0.25845082823111803,0.34956643910312757,0.6023360673822827
Diplogasteritus_2,0.143409389439589,0.1709823418888605,0.2924003252386586
Filenchus_2,0.23529336724776564,0.3230619007574252,0.7129264775196039
Epsilonema_1,0.10854216222164638,0.15244229046766367,0.290859654464733
Steinernema_3,0.16764778908669087,0.3273178891496528,0.5066836460428409
Viscosia_1,0.1568653293774343,0.34878846526076446,0.5869556049872401
Paratrichodorus_6,0.18690259975145557,0.2088623669209716,0.4008975232572508
Mesocriconema_4,0.22446396818139122,0.33430977351687413,0.6460888797419183
Domorganus_3,0.12483305974105165,0.31078598547772557,0.4640970241429195
Pratylenchus_2,0.22653163047693384,0.24200149961802278,0.4733743228533427
Plectus_2,0.1412126447688666,0.253659431972255,0.437649751818833
Nematodes_89,0.18060977235916847,0.31000285126589266,0.5192773520507354
Nematodes_159,0.2809017651034301,0.4058533821854736,0.7270687852727453
Odontopharynx_3,0.19359546275509387,0.2790720263919003,0.4911056073248714
Pratylenchoides_1,0.1581251987632749,0.2846257607317222,0.4845946184773844
Aulolaimus_1,0.2264670792639311,0.3960381621623743,0.7527018429217055
Rhabdolaimus_1,0.10712757283864453,0.15181960599500738,0.23364453718986336
Alirhabditis_1,0.11385609560570786,0.2357852154434654,0.34894013312853156
Aulolaimoides_1,0.20632487510700365,0.4139327509615795,0.7485337757184726
Drilocephalobus_2,0.2400923055477631,0.3259404902022068,0.6090786666132174
Nematodes_85,0.18870716357084924,0.468594889335369,0.7169655894785155
Nematodes_81,0.13816071613328423,0.1332118965479736,0.2378575313266385
Filenchus_4,0.23002424469197197,0.30744854560430357,0.6834454385441961
Cruznema_1,0.1389610069604375,0.517172324748888,0.7742033307758359
Ogma_3,0.21019227535192403,0.2164411746407993,0.4727801282218332
Scutylenchus_2,0.2805159253706912,0.3024025693332234,0.6586689235418022
