,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
2023-05-25_0183,0.05220255859921447,0,0.06673547779629897,0.052529145341498044
2023-05-25_0402,0.013324628680905556,0,0.022813233281363112,0.01888893293302397
2023-05-25_0406,0.00633740065716341,0,0.028290682801328876,0.01990910889932755
2023-05-25_0473,0.04960955730343396,0,0.03455396356063523,0.02326600451864036
2023-05-25_0681,0.007204073486518622,0,0.03504193215140617,0.019239816068247307
2023-05-25_0685,0.005002087019805884,0,0.03490218699213646,0.029487242580928993
2023-05-25_0966,0.0037231653298574396,0,0.039186105623130005,0.02659377643013479
2023-05-25_0969,0.027619063524867864,0,0.022102051994284548,0.020861322290513785
2023-05-25_1055,0.09218957299448595,0,0.01790492184494292,0.021773230992247834
2023-05-30_0039,0.028474067655547355,0,0.06858179071619491,0.055858789842974425
2023-05-30_0044,0.03711993778421562,0,0.005243249400591095,0.007842942064048479
2023-05-30_0114,0.10783067739775627,0,0.020696498012457282,0.03158285328516323
2023-05-30_0649,0.001767403898926095,0,0.02043112497207102,0.01806796420902281
2023-05-30_0720,0.00023885549479235168,0,0.005760529404291612,0.004646522157150092
2023-05-30_1030,0.0050056289924886675,0,0.008828963461577468,0.003189950744806426
2023-06-06_0161,0.002419363748675807,0,0.008307572277162304,0.00995219882589529
2023-06-06_0166,0.000228833159255147,0,0.12005361603265653,0.12095562576321746
2023-06-06_0176,0.0090351651812672,0,0.010996865316315796,0.011818927191941437
2023-06-06_0391,0.0019315207793950055,0,0.012928239082478366,0.012381758386387364
2023-06-06_0395,0.00011989171738273779,0,0.005765874354029743,0.005551238619923978
2023-06-06_0670,0.0007851539672353374,0,0.006976932456402125,0.006908305572700362
2023-06-06_0770,0.0006759660596886973,0,0.006678845486853342,0.0036915284591344873
2023-06-06_0953,0.0012107674766404085,0,0.007914635113988117,0.00903009910879738
2023-06-06_1043,3.855977158325854e-05,0,0.010589013510912945,0.009591826506366858
2023-06-15_0462,0.03715027245624067,0,0.06534066881070978,0.08154004194068414
2023-06-15_0735,0.06751729195897134,0,0.057356132102802194,0.07747144369106135
ave-0047-0002,0.020958128051973075,1,0.12626618979340304,0.11374856084134931
ave-0048-0004,0.014338462992244406,1,0.07415721873853415,0.05435411464823921
ave-0048-0022,0.021844235355766888,1,0.09345562069039176,0.0859604934740615
ave-0049-0004,0.08306572855145308,1,0.1337651181958514,0.1283550735853171
ave-0057-0017,0.21666942514374915,1,0.2819688483316012,0.26934024849733174
ave-0058-0010,0.29435305509756576,1,0.25198667231961086,0.3224945522083938
ave-0067-0004,0.02396842546756694,1,0.2735690908820555,0.3244141017852537
ave-0067-0015,0.30418655244704557,1,0.2580153823344691,0.31327478409328113
ave-0067-0017,0.019592316601799727,1,0.28454371288433167,0.2890207725589367
ave-0067-0021,0.21731434756463125,1,0.5375107445381477,0.5447766963458571
ave-0068-0001,0.018926129704367467,1,0.23020511359445667,0.23499648517120653
ave-0069-0015,0.039206302830028725,1,0.4580645987073983,0.6137191475562508
ave-0083-0016,0.24786494734785167,1,0.1135374325686756,0.10185890591019955
ave-0105-0022,0.5182878057826601,1,0.090337640638831,0.1026503814378565
ave-0110-0010,0.36564360451129024,1,0.23651932458788438,0.24814848328647993
ave-0110-0019,0.3624355633965351,1,0.10615626956270158,0.10606766409237628
ave-0118-0001,0.06968263255702883,1,0.2957331001589427,0.3110088943924375
ave-0118-0010,0.023726212599448702,1,0.1200215309363795,0.14928054994951942
ave-0125-0016,0.1844352260710466,1,0.23704771040214612,0.2350424771046634
ave-0127-0009,0.1449255109233462,1,0.0953071466011068,0.10879096493327808
ave-0139-0004,0.026925689231346233,1,0.24348816846053206,0.26907203212864783
ave-0139-0007,0.11200920091904358,1,0.059208542203589266,0.07006546185286316
ave-0149-0017,0.09651164883934873,1,0.23005188985145447,0.2350872867175523
ave-0157-0023,0.11062757782574459,1,0.0702424547136926,0.0756660762345549
ave-0186-0002,0.01736216562695027,1,0.08649587846637077,0.07998317378741687
ave-0186-0009,0.017358024262668855,1,0.02561874499290042,0.0417794234353923
ave-0186-0010,0.023494686844897184,1,0.17166994187664708,0.17355346026825771
ave-0189-0008,0.08547639765991075,1,0.10014955427784152,0.08969626185025747
ave-0190-0006,0.0017215790049637625,1,0.1388811007609542,0.19213615586394997
ave-0197-0010,0.3425391911097986,1,0.4067513400952733,0.4139725950956024
ave-0197-0018,0.3909120777990221,1,0.3957783382346347,0.403064466265517
ave-0204-0002,0.2141046678260737,1,0.04553998458807592,0.052478939874080595
ave-0207-0005,0.2895637980975798,1,0.09912318056124596,0.1361231845668554
ave-0207-0009,0.0981184581640005,1,0.2448854839388525,0.297957199579882
ave-0208-0004,0.16891628852543458,1,0.11456657071027637,0.12280461917831847
ave-0208-0022,0.25136466488439557,1,0.04818352597842384,0.05392971188356867
ave-0219-0019,0.029082383931845323,1,0.7331255630364915,0.844157741363678
ave-0225-0016,0.11571221264523826,1,0.27133743930361787,0.28572239883759076
ave-0231-0012,0.041909194359393144,1,0.051904817578415204,0.045008389290844206
ave-0237-0003,0.010800721056875058,1,0.09235255350903694,0.09118511416595412
ave-0237-0007,0.15814785599545247,1,0.21495047192510933,0.21351130581160052
