,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
2023-05-25_0183,0.05321937007164686,0,0.36226390490012966,0.3070552460213907
2023-05-25_0402,0.04751879977095984,0,0.08793443102305364,0.07571233251691628
2023-05-25_0406,0.04742080810387633,0,0.3312828184089249,0.2712494125162939
2023-05-25_0473,0.047429516931128464,0,0.12116036802528501,0.09693872663663831
2023-05-25_0681,0.045517512866162194,0,0.12858414028468135,0.10064238257052961
2023-05-25_0685,0.046658318665892616,0,0.18107113563735613,0.19974840692038195
2023-05-25_0966,0.06563952299898436,0,0.28252014606778186,0.23067624625806446
2023-05-25_0969,0.0457869348061816,0,0.09775371415244803,0.08835400182272982
2023-05-25_1055,0.05149069902395131,0,0.12839697144344075,0.10651466841498183
2023-05-30_0039,0.04799362922007839,0,0.42286484179114925,0.38221603570115853
2023-05-30_0044,0.04590060350448416,0,0.009184791052952404,0.0077882612341965505
2023-05-30_0114,0.04969063642308293,0,0.03335814725611061,0.032499880738087
2023-05-30_0649,0.0446684948133386,0,0.031446439766953896,0.03215993131527563
2023-05-30_0720,0.045412490856514755,0,0.007234637489210366,0.005850162320557211
2023-05-30_1030,0.045964514445710855,0,0.005189033708703198,0.003830860964002048
2023-06-06_0161,0.04738991125866643,0,0.016629488176343875,0.016531723405770325
2023-06-06_0166,0.0518902496713008,0,0.07954841994302704,0.07263818920639396
2023-06-06_0176,0.04660132174223626,0,0.019900553758609506,0.018506204795890758
2023-06-06_0391,0.048425832012093814,0,0.051575402615339216,0.049105752476631674
2023-06-06_0395,0.24230706163482968,0,0.009419759306727683,0.02156361325229279
2023-06-06_0670,0.04862113998599865,0,0.10610780322261963,0.11935024352397235
2023-06-06_0770,0.9999999999971142,0,0.1146572294932349,0.12772056900722126
2023-06-06_0953,0.08077966688790683,0,0.008178659822255381,0.07978550112716108
2023-06-06_1043,0.05712122457626931,0,0.011656901838136067,0.013600109562494165
2023-06-15_0462,0.05229938541163378,0,0.2656076212009935,0.19343697885208253
2023-06-15_0735,0.05139007231104763,0,0.26441622423317485,0.18561895375952867
ave-0047-0002,0.04696752609524416,1,0.20812602143329645,0.2179361352103905
ave-0048-0004,0.051649464075841936,1,0.15295002264197974,0.12340852099610523
ave-0048-0022,0.05347302948697909,1,0.15263465087928918,0.10615069101584824
ave-0049-0004,0.06894397302050355,1,0.25947899095237825,0.2031965678853358
ave-0057-0017,0.14837887931838298,1,0.44059061908404556,0.453834683112985
ave-0058-0010,0.0,1,0.3759993458232608,0.47160411723982704
ave-0067-0004,0.0,1,0.4119594270935121,0.48408711274367805
ave-0067-0015,0.562901359520359,1,0.370871271896947,0.45065683030110615
ave-0067-0017,0.141528512044954,1,0.40803970956909297,0.422587613321987
ave-0067-0021,0.0,1,0.6887841637198503,0.7906233081736489
ave-0068-0001,0.04824124833707364,1,0.14268380993076635,0.13813184039057116
ave-0069-0015,0.0,1,0.6432360935907173,0.7454561357203645
ave-0083-0016,0.13135724136905708,1,0.22336165082137682,0.27519076236865264
ave-0105-0022,0.0,1,0.3383743098030982,0.3493987260073263
ave-0110-0010,0.0,1,0.25521593760559863,0.37006628485698645
ave-0110-0019,0.0,1,0.27791408126139183,0.36742932644693166
ave-0118-0001,0.0,1,0.17255265282462526,0.3008515122883942
ave-0118-0010,0.1260417553825585,1,0.23108442935025972,0.24376248961009825
ave-0125-0016,0.0,1,0.40747678022805484,0.45981926662940026
ave-0127-0009,0.16468362117115554,1,0.15618796533717152,0.1531736847199691
ave-0139-0004,0.0,1,0.09335650914543095,0.21614998775032992
ave-0139-0007,0.12289564901513911,1,0.19556966251955243,0.20874691148523192
ave-0149-0017,0.05236019738695556,1,0.1729444014258584,0.1920622603766721
ave-0157-0023,0.15360539093870992,1,0.12313675726617877,0.14168995935164938
ave-0186-0002,0.052158761034427216,1,0.297018624379409,0.23445273245646267
ave-0186-0009,0.054067100759693176,1,0.028971042247467278,0.027561138882799922
ave-0186-0010,0.053786403113542616,1,0.14633101497766185,0.17046845660040527
ave-0189-0008,0.13817745919530183,1,0.31889361040480285,0.31468459278552835
ave-0190-0006,0.0,1,0.37903790988744107,0.44207960448491224
ave-0197-0010,0.0,1,0.26822617871732357,0.38488306532672667
ave-0197-0018,0.0,1,0.2322604604165225,0.33465718350450224
ave-0204-0002,0.14568592705657915,1,0.02932314112590036,0.09914224163450519
ave-0207-0005,0.0,1,0.2900862090903223,0.3198320230390164
ave-0207-0009,0.0,1,0.18167062846238474,0.2964152186906715
ave-0208-0004,0.14675795262321037,1,0.2246503079385367,0.28076087550765544
ave-0208-0022,0.1321417326027158,1,0.19665973238626236,0.2577126132044891
ave-0219-0019,0.0,1,0.9454792037098254,1.0
ave-0225-0016,0.06317270635348084,1,0.457218647916196,0.4249880998714489
ave-0231-0012,0.045600359202621565,1,0.19100675557160396,0.1683384731272235
ave-0237-0003,0.0,1,0.3310848833449684,0.34196386083838515
ave-0237-0007,0.0510866981312976,1,0.40285729262996006,0.37237410908371976
ave-0237-0014,0.0,1,0.3781793595280619,0.4296901215659356
ave-0237-0015,0.054863049644871806,1,0.1629668641440987,0.15996838097620683
