,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
2023-05-25_0183,0.21768234195959946,0,0.00010686168281914093,0.0001418226620591136
2023-05-25_0402,0.21401969953618213,0,2.8690230631727252e-05,4.231016886409378e-05
2023-05-25_0406,0.021878083443176356,0,2.0161854617171246e-05,2.4563628659239197e-05
2023-05-25_0473,0.24126016423293314,0,5.312760229214436e-05,4.8106108732917354e-05
2023-05-25_0681,0.05205504592506409,0,5.588709849334032e-05,4.609395800274372e-05
2023-05-25_0685,0.027229026184004215,0,6.028061063567445e-05,7.860221303865249e-05
2023-05-25_0966,0.02889447204973695,0,4.959901513677254e-05,5.92987131928175e-05
2023-05-25_0969,0.1613545045640693,0,2.636752726747738e-05,3.402214565526237e-05
2023-05-25_1055,0.1791733387879823,0,2.5795042088329773e-05,3.3321828519510474e-05
2023-05-30_0039,0.17653207245809596,0,9.443299871484835e-05,0.00013182826856022024
2023-05-30_0044,0.18916837046617765,0,9.186316243173355e-06,1.7333224419365363e-05
2023-05-30_0114,0.3197884655199425,0,4.1177265280707295e-05,5.5780331785421956e-05
2023-05-30_0649,0.031157667149231644,0,3.016387324209129e-05,3.204266083124235e-05
2023-05-30_0720,0.0007355174685853732,0,9.242392579647585e-06,1.0079758760245589e-05
2023-05-30_1030,0.034961215661513126,0,1.0120444678235606e-05,9.22727356895638e-06
2023-06-06_0161,0.006773114331697446,0,1.1184168556288988e-05,1.426590153965583e-05
2023-06-06_0166,0.0006867478339791767,0,0.00037424182182553724,0.00037080409234621
2023-06-06_0176,0.027858045860236217,0,2.372446861491869e-05,2.4184494032012477e-05
2023-06-06_0391,0.005670971111549378,0,2.6338655533619345e-05,2.4328041263573956e-05
2023-06-06_0395,0.0004574388732520536,0,8.367789780444827e-06,8.175212523557753e-06
2023-06-06_0670,0.0026035287762080583,0,1.1739765632532922e-05,1.4203743144441657e-05
2023-06-06_0770,0.002212717690632921,0,6.009089873541893e-06,7.988193086344741e-06
2023-06-06_0953,0.0036915762589856665,0,1.4852237651992191e-05,1.1791890977820637e-05
2023-06-06_1043,0.00020244213441182013,0,1.6786704072124754e-05,1.3212283766600188e-05
2023-06-15_0462,0.22721491671594068,0,0.00018498317771277435,0.00026988557142773595
2023-06-15_0735,0.13548249402280982,0,0.00013927783376484028,0.00021607006080209476
ave-0047-0002,0.25678922038402296,1,0.00018401386468710343,0.00019615085907056037
ave-0048-0004,0.27102162664274826,1,0.00010574899513146148,0.00013613276685195047
ave-0048-0022,0.2907490418991321,1,0.00015971820634149583,0.00020474415915162407
ave-0049-0004,0.15118107357846589,1,0.00023316119649162114,0.0002860485608777297
ave-0057-0017,0.47884391017018485,1,0.8694139993842558,0.9501523301185726
ave-0058-0010,0.7239697838062187,1,0.8959527953610383,0.99907012525521
ave-0067-0004,0.028417096809635188,1,0.8968956690323474,1.0
ave-0067-0015,0.5803957132532007,1,0.8953042260669973,0.9986743683553202
ave-0067-0017,0.5051813228515442,1,0.867081105060775,0.950397517173336
ave-0067-0021,0.6879372349774147,1,0.8916577058228864,0.9941026985921498
ave-0068-0001,0.28120700922087627,1,0.8660935920636645,0.9483979079290948
ave-0069-0015,0.8799722259728472,1,0.8876989885790131,0.9934900197641071
ave-0083-0016,0.5232320452541916,1,0.00014276025433742059,0.0001878705334401857
ave-0105-0022,0.835162886679617,1,0.0001475247985785592,0.00019519299308340255
ave-0110-0010,0.6616349894285095,1,1.0,0.9466226320645259
ave-0110-0019,0.6921818648864174,1,0.00016814719228600608,0.00023789297604706632
ave-0118-0001,0.6871451814393236,1,0.8694619653165166,0.9487222676727973
ave-0118-0010,0.5055818629334787,1,0.0002740221955409632,0.00029768400655991726
ave-0125-0016,0.5161604654988696,1,0.0004630668822020948,0.0005191267610157819
ave-0127-0009,0.3836513502339928,1,0.00015893315319192528,0.000264825622166399
ave-0139-0004,0.09103376518796436,1,0.9971438791155618,0.9422099669723913
ave-0139-0007,0.4880711015990573,1,8.41351542283955e-05,0.00011841897596801822
ave-0149-0017,0.13406573262507374,1,0.8641669481923181,0.9477668437482893
ave-0157-0023,0.3450712640454709,1,9.214570029236258e-05,0.00019626815311150602
ave-0186-0002,0.3173159068326476,1,0.00017733172769016266,0.00021146498718610887
ave-0186-0009,0.3618598504000452,1,6.42868688616809e-05,7.823575813192325e-05
ave-0186-0010,0.4292889625513795,1,0.0005373781327504789,0.0005569365158141576
ave-0189-0008,0.4650120610832602,1,0.000190994789113073,0.00021972369010077588
ave-0190-0006,0.12497169815216203,1,0.9933617536450933,0.9420797133674974
ave-0197-0010,0.7398451402882944,1,0.8958997392050388,0.9985423129176391
ave-0197-0018,0.7639352222764222,1,0.8966698167603648,0.9996286461874485
ave-0204-0002,0.4646565905670223,1,5.71955736720731e-05,8.030768298625707e-05
ave-0207-0005,0.7186660529505305,1,0.00023807672071027937,0.00029579993749819617
ave-0207-0009,0.7745162209973644,1,0.8649133992403027,0.9499067668608616
ave-0208-0004,0.4464087595673524,1,0.0002646226415756479,0.0003361001170032832
ave-0208-0022,0.5365833656716119,1,8.687168356952142e-05,9.572438814974034e-05
ave-0219-0019,0.8588326887190341,1,0.9874613513308287,0.9355484283337425
ave-0225-0016,0.21485054375141346,1,0.8677882452218788,0.9519060371238589
ave-0231-0012,0.20552745182693116,1,6.550672473028851e-05,7.535623950005381e-05
ave-0237-0003,0.06477863312072041,1,0.0001012279314304217,0.00013339230156380724
ave-0237-0007,0.3872669511383282,1,0.8635116307079571,0.9460348667853298
ave-0237-0014,0.8633153802994777,1,0.8619011881430692,0.9480594860623354
ave-0237-0015,0.013855048453180642,1,0.00018587113082741108,0.00021028325171508602
ave-0249-0005,0.18198565513352638,1,0.00013285329443555064,0.0001225814726407244
ave-0249-0008,0.19491353431533756,1,0.00010055071753165259,0.00010113228569367487
ave-0249-0009,0.060530700498142735,1,0.0002579342024678464,0.000259179258372697
ave-0249-0013,0.12002381238969338,1,9.129807890925377e-05,0.00011892230794171111
ave-0250-0015,0.3858650107618926,1,4.589406665962802e-05,6.567980849271675e-05
ave-0255-0013,0.7986390355438837,1,0.862821262360796,0.9478563246377626
ave-0256-0026,0.5332464220479902,1,0.8891066812523752,0.9937786495313156
ave-0258-0006,0.769194863415736,1,0.8947715466347408,0.997280828071137
ave-0258-0015,0.25532501228119137,1,3.908213618395728e-05,4.980667513151354e-05
ave-0259-0015,0.3453914433710763,1,6.550560201831162e-05,9.538886482219686e-05
ave-0269-0013,0.1912151451505834,1,3.79255226624649e-05,4.6159358274188166e-05
ave-0270-0003,0.3693513448097892,1,0.00013884887752189001,0.0001604318054887217
ave-0284-0009,0.12001741950110002,1,0.00018280969048700116,0.00020550431632806546
ave-0288-0010,0.4064170066747612,1,0.00021945343046457912,0.00026056794942112485
ave-0288-0019,0.39383267255413823,1,0.00022121529022767593,0.00024207848830803283
ave-0296-0011,0.8079485869252635,1,0.0008004623370953907,0.0011031073024033295
ave-0298-0010,0.999999999999979,1,0.8854091518801669,0.9833602006329725
ave-0299-0007,0.9026801928014265,1,0.8871808229329773,0.9934548027356829
ave-0300-0004,0.7138996933569393,1,0.9879352267125238,0.9356804965864208
ave-0304-0009,0.9803759282725406,1,0.8854708347694442,0.9840137736871103
ave-0306-0010,0.9394684349773244,1,0.8875638800592195,0.9935952520391146
ave-0306-0011,0.9396328045870295,1,0.8857673148582066,0.9840798472331039
ave-0308-0008,0.8657280462941508,1,0.8929837832748504,0.9980058541505272
ave-0313-0003,0.8784302789956685,1,0.8614437084734284,0.9449276824641943
ave-0317-0017,0.9658739737639307,1,0.8867615746992888,0.9931179168708261
ave-0319-0016,0.90240477075536,1,0.00040875542823730495,0.0005826913523613657
