,moran,entropy,eds,ood_score_nll,ood_score_nll_zero_floored,is_ood,ood_score_normalized
2023-06-06_0917,0.3465312028539796,0.5154917005909979,0.8704670921734534,-5.197508985226506,2.546521470886642,0,0.5701247420840829
2023-05-30_0621,0.3854754475453147,0.3725477753105751,0.7193551476547283,-7.248998153736443,0.49503230237670426,0,0.11082968156460977
2023-05-30_0487,0.3901454897132396,0.3396677710752598,0.6566140582681563,-7.490235251842504,0.2537952042706433,0,0.05682061864830776
2023-05-30_0730,0.3958158059243812,0.3304456439571222,0.6273025034282182,-6.963017460163014,0.7810129959501335,0,0.17485610782042688
2023-05-30_0727,0.4007196204444648,0.2932742047847061,0.5659474844109028,-6.9570810226918365,0.7869494334213112,0,0.1761851796232164
2023-05-25_0672,0.4029515862617213,0.2381308326064006,0.4795117944857781,-6.6294721165066735,1.1145583396064742,0,0.24953148566407324
2023-05-25_0958,0.3926307195661198,0.2618648481833527,0.5320947580302657,-6.7499739897464,0.9940564663667475,0,0.22255307602296864
2023-05-30_0147,0.375919503530869,0.4091111277877252,0.7399738747936478,-7.102861790223987,0.6411686658891611,0,0.1435472366722981
2023-06-06_0188,0.3655315581309578,0.4429250796246128,0.7813510975370713,-6.848897797497296,0.8951326586158519,0,0.20040564431083077
2023-06-15_0472,0.4083897868001893,0.3395748474885225,0.7315601025025645,-3.4452821260328665,4.298748330080281,0,0.962419838587923
2023-06-06_0156,0.3544794303776026,0.4865908946208484,0.8189522949085503,-5.37362308908493,2.3704073670282177,0,0.5306956584546824
2023-06-06_0264,0.3548560249531133,0.4616794462762613,0.8248419035925719,-6.887940784095726,0.856089672017422,0,0.19166455458545262
2023-05-25_0416,0.3599429110367965,0.4016853293451212,0.7107901107172357,-7.021257079518692,0.7227733765944553,0,0.16181720422434986
2023-05-25_0222,0.3943456597039247,0.297460753162366,0.5522279108395983,-6.985460650128337,0.7585698059848109,0,0.16983144259109012
2023-05-25_0743,0.381000050763908,0.31278043411549,0.5806628478193705,-7.233908018831743,0.5101224372814048,0,0.1142081173519825
2023-06-15_0454,0.4107181033446893,0.2871251292379225,0.6688385813782799,-3.2774264266024407,4.466604029510707,0,0.9999999997761162
2023-05-25_0363,0.4092054467009258,0.1952194833714729,0.3928714248492564,-5.309499580071233,2.434530876041915,0,0.5450518692527919
2023-06-06_0625,0.358498204312287,0.4908726295345491,0.8489219569099753,-5.655006206677521,2.089024249435627,0,0.4676985546884867
2023-06-06_0455,0.3617451673036492,0.4650619861552268,0.8199968200830926,-6.566499189118059,1.1775312669950884,0,0.2636300999487637
2023-06-06_0225,0.3657409134637622,0.4266930093876156,0.770480377056908,-7.365200690822082,0.3788297652910657,0,0.08481382336632842
2023-05-25_0228,0.3680218491631145,0.391875836092759,0.6872513101055963,-7.1822992623638,0.5617311937493481,0,0.12576247858826212
2023-05-30_0075,0.4056178548756887,0.2671452401278618,0.5252667639519103,-6.688381138464938,1.0556493176482098,0,0.2363427137120789
2023-06-06_0922,0.3612511783384388,0.4251857393612444,0.792395143330588,-7.038607741951932,0.7054227141612159,0,0.157932673087334
