,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
0014_01,0.6232247403100344,1,0.9999999999999146,0.9999999999999221
0026_00,0.6546164689503755,1,0.051694267375459055,0.08703539924806501
0027_00,0.0004902577298335158,1,0.0024412972038702877,0.002025242460341416
0027_03,0.0012215544507724447,0,0.0007389693800901302,0.000726624242784337
0027_05,0.21301208803230656,1,0.007067554233676696,0.007594201761748242
0034_00,0.8441168639048223,1,0.09146143687278879,0.11339826664919544
0038_00,0.0006976496774241842,0,0.00041645175178735364,0.000914326621343879
0038_03,0.00045706060143926636,0,5.019143244992969e-05,1.2788413256360847e-05
0054_02,0.006972153076757999,1,0.007344699973847355,0.00620272445228275
0056_05,0.00028350581026690536,0,0.00032886991604402007,0.00027247157458705593
0056_09,0.0020684715801670603,1,0.002351644576698021,0.00229069091673961
0057_04,0.0007169270832261239,0,3.680317977104642e-05,3.629944066895828e-05
0057_06,0.0003223815245222831,0,0.0002395988415768252,0.00024732899933012923
0062_01,0.000340283995418333,1,0.001978838284430885,0.0016358745560651144
0068_00,0.009769118129176623,1,0.00827770574810001,0.0071438678509638505
0070_00,0.011172095111688856,1,0.0007320554631277004,0.0006997988216074471
0071_00,0.0014548536826698827,1,0.0012963335991699808,0.0011536371518094208
0079_00,2.4412140806651284e-05,0,0.00037116249850876614,0.00039836238098255424
0079_01,0.0001881276497275615,0,0.000492796708835011,0.0006712162109277429
0079_05,0.0022495514678058754,1,0.0009188733722258897,0.0009653243023214244
0087_00,0.6439059470288653,1,0.07529275103022932,0.10723595184958355
0097_00,0.6758196540496652,1,0.02951212243700746,0.04995023270000716
0103_00,0.39616068338575916,1,0.013323917475760085,0.018165237248141664
0103_02,0.032277393440067116,1,0.0016757140620999903,0.0013599855870272948
0113_01,0.02598646972508329,1,0.0007796503002076819,0.0006928422954338776
0115_00,0.8857767604189033,1,0.19368930246083924,0.24245003298100098
0117_00,0.6348587553564632,0,0.0005809488376932569,0.00504239147245522
0117_01,0.019532391045820618,1,0.008981099021641802,0.007900346820298674
0117_02,0.7082396201849933,1,0.15282573163422494,0.18231127179968043
0117_03,0.005129758561474203,0,0.00045445325952207165,0.00046935672601401934
0124_01,0.0013996376972009456,0,0.00013357687727607334,9.461232908660854e-05
0126_00,0.03251420010548852,1,0.008860772582372023,0.01373406688391028
0126_01,0.0013822959098306706,0,7.505248472344529e-05,0.00011445860677771211
0147_01,0.15558488631297093,0,0.0008355454543662557,0.0012450542335914307
0147_04,0.0010583601278705318,1,0.0009003154408938603,0.0009322433692705815
0151_01,0.048112039277219874,1,0.004380840737200492,0.0038204322101065753
0151_02,0.024083056895312278,1,0.006360522139901728,0.0055193927228855836
0161_01,0.006464695383805443,1,0.00012955678968234422,0.00036080543930545227
0161_02,0.003379952627112315,0,8.32058773639736e-05,9.281928104305255e-05
0164_00,0.6806409381255206,1,0.03573870475083962,0.052140111496126997
0172_00,0.0034285030078683543,1,0.026602885771205797,0.02410032221849804
0172_01,0.000340601769927331,0,0.00015754127993287481,0.00020345482843141133
0172_02,0.0012415809151274677,0,0.00032965374512157513,0.0004003901813538178
0172_03,0.0007366869555172957,0,0.00011356969278555798,0.00015334572125548854
0180_00,0.967840125716734,1,0.06353483325022062,0.08583810480485511
0184_01,0.0038766198493247047,1,0.015187924502441837,0.014079071059862685
0188_03,0.7625771248499381,1,0.3010067593496631,0.32145668247194303
0189_03,0.38356469023070233,1,0.06580226679663263,0.07469891707925295
0189_04,0.000539242012299607,0,0.00015314646875302218,0.00019333046068089577
0189_05,0.0,0,0.00022336713638713474,0.00022852977451788122
0195_01,0.5385843193201264,1,0.16474387726287096,0.22689760838065545
0195_02,0.507298891333155,1,0.06299251959748653,0.09162679504579119
0196_01,0.0011777345344677862,1,0.0006935047023194052,0.000553904160541933
0196_03,0.336811196496133,1,0.029851185118445145,0.04337713333160868
0196_04,0.18143782114835993,1,0.0011701196726857596,0.0017633297081005453
0197_00,0.5699287753984814,1,0.02856153488768108,0.0551074502219223
0205_00,0.5277523684979546,1,0.01644282441703346,0.02690996461932717
0207_00,0.002697289377019176,0,0.0002150468152598002,0.00038731454558990207
0207_01,0.004430840693508347,1,0.0023380419931881666,0.0020027545544767985
0212_00,0.6316793742665586,1,0.18402013246837046,0.21768454197001808
0230_00,0.002909030500711184,0,0.000302115894759073,0.0006866660592502637
0230_01,0.13198007115162672,1,0.021170124775771074,0.01964967182909934
0230_02,0.0006274977059540328,1,0.00023635716102467566,0.00022447178944065565
0230_03,0.0006934834016075679,1,0.00016097216003723206,9.426832360768453e-05
0230_05,0.0003191544094159049,0,0.00021482178868347134,0.00028756573288004814
0230_06,0.3151051376343611,1,0.0035395027863542737,0.0051165620971604965
0240_04,0.20525201534388343,1,0.03089543809684915,0.028401334145219684
0249_01,0.295221185942819,1,0.008067117205014499,0.01934997420529859
0252_00,0.5615960678196874,1,0.10088166594958287,0.12379381606340134
0262_00,0.00026465282604644776,1,0.00026638321564725155,0.0002295540702781018
0265_00,0.6290807053090461,1,0.04611201318533933,0.05587938587743665
0287_00,0.0016277461694000522,0,0.00048795061142037344,0.0006813747942262048
0300_01,0.00012828955783682905,0,0.00025887534968814703,0.00018735819974886135
0300_03,0.0001821659233451842,0,0.0003309874952115912,0.00031764439050336295
0309_01,0.0018902868159139735,1,0.00040084964019302077,0.0003556581159636333
