,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
0189_04,0.008173409337865308,0.00302131358115265,0,0.0016021867728504729
0507_01,0.024116315352483077,0.001057523934630469,0,0.0010929459870876927
0507_00,0.05509326102891439,0.016731497904901155,0,0.007629217807432306
0419_03,0.1505958897622066,0.00649922521266706,0,0.0032025138947178095
0380_00,0.006401863474206973,0.0018632345222071203,0,0.0010865129380080497
0870_00,0.013121970041976195,0.08303625030092769,0,0.04980215141273877
1012_02,0.01841585957197146,0.0011613045612600971,0,0.0009094792763594004
0394_01,0.042731165735100295,0.0021791899062231813,0,0.02345403894456965
0057_06,0.0015130386792745634,0.00369842330815217,0,0.0020793625515369203
0027_03,0.03173857953318214,0.002033881889639049,0,0.0017189184968668563
0124_01,0.023761759205401987,0.0006071597771711856,0,0.008428684087871703
0189_05,0.025686651996719313,0.002071509197270277,0,0.0010215684290647343
0818_01,0.03530989423117004,0.002487569428876104,0,0.001303332121522392
0870_06,0.06638197230976266,0.0038896123083969935,0,0.0035060826408569988
0699_02,0.09048014957013548,8.433488796072307e-05,0,0.0013884494339255113
0038_00,0.03285889226952941,0.05093534430066107,0,0.031448627545831914
0739_03,0.003583115304634063,0.001102443311610763,0,0.0009869525550779633
0207_00,0.04406911095694587,0.0024838770483555663,0,0.0014567589465049506
0079_01,0.025567866849513704,0.0011150925176995417,0,0.0009587906097279754
0172_01,0.06860726194553232,0.002681473228694577,0,0.003126897671471416
0896_04,0.02419485882858189,0.0029431457720495006,0,0.0014404979125677707
0441_02,0.04255568252073594,0.0005850075753581292,0,0.00092896192441169
0147_01,0.06044672071766601,0.001668704731511532,0,0.003548690235382356
0699_01,0.004672256046079268,0.008663298323097628,0,0.0026563930405058885
0379_00,0.004429396274658328,0.0044231909707816855,0,0.0022931060306127424
0609_02,0.0,0.002546500551059973,0,0.0010041244229800263
0117_00,0.5564079111626539,0.030579267673499933,0,0.08657727568979794
0300_03,0.018927819266507027,0.0018047943926135634,0,0.0017219057289194445
0300_01,0.03648717516560251,0.0037564452035879427,0,0.0020325307944999314
0057_04,0.022890082674824744,0.0005758810290590269,0,0.000658611048114667
0784_06,0.060294101709148396,0.007930334578747231,0,0.003167971107253512
0079_00,0.08860244215886601,0.12285996469684675,0,0.07795076707161032
0984_06,0.03195244674431316,0.002245540878086306,0,0.001336233666292808
0732_00,0.04007586007283292,0.0019315477401175122,0,0.0014879974565017386
0172_03,0.012085244454862672,0.0071008954306126925,0,0.003171212705637507
0739_00,0.10525708382091577,0.0002006108425698183,0,0.002283325345717421
0038_03,0.0007981268177174737,0.005139054928529211,0,0.002253735522622787
