,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
0014_01,0.28092235251501335,0.016980049431541872,1,0.02358461756154381
0026_00,0.024935909221706073,0.015028293342353598,1,0.015343533501561882
0027_00,0.025196969594425626,0.005609076183797746,1,0.005729008340976301
0027_03,0.0158362429672244,0.0001369164314194399,0,0.00020809195015540247
0027_05,0.020328120247968994,0.0052331894559690196,1,0.005906669734071428
0034_00,0.08433120091779178,0.2532315587932453,1,0.28293763316795134
0038_00,0.014505374074255572,0.00013490291545361483,0,0.0004830132948141741
0038_03,0.0034986884291395124,0.00018853262561282447,0,0.00025075834490806783
0054_02,0.01500373786833218,0.012903150539490937,1,0.012842983323825538
0056_05,0.029910195130018934,0.00028275531318137877,0,0.0006613033382991534
0056_09,0.01562578089728933,0.004797234086278671,1,0.004592430606293365
0057_04,0.008519672475938411,0.00010867638432058785,0,0.00013778583734489836
0057_06,0.0149214740053005,4.0659900926268035e-05,0,0.00011554543655551336
0062_01,0.03605323454564635,0.0013334247407156504,1,0.0020479457057539932
0068_00,0.02651453070643772,0.014255038679299734,1,0.013932871898016591
0070_00,0.03174214887493412,0.0003787188318585095,1,0.0003869313641003123
0071_00,0.021168904957954062,0.0014507613113390397,1,0.001594453203600771
0079_00,0.061534587884442486,0.00040539755442038584,0,0.000853853742653164
0079_01,0.008953460389924273,8.67398706818381e-05,0,0.0001244479021522502
0079_05,0.0001335750563932282,0.001155656134210689,1,0.0010379529303070733
0087_00,0.19406904391005045,0.13516206704437508,1,0.18771953087985316
0097_00,0.5008607682619691,0.9999999999998865,1,0.9999999999999274
0103_00,0.0979859189583266,0.02278069292198847,1,0.025463891647323496
0103_02,0.0189038169501373,0.001351144022257907,1,0.0014024600835109823
0113_01,0.02934046650284329,0.0019359537331037817,1,0.0023684259436816887
0115_00,0.031001981600923836,0.012321818796925104,1,0.011914833120061048
0117_00,0.5212101713863359,0.017970075665425005,0,0.026079880888022242
0117_01,0.028229686046533406,0.042198921735174456,1,0.035091056605455626
0117_02,0.01692628273539213,0.00714461316111818,1,0.007275632381159281
0117_03,0.03557548432240143,0.0006877107133080126,0,0.0005792365606900649
0124_01,0.020547107317907754,5.190846429336749e-05,0,0.0001673428132606486
0126_00,0.07294748908205849,0.013320201513592943,1,0.014350420838936163
0126_01,0.01915722695638337,0.00045385513536923993,0,0.0008544880058449458
0147_01,0.022424060394975357,0.00039243609928341376,0,0.00046280302707793296
0147_04,0.003300177013504083,0.0017002033801339664,1,0.0019557857483811915
0151_01,0.025736081999759918,0.007415750945120889,1,0.007271439278236471
0151_02,0.015692481360421787,0.007108184095897025,1,0.007406543257528132
0161_01,0.013641757124370662,0.000345713123867987,1,0.0005476131789183719
0161_02,0.013513063422620772,0.0004986849299976046,0,0.0004693674684471266
0164_00,0.16771828043714615,0.010219371634281467,1,0.009216129354094984
0172_00,0.02154592016501758,0.022387776475064673,1,0.019802724703851946
0172_01,0.029337118966394585,0.0004124256377278452,0,0.0004595538946795853
0172_02,0.015165253326391716,0.00028386840858612874,0,0.0003458293833229857
0172_03,0.003382726862703819,0.0009082432467216406,0,0.0007168896336286192
0180_00,0.18270778456753706,0.018856551214718534,1,0.02611724932133655
0184_01,0.021797121095901578,0.009855938294904158,1,0.010007828508542744
0188_03,0.11144959111858369,0.13072062941095866,1,0.16515770019037718
0189_03,0.022625787878312893,0.042340225036347996,1,0.03694104814125615
0189_04,0.006627328674826064,0.00045167366481174015,0,0.00039059189144003467
0189_05,0.009129045209171491,0.0001371714291214841,0,0.00014738901133623086
0195_01,0.05566782819331246,0.022414351314539845,1,0.02117266551754149
0195_02,0.0338569477972836,0.005658290107524351,1,0.005256256803212065
0196_01,0.015454695466514356,0.0016730439558673032,1,0.0016985617327571144
0196_03,0.020732138438061532,0.010828131622578178,1,0.011624107066062752
0196_04,0.021350489082813423,0.0017003569710768896,1,0.0020524296341523493
0197_00,0.019558829264359662,0.0017998960917364572,1,0.0017289237362174954
0205_00,0.026519212514106764,0.0038055512418834645,1,0.00461402393923785
0207_00,0.021511430361536913,0.00014608624952901255,0,0.00022337757671825507
0207_01,0.027539590898492023,0.0012096581290111752,1,0.0010182245752398643
0212_00,0.05796859067202123,0.08090468522995568,1,0.07965133574981116
0230_00,0.0027903613605724754,5.267738681588381e-05,0,3.412643317114121e-05
0230_01,0.05811918878096815,0.023678807893420827,1,0.01985017267242106
0230_02,0.006767690652626905,0.00048006330908320616,1,0.000782829561532941
0230_03,0.018082515789585054,0.00016672318601802048,1,0.0002954969623360015
0230_05,0.025097163152339695,0.00018303307518275464,0,0.0005462703216231336
0230_06,0.01597938614405618,0.0026196970428158882,1,0.0024246352216753557
0240_04,0.026528571471375714,0.11242910896262569,1,0.08953503203200877
0249_01,0.06912464228887324,0.002452617762419454,1,0.0019692970659672213
0252_00,0.05195843944287355,0.0025121045302385525,1,0.0026871119666417058
0262_00,0.02313113131790446,0.0006178197107442373,1,0.0005559835337396307
0265_00,0.035652033875022936,0.04422503321951748,1,0.04268873891890316
0287_00,0.0060929220876862,0.00030845865053314407,0,0.00029065016591161224
0300_01,0.011619780168955363,0.00042680191754508275,0,0.0005104950315558045
0300_03,0.01600791683028882,0.00041127361093626054,0,0.00038147821155804873
0309_01,0.015193678624916511,0.0005928618586555404,1,0.0008413540195969213
0313_00,0.11087835612121946,0.005362121523249141,1,0.005774964806153664
0326_00,0.08996420824343436,0.011883807154901178,1,0.015549912985397997
0339_00,0.022264419043391322,0.005577076933329314,1,0.0055840658179206765
0345_00,0.038254033554969195,0.00023242831417535242,0,0.0006538250203827127
