,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
0014_01,0.15093370581781534,1,0.3331377166263723,0.3365597790571391
0026_00,0.11112941188213672,1,0.14706933872373873,0.16750958880847314
0027_00,0.1072084946682711,1,0.04856432447222525,0.04568605383912643
0027_03,0.15717968131933377,0,0.00405296799470723,0.00499597045433479
0027_05,0.11183230563246346,1,0.045644055384682324,0.06798601766959954
0034_00,0.16519143388144406,1,0.26711976545076055,0.41533325088078316
0038_00,0.018828871777703003,0,0.004911136467132126,0.00871548658770099
0038_03,0.018941051135881428,0,6.516545580739898e-05,0.0002293598091971104
0054_02,0.10929090396191336,1,0.15512947981606112,0.14973138047396925
0056_05,0.04675237781491467,0,0.002086495307850333,0.002767572376888391
0056_09,0.2208109284453226,1,0.03753072655743503,0.1652573464875934
0057_04,0.046767045029126326,0,0.004283074608789539,0.005195115376738174
0057_06,0.021353905964850504,0,0.005453854281957231,0.010355394050311965
0062_01,0.06112976931630091,1,0.03657966842384548,0.04040813618218098
0068_00,0.26916662458734697,1,0.06465516117498496,0.06910891530634083
0070_00,0.15218457816325007,1,0.023222601728219903,0.044248157397911554
0071_00,0.3897009666522224,1,0.0328185388406589,0.033374267955621165
0079_00,0.4178915416134725,0,0.007376661104088451,0.011828313698710543
0079_01,0.08067314371810642,0,0.002659618498208462,0.0025148004501169773
0079_05,0.036241336129206436,1,0.003996634773543117,0.006106411785504281
0087_00,0.17962853024477998,1,0.3219921845198181,0.5078214912134049
0097_00,0.1420058910091103,1,0.03348619548484527,0.037257998892739785
0103_00,0.017363600725401326,1,0.0342386232598116,0.03243326466412716
0103_02,0.0193989734345341,1,0.010435079315393486,0.012087139893737128
0113_01,0.29482195474557177,1,0.003970687781188224,0.0066954196255518406
0115_00,0.11070198393644588,1,0.1805277126419774,0.17232440189412723
0117_00,0.47849951247595723,0,0.013978892267250504,0.08276443399635156
0117_01,0.12254486932780995,1,0.253403289877419,0.2375566011553993
0117_02,0.08596617243404793,1,0.09170096435260931,0.08880187365528461
0117_03,0.08493073164092253,0,0.004967190669339864,0.008481293913973708
0124_01,0.03537943120403209,0,0.0008615363211288903,0.001355719681109789
0126_00,0.10827448490261127,1,0.06526133922363599,0.06316879357764753
0126_01,0.024322741488593036,0,0.0016220800511754995,0.0016468755925576539
0147_01,0.39370157468064637,0,0.0015105753995814637,0.0045490145462897735
0147_04,0.06638689064010266,1,0.03275222291051371,0.034243302694767226
0151_01,0.19612576783249358,1,0.0371085008916001,0.03619186114745224
0151_02,0.17227804427660612,1,0.16831386783088806,0.17082869414643428
0161_01,0.2572281054813905,1,0.0029383595663445847,0.005002035702424449
0161_02,0.4113949037250839,0,0.005143084421324731,0.007556881459932685
0164_00,0.2538212801441414,1,0.4677905333408803,0.6767974433903987
0172_00,0.18359456064404892,1,0.16604406307910324,0.18614266975773233
0172_01,0.14404923620050517,0,0.02360593574327744,0.040262445686543316
0172_02,0.108474164910284,0,0.005857960189964417,0.010306517356994643
0172_03,0.02799338404759025,0,0.0027166681483477436,0.002961111102292425
0180_00,0.15068519377500603,1,0.08556899859000779,0.08357325593966487
0184_01,0.5361759169287935,1,0.060770300474462115,0.0639270058049208
0188_03,0.1262407329386717,1,0.9999999999979731,0.9999999999981791
0189_03,0.11814194294105333,1,0.14605815296029712,0.136166938686044
0189_04,0.03979133938642104,0,0.00147519599900355,0.0017755767859744178
0189_05,0.045044426273054966,0,0.003198298260215233,0.005013846861789311
0195_01,0.0661167132510436,1,0.1332706312067775,0.1247497098357584
0195_02,0.03419786437686772,1,0.048756582703276076,0.04689306535583957
0196_01,0.03040541716316827,1,0.013876032333384376,0.01626567523119927
0196_03,0.16035455141771351,1,0.18752297581135607,0.17970270166750638
0196_04,0.08054651314161235,1,0.006475736505964425,0.0071816087653291715
0197_00,0.1192507085768671,1,0.01840437310665365,0.019656689299773815
0205_00,0.10683746370832026,1,0.006774782067381899,0.01113160082350339
0207_00,0.011828468540790501,0,0.003879898048296791,0.006389135429398221
0207_01,0.03348503491435209,1,0.009201541476849408,0.010424320813837191
